timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784290518,0.0559082031,-0.955078125,0.2502441406,1738784290520,-5.0152440071,1.5701220036,1.6234756708
1738784290522,0.0574951172,-0.9698486328,0.2528076172,1738784290524,-4.8856706619,1.8597561121,1.592987895
1738784290525,0.0600585938,-0.9685058594,0.2507324219,1738784290526,-5.0609755516,1.8292683363,2.1417684555
1738784290527,0.0614013672,-0.9718017578,0.2503662109,1738784290528,-4.8323173523,1.9435975552,2.4618902206
1738784290562,0.0595703125,-0.9759521484,0.2482910156,1738784290564,-4.4359755516,2.2179877758,2.8963415623
1738784290565,0.0603027344,-0.9729003906,0.2478027344,1738784290566,-4.0243902206,2.6295733452,3.2926828861
1738784290567,0.0584716797,-0.9688720703,0.2491455078,1738784290567,-3.7042684555,2.9954268932,3.5823171139
1738784290568,0.0579833984,-0.9691162109,0.2515869141,1738784290569,-3.0487804413,3.3460366726,3.6661586761
1738784290605,0.0596923828,-0.9711914063,0.2508544922,1738784290606,-2.8353660107,3.6356709003,3.6661586761
1738784290606,0.0582275391,-0.9653320313,0.2481689453,1738784290607,-2.713414669,4.0777440071,3.8719513416
1738784290608,0.0579833984,-0.9605712891,0.2447509766,1738784290610,-2.6676828861,4.3216462135,3.8795733452
1738784290611,0.0677490234,-0.9620361328,0.2458496094,1738784290612,-2.6676828861,4.5426831245,4.0929880142
1738784290612,0.0744628906,-0.9655761719,0.2492675781,1738784290613,-2.7286586761,5.2667684555,4.5579271317
1738784290651,0.0754394531,-0.96484375,0.248046875,1738784290656,-2.8048779964,6.4786586761,5.1753048897
1738784290659,0.07421875,-0.9644775391,0.2434082031,1738784290662,-2.911585331,7.3932929039,5.8917684555
1738784290662,0.0762939453,-0.9645996094,0.2456054688,1738784290663,-3.0030488968,8.3993902206,6.5320124626
1738784290663,0.0737304688,-0.9624023438,0.2443847656,1738784290664,-2.972561121,9.5807933807,7.1570124626
1738784290696,0.0690917969,-0.9633789063,0.2437744141,1738784290698,-2.7667684555,10.6402444839,7.5304880142
1738784290700,0.0673828125,-0.9643554688,0.2437744141,1738784290702,-2.5,11.3948173523,7.8810977936
1738784290703,0.0666503906,-0.9635009766,0.2421875,1738784290704,-2.2713415623,12.0426836014,8.4527444839
1738784290704,0.0665283203,-0.9606933594,0.2415771484,1738784290705,-2.0807926655,12.7591466904,9.1692075729
1738784290706,0.0697021484,-0.9592285156,0.2415771484,1738784290706,-2.2332317829,13.7042684555,9.7713413239
1738784290738,0.0759277344,-0.9620361328,0.2424316406,1738784290739,-2.3856709003,14.7789640427,10.5106706619
1738784290743,0.0859375,-0.9704589844,0.2457275391,1738784290745,-2.1493902206,16.2118911743,11.471036911
1738784290747,0.0932617188,-0.9724121094,0.2451171875,1738784290748,-1.905487895,18.1554889679,12.7591466904
1738784290749,0.0906982422,-0.9781494141,0.2453613281,1738784290750,-1.463414669,20.3201217651,14.4435977936
1738784290784,0.0740966797,-0.98046875,0.2434082031,1738784290787,-0.7012194991,22.2942085266,16.6310977936
1738784290789,0.060546875,-0.9786376953,0.2426757813,1738784290790,0.2210365832,23.3917694092,19.3902435303
1738784290791,0.0471191406,-0.9711914063,0.2390136719,1738784290792,1.1280487776,23.6737804413,22.5228672028
1738784290793,0.0354003906,-0.9642333984,0.2387695313,1738784290793,1.775914669,23.3689022064,25.8689022064
1738784290794,0.0310058594,-0.9620361328,0.2397460938,1738784290794,2.0121951103,22.8810977936,29.0396347046
1738784290834,0.0327148438,-0.9515380859,0.2352294922,1738784290838,1.9207317829,22.8963413239,32.1951217651
1738784290844,0.0238037109,-0.9431152344,0.2308349609,1738784290844,1.4100610018,23.4527435303,34.6722564697
1738784290845,0.0114746094,-0.9493408203,0.2312011719,1738784290846,0.3658536673,24.3597564697,36.196647644
1738784290846,-0.0047607422,-0.9638671875,0.2303466797,1738784290848,-0.3125,25.221036911,36.9664649963
1738784290873,-0.0267333984,-0.9652099609,0.2253417969,1738784290878,-0.114329271,25.6935977936,37.682926178
1738784290881,-0.0401611328,-0.9671630859,0.2211914063,1738784290883,0.3734756112,25.5792694092,38.3917694092
1738784290884,-0.0509033203,-0.9741210938,0.2178955078,1738784290885,1.1814024448,25.1143302917,39.2225608826
1738784290885,-0.0573730469,-0.9775390625,0.2166748047,1738784290886,2.1722562313,24.7865867615,39.8323173523
1738784290886,-0.0639648438,-0.9838867188,0.2183837891,1738784290886,2.9344513416,24.8704280853,40.0228652954
1738784290919,-0.0787353516,-0.9956054688,0.2139892578,1738784290920,3.7957317829,25.1371955872,40.2210388184
1738784290921,-0.0960693359,-0.9956054688,0.2098388672,1738784290922,5.3353657722,25.1829280853,40.0381088257
1738784290924,-0.1057128906,-1.001953125,0.2077636719,1738784290924,6.8140244484,25.0838413239,39.4131088257
1738784290925,-0.1141357422,-1.0013427734,0.2066650391,1738784290926,8.658536911,25.0,38.8567085266
1738784290968,-0.1220703125,-1.0106201172,0.2066650391,1738784290972,10.7774391174,24.908536911,38.2850608826
1738784290974,-0.1331787109,-1.0249023438,0.2048339844,1738784290975,13.5060977936,24.8475608826,37.682926178
1738784290976,-0.1500244141,-1.0238037109,0.2056884766,1738784290977,16.7911586761,24.5274391174,37.0503044128
1738784290978,-0.1589355469,-1.0207519531,0.2071533203,1738784290978,20.0228672028,23.7728672028,36.2957344055
1738784291008,-0.1658935547,-1.0145263672,0.2108154297,1738784291011,23.2621955872,22.8125,35.5259170532
1738784291012,-0.1629638672,-1.0103759766,0.2117919922,1738784291012,26.3948173523,21.9435977936,34.4893302917
1738784291060,-0.1506347656,-1.009765625,0.2103271484,1738784291062,29.0701217651,21.6234760284,33.8033561707
1738784291062,-0.1481933594,-1.0104980469,0.2144775391,1738784291063,31.8064041138,22.0884151459,33.8414649963
1738784291064,-0.1561279297,-1.0126953125,0.2198486328,1738784291066,35.0152435303,22.8353672028,34.6265258789
1738784291067,-0.1719970703,-1.005859375,0.2248535156,1738784291068,38.5823173523,23.216463089,35.5564041138
1738784291070,-0.1915283203,-0.9866943359,0.2307128906,1738784291071,41.8064041138,22.9268302917,36.2118911743
1738784291072,-0.1951904297,-0.9750976563,0.2320556641,1738784291073,44.7179870605,21.7911586761,36.9435997009
1738784291074,-0.1856689453,-0.9567871094,0.2390136719,1738784291074,47.2713432312,20.7317085266,37.7439041138
1738784291100,-0.1727294922,-0.9420166016,0.2559814453,1738784291100,49.0701217651,20.3277435303,38.6737823486
1738784291101,-0.1696777344,-0.9404296875,0.2667236328,1738784291102,50.1905517578,20.846036911,39.7942085266
1738784291103,-0.1773681641,-0.9291992188,0.2756347656,1738784291103,51.2957344055,21.7378063202,41.1280479431
1738784291104,-0.1956787109,-0.9138183594,0.2822265625,1738784291105,52.4695129395,22.3246955872,42.629573822
1738784291105,-0.2154541016,-0.9011230469,0.2941894531,1738784291106,53.4070129395,22.1570129395,44.4131126404
1738784291146,-0.2263183594,-0.8957519531,0.3044433594,1738784291148,54.192073822,21.3490867615,46.2423782349
1738784291149,-0.2310791016,-0.8803710938,0.3138427734,1738784291150,55.2210388184,20.4344520569,48.0182952881
1738784291151,-0.2233886719,-0.8774414063,0.3210449219,1738784291152,55.6402435303,19.9542694092,49.6646347046
1738784291152,-0.2258300781,-0.8720703125,0.3269042969,1738784291153,55.8993911743,20.716463089,51.3567085266
1738784291187,-0.2508544922,-0.8536376953,0.3325195313,1738784291188,56.1204299927,22.1493911743,52.1189041138
1738784291191,-0.2828369141,-0.8422851563,0.3350830078,1738784291191,55.4039649963,23.3079280853,51.432926178
1738784291192,-0.3071289063,-0.8463134766,0.3435058594,1738784291193,54.9085388184,23.5442085266,49.6570129395
1738784291194,-0.3302001953,-0.8468017578,0.3538818359,1738784291194,55.3277435303,23.3612804413,47.8887214661
1738784291195,-0.3588867188,-0.8472900391,0.3641357422,1738784291196,56.379573822,22.5304889679,46.0823173523
1738784291235,-0.3792724609,-0.8464355469,0.3659667969,1738784291238,57.7896347046,21.0975608826,44.192073822
