timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784597009,0.0208740234,-0.9224853516,0.3572998047,1738784597054,-3.4222562313,-0.6097561121,0.5868902802
1738784597010,0.0186767578,-0.9288330078,0.3579101563,1738784597061,-3.4908537865,-1.3719512224,0.9832317233
1738784597059,0.0180664063,-0.9291992188,0.3575439453,1738784597069,-3.071646452,-1.0518293381,0.7545731664
1738784597062,0.0179443359,-0.9311523438,0.3570556641,1738784597076,-2.9344513416,-1.1128048897,0.7469512224
1738784597074,0.0157470703,-0.9252929688,0.3577880859,1738784597078,-2.8582317829,-1.3262195587,0.6783536673
1738784597077,0.0162353516,-0.9267578125,0.3562011719,1738784597080,-2.660061121,-1.5472561121,0.617378056
1738784597079,0.0140380859,-0.9284667969,0.3587646484,1738784597082,-2.4695122242,-1.6996951103,0.5868902802
1738784597081,0.0115966797,-0.9250488281,0.359375,1738784597098,-2.3704268932,-1.9131097794,0.5106707215
1738784597083,0.0140380859,-0.9243164063,0.3618164063,1738784597100,-2.1570122242,-1.9359756708,0.525914669
1738784597099,0.0145263672,-0.9295654297,0.3623046875,1738784597101,-1.9664634466,-2.0807926655,0.3887195289
1738784597101,0.0115966797,-0.9274902344,0.3620605469,1738784597103,-1.8978658915,-2.2942073345,0.1371951252
1738784597102,0.0146484375,-0.9255371094,0.3624267578,1738784597104,-1.6234756708,-2.3246951103,0.0228658542
1738784597104,0.0167236328,-0.9222412109,0.3615722656,1738784597145,-1.875,-2.2637195587,0.0609756112
1738784597144,0.0148925781,-0.9162597656,0.3586425781,1738784597147,-2.1112804413,-2.1875,-0.0609756112
1738784597145,0.0130615234,-0.9157714844,0.3582763672,1738784597148,-2.6143293381,-2.3551828861,-0.2515243888
1738784597147,0.0100097656,-0.9197998047,0.3571777344,1738784597152,-3.0945122242,-2.660061121,-0.5106707215
1738784597151,0.0080566406,-0.9212646484,0.3542480469,1738784597154,-3.4527440071,-3.224085331,-0.9222561121
1738784597153,0.0062255859,-0.9185791016,0.3551025391,1738784597191,-3.9405488968,-3.8719513416,-1.3643293381
1738784597188,0.0072021484,-0.9248046875,0.3508300781,1738784597195,-4.0243902206,-4.5121951103,-1.6158536673
1738784597192,0.0062255859,-0.9274902344,0.3530273438,1738784597198,-3.8414635658,-5.2515244484,-1.8140244484
1738784597197,0.0083007813,-0.9265136719,0.3532714844,1738784597200,-3.8643293381,-5.8003048897,-1.8978658915
1738784597199,0.0129394531,-0.9283447266,0.3521728516,1738784597234,-3.650914669,-6.3109755516,-1.7682926655
1738784597233,0.0126953125,-0.9356689453,0.3516845703,1738784597236,-3.285061121,-6.7454271317,-1.7682926655
1738784597235,0.0126953125,-0.9334716797,0.3486328125,1738784597238,-2.7743902206,-7.2560977936,-1.9131097794
1738784597237,0.0123291016,-0.9136962891,0.3466796875,1738784597239,-3.1021342278,-7.9192075729,-2.2179877758
1738784597238,0.0123291016,-0.9099121094,0.3474121094,1738784597282,-3.5518293381,-8.5518293381,-2.3399391174
1738784597281,0.0164794922,-0.9234619141,0.3458251953,1738784597284,-3.6128048897,-9.0396347046,-2.2942073345
1738784597283,0.0179443359,-0.9246826172,0.3464355469,1738784597285,-3.8490855694,-9.3368902206,-2.2332317829
1738784597285,0.0213623047,-0.921875,0.3452148438,1738784597288,-4.1006097794,-9.8704271317,-2.2179877758
1738784597286,0.0230712891,-0.9233398438,0.3452148438,1738784597290,-4.283536911,-10.3658542633,-2.2332317829
1738784597290,0.0235595703,-0.9249267578,0.3480224609,1738784597326,-4.2530488968,-10.8079271317,-2.2103660107
