timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z,label
0.0,0.129395,-0.978638,0.077148,1.0,3.04878,-0.015244,-3.719512,1
6.0,0.129639,-0.984253,0.076782,7.0,2.919207,0.23628,-3.75,1
7.0,0.131104,-0.981567,0.078979,8.0,2.827744,-0.66311,-3.673781,1
8.0,0.134888,-0.97937,0.075806,9.0,2.400915,-1.623476,-3.559451,1
47.0,0.137695,-0.976807,0.077515,48.0,1.981707,-2.46189,-3.254573,1
49.0,0.139893,-0.978394,0.077271,50.0,1.608232,-3.20122,-2.919207,1
50.0,0.144897,-0.980835,0.078613,51.0,1.196646,-3.719512,-2.560976,1
53.0,0.149902,-0.981812,0.078491,53.0,0.724085,-4.207317,-2.195122,1
54.0,0.151733,-0.977905,0.078125,54.0,0.137195,-4.466464,-1.867378,1
90.0,0.15271,-0.978271,0.076172,91.0,-0.457317,-4.573171,-1.52439,1
92.0,0.156006,-0.980103,0.072632,93.0,-1.01372,-4.580793,-1.28811,1
94.0,0.157593,-0.978027,0.072021,94.0,-1.63872,-4.573171,-1.189024,1
95.0,0.162354,-0.981567,0.068848,96.0,-2.301829,-4.321646,-1.097561,1
134.0,0.165771,-0.988159,0.070313,135.0,-2.835366,-3.833842,-0.998476,1
137.0,0.164917,-0.991699,0.066528,138.0,-3.292683,-3.422256,-0.9375,1
139.0,0.164551,-0.989258,0.065186,141.0,-3.673781,-2.919207,-0.716463,1
142.0,0.164673,-0.989136,0.063354,142.0,-3.864329,-2.42378,-0.617378,1
179.0,0.164795,-0.994995,0.061646,180.0,-3.971037,-1.867378,-0.525915,1
181.0,0.165283,-0.997803,0.060791,182.0,-4.009146,-1.432927,-0.342988,1
182.0,0.164185,-1.000122,0.05957,183.0,-3.871951,-1.089939,-0.182927,1
183.0,0.161865,-0.998413,0.057495,184.0,-3.75,-0.746951,-0.022866,1
185.0,0.162109,-0.997192,0.057495,185.0,-3.734756,-0.426829,0.205793,1
225.0,0.1604,-1.000732,0.055176,229.0,-3.498476,-0.099085,0.38872,1
230.0,0.15979,-1.0,0.055908,231.0,-3.170732,0.068598,0.617378,1
232.0,0.158203,-1.005981,0.053467,233.0,-2.949695,0.23628,0.815549,1
233.0,0.156616,-1.008789,0.054565,234.0,-2.370427,0.411585,0.967988,1
269.0,0.15686,-1.004639,0.054932,270.0,-1.821646,0.58689,1.143293,1
270.0,0.155518,-1.006104,0.052612,271.0,-1.364329,0.746951,1.166159,1
273.0,0.151611,-1.003174,0.052979,277.0,-0.876524,0.807927,1.364329,1
279.0,0.154663,-1.001343,0.053589,280.0,-0.556402,0.945122,1.455793,1
280.0,0.1521,-1.003052,0.056396,281.0,-0.221037,1.143293,1.371951,1
315.0,0.150757,-0.99707,0.054443,316.0,-0.030488,1.21189,1.32622,1
318.0,0.149536,-0.994385,0.058105,319.0,-0.083841,1.257622,1.394817,1
320.0,0.148071,-1.0,0.058105,321.0,-0.144817,1.318598,1.394817,1
322.0,0.14624,-0.997192,0.054565,323.0,-0.07622,1.143293,1.310976,1
360.0,0.146362,-0.995972,0.057129,364.0,-0.106707,1.051829,1.280488,1
365.0,0.150391,-1.001099,0.059204,367.0,-0.198171,1.036585,1.364329,1
368.0,0.151489,-1.000488,0.05835,369.0,-0.396341,1.082317,1.471037,1
370.0,0.14856,-1.001709,0.052856,370.0,-0.678354,1.021341,1.539634,1
372.0,0.146851,-1.002319,0.050659,372.0,-0.929878,0.861281,1.806402,1
402.0,0.147217,-1.002563,0.048828,402.0,-0.960366,0.693598,2.339939,1
403.0,0.145752,-1.002563,0.049072,405.0,-0.838415,0.739329,2.721037,1
406.0,0.143799,-1.00647,0.047363,406.0,-0.480183,0.838415,2.980183,1
406.0,0.140259,-1.010132,0.049194,409.0,-0.030488,0.815549,3.018293,1
448.0,0.140381,-1.009644,0.051392,450.0,0.533537,0.632622,2.865854,1
450.0,0.139771,-1.009277,0.054443,451.0,1.219512,0.495427,2.705793,1
451.0,0.134766,-1.004883,0.05603,452.0,1.798781,0.426829,2.454268,1
452.0,0.134033,-1.004272,0.056396,453.0,2.446646,0.137195,2.11128,1
454.0,0.131836,-0.998047,0.061401,455.0,2.842988,-0.198171,1.83689,1
498.0,0.129272,-0.993164,0.063843,499.0,3.094512,-0.556402,1.60061,1
500.0,0.129028,-0.989502,0.066162,501.0,3.208842,-0.853659,1.356707,1
502.0,0.128418,-0.986694,0.069946,503.0,3.170732,-1.181402,1.150915,1
504.0,0.129883,-0.985718,0.071289,504.0,2.88872,-1.493902,0.739329,1
539.0,0.127075,-0.981567,0.073242,540.0,2.721037,-1.890244,0.35061,1
541.0,0.127197,-0.97998,0.079224,541.0,2.210366,-2.271342,0.07622,1
542.0,0.127808,-0.978149,0.081421,543.0,1.554878,-2.759146,-0.053354,1
544.0,0.130371,-0.977783,0.082764,544.0,0.754573,-3.285061,-0.160061,1
588.0,0.131104,-0.966309,0.081543,589.0,-0.083841,-3.742378,-0.342988,1
590.0,0.130737,-0.968628,0.085083,590.0,-1.349085,-4.092988,-0.396341,1
