timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
0.0,0.187744,-0.944214,0.099731,2.0,-5.609756,6.371952,1.166159
2.0,0.187134,-0.976196,0.105713,4.0,-5.617378,6.234756,0.708842
3.0,0.187988,-0.998901,0.109619,6.0,-5.579268,5.815549,0.990854
5.0,0.195313,-1.00647,0.115234,46.0,-4.230183,6.044208,0.609756
44.0,0.194946,-1.025269,0.12207,51.0,-1.135671,6.272866,-0.35061
50.0,0.193237,-1.046143,0.125977,53.0,2.57622,5.960366,-1.204268
52.0,0.18689,-1.008301,0.125244,54.0,4.916159,5.487805,-1.432927
54.0,0.184326,-0.995361,0.12146,57.0,6.364329,4.984756,-0.983232
55.0,0.189087,-0.984375,0.113525,89.0,6.333842,4.481708,-0.060976
88.0,0.188965,-0.95166,0.103394,91.0,4.76372,4.329268,0.891768
90.0,0.186768,-0.916504,0.090698,93.0,1.722561,4.314024,1.852134
92.0,0.177979,-0.909912,0.078613,94.0,-2.172256,3.887195,3.193598
93.0,0.169434,-0.913696,0.073486,136.0,-6.067073,3.155488,4.512195
134.0,0.172363,-0.938721,0.06958,139.0,-8.849086,2.530488,5.426829
137.0,0.171265,-0.956787,0.067993,142.0,-10.70122,2.004573,5.983232
142.0,0.167847,-0.97644,0.069336,143.0,-11.417684,1.463415,6.364329
143.0,0.170898,-1.007568,0.067871,145.0,-10.868903,1.181402,6.692073
144.0,0.174683,-1.033691,0.068359,178.0,-8.887196,1.257622,6.669208
177.0,0.178223,-1.050293,0.066772,180.0,-6.189024,1.532012,6.394817
179.0,0.175903,-1.05481,0.064087,181.0,-3.170732,1.882622,5.907012
181.0,0.168579,-1.039673,0.064575,182.0,-0.594512,2.11128,5.304878
182.0,0.165894,-1.026245,0.064087,227.0,1.432927,2.309451,4.710366
226.0,0.161743,-1.019287,0.062256,228.0,3.010671,2.393293,4.085366
227.0,0.160278,-1.007202,0.066528,232.0,4.001524,2.454268,3.727134
