timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735647497288,0.1641845703,-0.7315673828,-0.6925048828,1735647497291,-0.7545731664,0.4496951401,-0.304878056
1735647497289,0.1680908203,-0.7415771484,-0.701171875,1735647497335,-0.5182926655,0.464939028,-0.0076219514
1735647497292,0.1622314453,-0.7404785156,-0.7023925781,1735647497338,-0.464939028,0.3963414729,-0.0914634168
1735647497337,0.1602783203,-0.7387695313,-0.7025146484,1735647497342,-0.4573170841,0.2743902504,-0.2667683065
1735647497340,0.1595458984,-0.7370605469,-0.7015380859,1735647497344,-0.4344512224,0.0685975626,-0.4192073345
1735647497343,0.1605224609,-0.7380371094,-0.7005615234,1735647497345,-0.3810975552,0.076219514,-0.5792682767
1735647497345,0.1608886719,-0.7385253906,-0.7019042969,1735647497347,-0.2667683065,0.0457317084,-0.632621944
1735647497346,0.1640625,-0.7369384766,-0.7021484375,1735647497348,-0.2057926804,0.1829268336,-0.632621944
1735647497347,0.1667480469,-0.7360839844,-0.6983642578,1735647497380,-0.2820121944,0.4192073345,-0.5564024448
1735647497379,0.166015625,-0.7337646484,-0.6987304688,1735647497384,-0.3506097496,0.525914669,-0.5106707215
1735647497381,0.1668701172,-0.7371826172,-0.6962890625,1735647497385,-0.3582317233,0.632621944,-0.4573170841
1735647497385,0.1668701172,-0.7420654297,-0.6984863281,1735647497386,-0.114329271,0.7621951103,-0.2439024448
1735647497386,0.1645507813,-0.7406005859,-0.6964111328,1735647497388,0.152439028,0.9222561121,-0.320121944
1735647497388,0.1610107422,-0.7421875,-0.6965332031,1735647497423,0.2896341383,0.8993902802,-0.4268292785
1735647497422,0.1600341797,-0.7437744141,-0.6958007813,1735647497424,0.472560972,0.8155487776,-0.5640243888
1735647497424,0.1607666016,-0.7421875,-0.6955566406,1735647497426,0.5792682767,0.6707317233,-0.5792682767
1735647497425,0.1614990234,-0.7415771484,-0.7003173828,1735647497427,0.7240853906,0.4420731664,-0.4801829457
1735647497427,0.1612548828,-0.7398681641,-0.7020263672,1735647497468,0.8841463327,0.304878056,-0.3506097496
1735647497465,0.1597900391,-0.7425537109,-0.7017822266,1735647497469,0.9603658915,0.2591463327,-0.1067073196
1735647497469,0.1619873047,-0.7452392578,-0.7027587891,1735647497471,1.1051830053,0.2591463327,0.1676829308
1735647497470,0.1616210938,-0.7473144531,-0.7008056641,1735647497473,1.3033536673,0.2210365832,0.2743902504
1735647497472,0.1595458984,-0.7502441406,-0.6999511719,1735647497514,1.6768293381,0.0685975626,0.160060972
1735647497512,0.1569824219,-0.7474365234,-0.69921875,1735647497560,1.9131097794,-0.1753048748,0.0533536598
1735647497558,0.1589355469,-0.7465820313,-0.6989746094,1735647497562,1.9435975552,-0.2820121944,0.0
1735647497561,0.1638183594,-0.7456054688,-0.6983642578,1735647497563,2.1265244484,-0.2057926804,-0.0152439028
1735647497562,0.1646728516,-0.748046875,-0.6984863281,1735647497565,2.4161586761,0.0457317084,0.228658542
1735647497564,0.1687011719,-0.7513427734,-0.6942138672,1735647497566,2.6676828861,0.5487805009,0.525914669
1735647497566,0.1641845703,-0.7469482422,-0.689453125,1735647497567,2.7743902206,0.7850610018,0.6097561121
1735647497567,0.1623535156,-0.7473144531,-0.6887207031,1735647497568,2.713414669,0.8841463327,0.3429878056
1735647497568,0.1594238281,-0.7490234375,-0.6870117188,1735647497603,2.7210366726,0.8689024448,0.1371951252
