timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735575059194,0.0048828125,0.9790039063,0.0145263672,1735575059237,0.3810975552,0.2972561121,-0.7545731664
1735575059199,0.0030517578,0.9827880859,0.0139160156,1735575059238,-0.0685975626,0.0990853682,-0.7621951103
1735575059200,-0.0007324219,0.9772949219,0.0114746094,1735575059242,-0.160060972,0.3963414729,-0.8993902802
1735575059200,-0.0013427734,0.9787597656,0.0090332031,1735575059243,-0.7469512224,0.7926829457,-1.1432926655
1735575059201,0.0001220703,0.9830322266,0.0062255859,1735575059286,-1.3414634466,1.0899389982,-1.2576220036
1735575059236,0.0017089844,0.9929199219,0.0081787109,1735575059287,-1.8978658915,1.4176830053,-1.2042683363
1735575059237,0.0042724609,0.9959716797,0.0024414063,1735575059292,-2.3170731068,1.7225610018,-1.067073226
1735575059239,0.0076904297,0.9991455078,0.0057373047,1735575059294,-2.3246951103,1.905487895,-0.8612805009
1735575059242,0.0084228516,1.0003662109,0.0068359375,1735575059294,-2.0121951103,1.875,-0.5106707215
1735575059281,0.0048828125,0.998046875,0.0065917969,1735575059328,-1.592987895,1.9207317829,-0.1371951252
1735575059287,0.0029296875,0.9942626953,0.0089111328,1735575059329,-1.4100610018,1.8826220036,0.114329271
1735575059288,0.0006103516,0.9864501953,0.0096435547,1735575059330,-1.4176830053,1.8292683363,0.3582317233
1735575059293,-0.0046386719,0.9853515625,0.0119628906,1735575059333,-1.8368903399,1.7682926655,0.525914669
1735575059294,-0.0103759766,0.9807128906,0.0141601563,1735575059375,-2.6524391174,1.7301830053,0.7926829457
1735575059326,-0.0075683594,0.9803466797,0.0164794922,1735575059379,-3.1554877758,1.6539634466,0.9679878354
1735575059329,-0.0078125,0.9840087891,0.0164794922,1735575059381,-3.3231709003,1.5243902206,0.9984756112
1735575059330,-0.0065917969,0.9906005859,0.0153808594,1735575059383,-3.5137195587,1.5320122242,0.8993902802
1735575059331,-0.0064697266,0.9973144531,0.0169677734,1735575059384,-3.3917684555,1.5396342278,0.8689024448
1735575059371,-0.0062255859,0.9957275391,0.0173339844,1735575059418,-2.9801828861,1.3643293381,0.8231707215
1735575059376,-0.0063476563,0.9912109375,0.0186767578,1735575059419,-2.3704268932,1.3948171139,0.7317073345
1735575059380,-0.0043945313,0.9899902344,0.0219726563,1735575059424,-1.7682926655,1.2042683363,0.6859756112
1735575059382,-0.0036621094,0.9849853516,0.0240478516,1735575059425,-1.7530487776,1.2195122242,0.6478658915
