timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735640018367,0.0047607422,-0.5233154297,0.8067626953,1735640018373,-3.5746951103,-1.0823171139,1.036585331
1735640018372,0.0063476563,-0.5281982422,0.8107910156,1735640018375,-3.4603660107,-1.2195122242,0.7012194991
1735640018374,0.0073242188,-0.5289306641,0.810546875,1735640018376,-3.4070122242,-1.0518293381,0.8765243888
1735640018376,0.0093994141,-0.5321044922,0.810546875,1735640018401,-3.2698171139,-1.25,0.8536585569
1735640018400,0.0118408203,-0.5302734375,0.8103027344,1735640018406,-3.1021342278,-1.3338414431,0.6402438879
1735640018405,0.013671875,-0.5278320313,0.8090820313,1735640018407,-3.1021342278,-1.2195122242,0.4801829457
1735640018407,0.0151367188,-0.5266113281,0.8087158203,1735640018409,-3.3307926655,-0.929878056,0.3887195289
1735640018408,0.0174560547,-0.5291748047,0.8089599609,1735640018410,-3.3765244484,-0.6097561121,0.3353658617
1735640018409,0.0194091797,-0.529296875,0.8098144531,1735640018447,-3.6128048897,-0.3810975552,0.228658542
1735640018446,0.0202636719,-0.5267333984,0.8060302734,1735640018452,-3.9481709003,-0.0457317084,0.2667683065
1735640018451,0.0162353516,-0.5268554688,0.8060302734,1735640018454,-4.2149391174,-0.038109757,0.0457317084
1735640018453,0.0139160156,-0.5305175781,0.8071289063,1735640018455,-4.3673782349,0.0609756112,-0.1219512224
1735640018455,0.0133056641,-0.5341796875,0.8078613281,1735640018493,-4.2301831245,0.1219512224,-0.1448170692
1735640018492,0.0113525391,-0.5367431641,0.8049316406,1735640018495,-3.9862806797,-0.038109757,-0.2820121944
1735640018494,0.01171875,-0.5375976563,0.8052978516,1735640018496,-3.9405488968,-0.0533536598,-0.2667683065
1735640018495,0.0139160156,-0.5363769531,0.8039550781,1735640018497,-3.8414635658,0.038109757,-0.1676829308
1735640018496,0.0133056641,-0.5372314453,0.8013916016,1735640018498,-3.8262195587,0.0533536598,-0.1905487776
1735640018498,0.0131835938,-0.5361328125,0.8017578125,1735640018539,-3.9253048897,-0.0990853682,-0.152439028
1735640018538,0.0145263672,-0.53515625,0.80078125,1735640018542,-4.1006097794,-0.1295731664,-0.0990853682
1735640018540,0.0129394531,-0.537109375,0.8023681641,1735640018543,-4.2530488968,-0.152439028,-0.0228658542
1735640018542,0.0140380859,-0.5379638672,0.8029785156,1735640018545,-4.4131097794,-0.160060972,0.0685975626
1735640018544,0.0122070313,-0.5401611328,0.8016357422,1735640018585,-4.4664635658,-0.2515243888,0.0685975626
1735640018583,0.0159912109,-0.5411376953,0.8020019531,1735640018588,-4.4817075729,-0.114329271,0.0457317084
1735640018587,0.0162353516,-0.5390625,0.8023681641,1735640018589,-4.6493902206,-0.1448170692,0.1067073196
1735640018588,0.0129394531,-0.5394287109,0.8020019531,1735640018590,-4.908536911,-0.2134146392,0.0304878056
1735640018589,0.0135498047,-0.5399169922,0.8015136719,1735640018591,-5.2896342278,-0.2210365832,0.076219514
1735640018591,0.0155029297,-0.5366210938,0.8009033203,1735640018627,-5.5106706619,-0.1371951252,0.1295731664
