timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735501440731,0.0159912109,-1.0207519531,0.0833740234,1735501440735,0.9603658915,1.6310975552,-1.3262195587
1735501440733,0.0114746094,-1.0272216797,0.0865478516,1735501440738,0.6097561121,1.1051830053,-1.2576220036
1735501440737,0.013671875,-1.0192871094,0.0866699219,1735501440739,1.5396342278,0.6021341681,-1.3109756708
1735501440739,0.0209960938,-1.0129394531,0.0920410156,1735501440740,2.1875,0.0533536598,-1.2804877758
1735501440740,0.0311279297,-1.0068359375,0.0931396484,1735501440750,2.4618902206,-0.2439024448,-0.9070122242
1735501440749,0.0356445313,-0.9990234375,0.0965576172,1735501440752,2.2179877758,-0.3963414729,-0.2896341383
1735501440751,0.0413818359,-0.9958496094,0.0986328125,1735501440758,1.7454268932,-0.4344512224,0.2667683065
1735501440758,0.0474853516,-0.9929199219,0.1010742188,1735501440760,1.0594512224,-0.3963414729,0.7317073345
1735501440759,0.0483398438,-0.9884033203,0.1038818359,1735501440801,0.4039634168,-0.236280486,0.9679878354
1735501440798,0.048828125,-0.9890136719,0.107421875,1735501440804,-0.2972561121,-0.0228658542,1.1661585569
1735501440802,0.0473632813,-0.9935302734,0.1060791016,1735501440806,-0.9984756112,0.1371951252,1.1890244484
1735501440805,0.0476074219,-0.9990234375,0.1079101563,1735501440807,-1.3185975552,0.320121944,1.0289634466
1735501440806,0.0500488281,-1.0086669922,0.1052246094,1735501440807,-1.3185975552,0.6707317233,0.8536585569
1735501440807,0.0496826172,-1.0158691406,0.1024169922,1735501440845,-0.9756097794,1.1890244484,0.8003048897
1735501440842,0.0495605469,-1.0163574219,0.0987548828,1735501440847,-0.6478658915,1.6996951103,0.7698171139
1735501440846,0.046875,-1.0177001953,0.0952148438,1735501440848,-0.2896341383,2.2332317829,0.4420731664
1735501440848,0.0466308594,-1.0224609375,0.0961914063,1735501440855,0.2134146392,2.5609755516,0.2515243888
1735501440850,0.0423583984,-1.0172119141,0.0970458984,1735501440888,0.4801829457,2.9878048897,0.0457317084
