timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1736411775001,-0.1959228516,-0.9815673828,-0.1071777344,1736411775008,-0.9679878354,-0.846036613,-0.2972561121
1736411775007,-0.1938476563,-0.98828125,-0.1079101563,1736411775009,-1.1814024448,-0.7012194991,-0.3506097496
1736411775009,-0.1915283203,-0.9859619141,-0.1057128906,1736411775011,-1.150914669,-0.3506097496,-0.2515243888
1736411775010,-0.1911621094,-0.9833984375,-0.1042480469,1736411775036,-0.9527439475,0.038109757,-0.3125
1736411775035,-0.197265625,-0.9787597656,-0.1021728516,1736411775038,-1.0899389982,0.3734756112,-0.3125
1736411775037,-0.1979980469,-0.9782714844,-0.1048583984,1736411775040,-1.2042683363,0.6402438879,-0.4039634168
1736411775039,-0.1986083984,-0.9754638672,-0.1058349609,1736411775042,-1.5472561121,0.7088415027,-0.525914669
1736411775041,-0.2005615234,-0.9749755859,-0.1072998047,1736411775044,-1.8292683363,0.7012194991,-0.5106707215
1736411775043,-0.2026367188,-0.9831542969,-0.1085205078,1736411775086,-1.8216463327,0.7240853906,-0.472560972
1736411775081,-0.2016601563,-0.9887695313,-0.1076660156,1736411775090,-1.6082317829,0.7317073345,-0.3810975552
1736411775088,-0.203125,-0.9896240234,-0.1110839844,1736411775092,-1.3414634466,0.6631097794,-0.2896341383
1736411775091,-0.2038574219,-0.9885253906,-0.1118164063,1736411775093,-1.2271342278,0.5792682767,-0.2439024448
1736411775093,-0.2021484375,-0.9875488281,-0.1104736328,1736411775127,-0.945121944,0.5945122242,-0.2743902504
1736411775126,-0.2004394531,-0.9841308594,-0.1097412109,1736411775131,-0.9222561121,0.617378056,-0.2972561121
1736411775130,-0.2004394531,-0.9841308594,-0.1072998047,1736411775133,-0.9527439475,0.7088415027,-0.3277439177
1736411775132,-0.1989746094,-0.9791259766,-0.1096191406,1736411775135,-1.1814024448,0.8307927251,-0.464939028
1736411775134,-0.1999511719,-0.9757080078,-0.1103515625,1736411775172,-1.5243902206,0.9603658915,-0.5792682767
1736411775171,-0.2016601563,-0.9770507813,-0.1092529297,1736411775174,-1.8445122242,1.0746951103,-0.7164634466
1736411775173,-0.2033691406,-0.9813232422,-0.1098632813,1736411775176,-1.8521342278,1.1737805605,-0.6554878354
1736411775175,-0.2028808594,-0.9836425781,-0.1116943359,1736411775178,-1.6844512224,1.1585365534,-0.6631097794
1736411775177,-0.2015380859,-0.9851074219,-0.1115722656,1736411775180,-1.4100610018,1.1280487776,-0.632621944
1736411775179,-0.2027587891,-0.9885253906,-0.1092529297,1736411775223,-1.1585365534,1.0442073345,-0.5411585569
1736411775221,-0.2030029297,-0.9853515625,-0.1087646484,1736411775229,-1.0213414431,0.9679878354,-0.5030487776
1736411775227,-0.2034912109,-0.9827880859,-0.1076660156,1736411775231,-0.8612805009,0.929878056,-0.4573170841
1736411775230,-0.2015380859,-0.9808349609,-0.1079101563,1736411775232,-0.9679878354,0.8612805009,-0.472560972
1736411775231,-0.2034912109,-0.9750976563,-0.1097412109,1736411775261,-1.3948171139,0.8612805009,-0.5716463327
1736411775260,-0.2022705078,-0.9718017578,-0.1096191406,1736411775264,-1.7911585569,0.6783536673,-0.6478658915
1736411775262,-0.1995849609,-0.9731445313,-0.1076660156,1736411775266,-2.2256097794,0.6554878354,-0.5640243888
1736411775265,-0.1966552734,-0.9770507813,-0.1110839844,1736411775268,-2.3628048897,0.7469512224,-0.3353658617
1736411775267,-0.1951904297,-0.9798583984,-0.1116943359,1736411775269,-2.4618902206,1.0060975552,-0.0609756112
1736411775269,-0.1960449219,-0.9819335938,-0.1119384766,1736411775306,-2.4771342278,1.1204268932,0.160060972
1736411775305,-0.1977539063,-0.984375,-0.1124267578,1736411775307,-2.2713415623,1.1432926655,0.3429878056
1736411775306,-0.1988525391,-0.9855957031,-0.1116943359,1736411775311,-2.0503048897,1.1280487776,0.525914669
1736411775309,-0.2001953125,-0.9842529297,-0.1110839844,1736411775315,-1.9359756708,1.1890244484,0.617378056
1736411775313,-0.2041015625,-0.9847412109,-0.11328125,1736411775349,-1.8597561121,1.1966463327,0.617378056
1736411775348,-0.2021484375,-0.9930419922,-0.1159667969,1736411775351,-1.5091463327,1.2195122242,0.7240853906
1736411775350,-0.2010498047,-1.0002441406,-0.1198730469,1736411775352,-0.838414669,1.2042683363,0.8765243888
1736411775352,-0.2017822266,-1.0048828125,-0.1221923828,1736411775354,0.2820121944,1.1966463327,0.929878056
1736411775353,-0.2010498047,-1.0146484375,-0.1232910156,1736411775356,1.5472561121,1.1890244484,1.0442073345
1736411775355,-0.1989746094,-1.01953125,-0.1239013672,1736411775406,2.911585331,1.2118902206,1.4557926655
1736411775403,-0.1944580078,-1.0219726563,-0.1282958984,1736411775409,4.1692075729,1.3338414431,1.9131097794
