timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738781072851,0.0737304688,-0.9652099609,0.2360839844,1738781072857,-3.1402440071,0.2896341383,-3.7804877758
1738781072855,0.0706787109,-0.9674072266,0.2370605469,1738781072859,-3.3231709003,0.7088415027,-3.5213415623
1738781072858,0.0720214844,-0.9577636719,0.2366943359,1738781072861,-3.2774391174,0.4039634168,-3.3765244484
1738781072860,0.0690917969,-0.9486083984,0.2376708984,1738781072863,-3.4756097794,0.4496951401,-2.9573171139
1738781072862,0.0681152344,-0.9444580078,0.2392578125,1738781072891,-3.6432926655,0.1067073196,-2.599085331
1738781072889,0.0699462891,-0.9411621094,0.2396240234,1738781072892,-3.8185975552,-0.2515243888,-2.3704268932
1738781072892,0.0698242188,-0.9378662109,0.2406005859,1738781072894,-4.0320124626,-0.6783536673,-2.2484755516
1738781072893,0.0715332031,-0.9390869141,0.240234375,1738781072896,-4.0625,-0.945121944,-1.9512195587
1738781072895,0.0792236328,-0.9458007813,0.2395019531,1738781072937,-3.9176831245,-0.9679878354,-1.775914669
1738781072935,0.0831298828,-0.947265625,0.2397460938,1738781072939,-3.8567073345,-0.8231707215,-1.6844512224
1738781072938,0.0841064453,-0.9453125,0.2406005859,1738781072942,-3.8185975552,-0.7469512224,-1.4710366726
1738781072941,0.0844726563,-0.9447021484,0.2364501953,1738781072944,-4.0320124626,-0.5411585569,-1.1280487776
1738781072943,0.0844726563,-0.9497070313,0.2388916016,1738781072945,-4.1539635658,-0.2591463327,-0.9070122242
1738781072944,0.0860595703,-0.9521484375,0.2387695313,1738781072983,-4.2911586761,-0.2439024448,-0.9222561121
1738781072982,0.0825195313,-0.9541015625,0.2421875,1738781072989,-4.3673782349,-0.2743902504,-0.945121944
1738781072985,0.0805664063,-0.9566650391,0.2426757813,1738781072991,-4.3597559929,-0.3429878056,-0.7164634466
1738781072990,0.0810546875,-0.9595947266,0.2432861328,1738781072993,-4.1387195587,-0.3506097496,-0.4496951401
1738781072992,0.0831298828,-0.9606933594,0.2452392578,1738781073036,-3.9024391174,-0.1905487776,-0.038109757
1738781073025,0.0804443359,-0.9582519531,0.2457275391,1738781073040,-3.9557926655,0.0228658542,0.4801829457
1738781073037,0.0825195313,-0.9594726563,0.2446289063,1738781073042,-3.8490855694,0.2515243888,0.838414669
1738781073041,0.0814208984,-0.9619140625,0.2462158203,1738781073044,-3.6432926655,0.533536613,1.1661585569
1738781073043,0.0750732422,-0.9610595703,0.2425537109,1738781073045,-3.4070122242,0.7317073345,1.379573226
1738781073044,0.0700683594,-0.9617919922,0.2479248047,1738781073071,-3.2621951103,0.8307927251,1.4405487776
1738781073070,0.0677490234,-0.9638671875,0.2478027344,1738781073073,-3.285061121,0.7393292785,1.3109756708
1738781073072,0.0639648438,-0.9617919922,0.2448730469,1738781073074,-3.1707317829,0.5716463327,1.036585331
1738781073074,0.0635986328,-0.9581298828,0.2475585938,1738781073076,-3.2317073345,0.2743902504,0.7088415027
1738781073075,0.0615234375,-0.9611816406,0.2486572266,1738781073116,-2.8963415623,-0.0457317084,0.3734756112
1738781073115,0.060546875,-0.9581298828,0.2473144531,1738781073117,-2.5762195587,-0.2515243888,0.1676829308
1738781073116,0.0594482422,-0.9553222656,0.2495117188,1738781073120,-2.6905488968,-0.3734756112,0.0914634168
1738781073118,0.0614013672,-0.9545898438,0.2510986328,1738781073123,-2.5457317829,-0.4268292785,0.0
1738781073122,0.0651855469,-0.9544677734,0.2501220703,1738781073125,-2.4542684555,-0.304878056,-0.152439028
1738781073124,0.0633544922,-0.9464111328,0.2486572266,1738781073159,-2.87347579,-0.236280486,-0.228658542
1738781073158,0.0615234375,-0.9450683594,0.2486572266,1738781073161,-3.0792684555,-0.3125,-0.2743902504
1738781073160,0.0582275391,-0.9489746094,0.2547607422,1738781073163,-3.1097562313,-0.4115853608,-0.3429878056
1738781073161,0.0579833984,-0.9516601563,0.2561035156,1738781073164,-3.0411586761,-0.5106707215,-0.3429878056
1738781073163,0.052734375,-0.9479980469,0.2561035156,1738781073208,-3.025914669,-0.9679878354,-0.4344512224
1738781073205,0.0478515625,-0.939453125,0.2542724609,1738781073210,-3.5442073345,-1.3643293381,-0.4420731664
