timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735647420066,0.0883789063,-0.6065673828,-0.8166503906,1735647420117,2.1112804413,-0.6554878354,-0.7850610018
1735647420068,0.0897216797,-0.6188964844,-0.82421875,1735647420122,1.905487895,-0.7545731664,-0.2439024448
1735647420069,0.0943603516,-0.6232910156,-0.8197021484,1735647420124,1.8140244484,-0.8307927251,-0.3658536673
1735647420070,0.0942382813,-0.6243896484,-0.8177490234,1735647420126,1.9207317829,-0.9908536673,-0.3887195289
1735647420115,0.091796875,-0.6207275391,-0.8187255859,1735647420127,1.7149391174,-1.3185975552,-0.6707317233
1735647420120,0.0883789063,-0.6180419922,-0.8171386719,1735647420161,1.692073226,-1.4557926655,-0.9603658915
1735647420123,0.0852050781,-0.6180419922,-0.8162841797,1735647420163,2.0579268932,-1.4557926655,-1.3262195587
1735647420125,0.0810546875,-0.6181640625,-0.8170166016,1735647420165,2.2027440071,-1.463414669,-1.5625
1735647420127,0.0831298828,-0.6220703125,-0.8157958984,1735647420168,2.2027440071,-1.2423781157,-1.6844512224
1735647420160,0.0853271484,-0.6303710938,-0.8117675781,1735647420203,1.9131097794,-0.9375,-1.7378048897
1735647420162,0.0881347656,-0.6254882813,-0.8140869141,1735647420205,1.5472561121,-0.6859756112,-1.6310975552
1735647420164,0.0927734375,-0.6198730469,-0.8123779297,1735647420206,1.0899389982,-0.7698171139,-1.6615854502
1735647420167,0.09375,-0.6174316406,-0.8122558594,1735647420209,1.0899389982,-1.0213414431,-1.7225610018
1735647420202,0.0943603516,-0.6140136719,-0.8131103516,1735647420210,1.3185975552,-1.3033536673,-1.6310975552
1735647420204,0.0909423828,-0.6160888672,-0.8139648438,1735647420248,1.6310975552,-1.4176830053,-1.3719512224
1735647420205,0.087890625,-0.6217041016,-0.8157958984,1735647420253,1.8292683363,-1.5472561121,-1.1432926655
1735647420207,0.0876464844,-0.6301269531,-0.814453125,1735647420255,1.9512195587,-1.7606707811,-0.9375
1735647420209,0.0886230469,-0.6341552734,-0.8139648438,1735647420256,2.1722562313,-2.1493902206,-0.8841463327
1735647420247,0.0902099609,-0.6314697266,-0.8167724609,1735647420293,2.2789635658,-2.3246951103,-0.8231707215
1735647420251,0.0902099609,-0.6324462891,-0.8142089844,1735647420295,2.2484755516,-2.3170731068,-0.8079268336
1735647420254,0.0867919922,-0.6298828125,-0.8156738281,1735647420297,2.3246951103,-2.0426828861,-0.7240853906
1735647420255,0.0867919922,-0.6285400391,-0.8181152344,1735647420299,2.1951220036,-1.7454268932,-0.6402438879
1735647420292,0.0902099609,-0.6258544922,-0.8143310547,1735647420300,2.0960366726,-1.6310975552,-0.5945122242
1735647420294,0.09375,-0.6248779297,-0.8139648438,1735647420340,2.1265244484,-1.3033536673,-0.632621944
1735647420297,0.0948486328,-0.6248779297,-0.8129882813,1735647420345,2.3932926655,-1.3262195587,-0.7240853906
1735647420298,0.0927734375,-0.6247558594,-0.8131103516,1735647420346,2.8810975552,-1.4710366726,-0.8765243888
1735647420299,0.0909423828,-0.6252441406,-0.8137207031,1735647420348,3.4832317829,-1.5472561121,-1.036585331
1735647420339,0.0900878906,-0.6318359375,-0.8132324219,1735647420384,3.8795733452,-1.6539634466,-1.1661585569
1735647420344,0.0861816406,-0.6387939453,-0.8178710938,1735647420389,3.8262195587,-1.8292683363,-1.1585365534
1735647420346,0.0830078125,-0.6398925781,-0.8182373047,1735647420391,3.75,-1.875,-1.1966463327
1735647420347,0.0815429688,-0.6375732422,-0.8172607422,1735647420393,3.9405488968,-2.3323171139,-1.5015244484
1735647420381,0.0826416016,-0.6318359375,-0.8166503906,1735647420394,4.1844511032,-3.071646452,-2.1189024448
1735647420388,0.0845947266,-0.6350097656,-0.8175048828,1735647420433,4.8323173523,-4.1310977936,-2.9649391174
1735647420390,0.0795898438,-0.6391601563,-0.8165283203,1735647420435,5.6783537865,-5.1829271317,-3.8719513416
1735647420392,0.0708007813,-0.6424560547,-0.8186035156,1735647420437,7.1036586761,-5.7317075729,-4.2073173523
1735647420393,0.0618896484,-0.6519775391,-0.8221435547,1735647420438,8.6204271317,-5.4801831245,-3.9176831245
1735647420431,0.0615234375,-0.6661376953,-0.8275146484,1735647420473,9.8704271317,-4.7560977936,-3.4070122242
1735647420434,0.0717773438,-0.6811523438,-0.8328857422,1735647420477,11.0213413239,-4.0472559929,-3.2926828861
1735647420436,0.0842285156,-0.6878662109,-0.8356933594,1735647420478,11.8978662491,-3.3689024448,-3.338414669
1735647420437,0.0963134766,-0.6821289063,-0.8385009766,1735647420480,12.5457315445,-2.5152440071,-3.1707317829
1735647420472,0.0994873047,-0.6812744141,-0.8343505859,1735647420521,12.8887195587,-1.3262195587,-3.0487804413
1735647420476,0.0966796875,-0.6760253906,-0.8283691406,1735647420562,13.2088413239,-0.228658542,-2.8353660107
1735647420477,0.1026611328,-0.6661376953,-0.8232421875,1735647420608,13.4298782349,0.7317073345,-2.6219513416
1735647420479,0.1088867188,-0.6566162109,-0.8156738281,1735647420611,13.8109760284,1.5472561121,-2.3018293381
1735647420518,0.1108398438,-0.6566162109,-0.8088378906,1735647420613,14.1006097794,2.2713415623,-1.7149391174
1735647420560,0.1079101563,-0.6573486328,-0.8002929688,1735647420614,14.0015249252,2.7820122242,-1.2423781157
1735647420563,0.10546875,-0.6514892578,-0.7930908203,1735647420616,13.8490858078,3.125,-1.0442073345
1735647420609,0.1030273438,-0.6459960938,-0.7896728516,1735647420618,13.7042684555,3.3307926655,-0.8079268336
1735647420612,0.0980224609,-0.6436767578,-0.7850341797,1735647420620,13.2698173523,3.3155488968,-0.7012194991
1735647420613,0.095703125,-0.6430664063,-0.7821044922,1735647420652,12.8506097794,3.0945122242,-0.7317073345
1735647420615,0.09375,-0.6453857422,-0.7811279297,1735647420705,12.2027444839,2.8048779964,-0.6478658915
1735647420617,0.0885009766,-0.6456298828,-0.7808837891,1735647420708,11.8597564697,2.6371951103,-0.6402438879
1735647420619,0.0827636719,-0.6407470703,-0.7789306641,1735647420713,11.9054880142,2.5,-0.4573170841
1735647420620,0.0814208984,-0.6375732422,-0.7761230469,1735647420715,12.1265249252,2.4695122242,-0.1371951252
1735647420699,0.0799560547,-0.6451416016,-0.7742919922,1735647420716,12.4161586761,2.3704268932,0.3582317233
1735647420706,0.0805664063,-0.6534423828,-0.7742919922,1735647420716,12.8810977936,2.4542684555,0.846036613
1735647420712,0.0848388672,-0.6600341797,-0.7756347656,1735647420717,13.3079271317,2.5533537865,1.1890244484
