timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735575194012,0.0213623047,0.9476318359,0.2055664063,1735575194024,1.5625,0.114329271,-0.3887195289
1735575194015,0.0153808594,0.9512939453,0.2066650391,1735575194060,1.7835366726,0.0838414654,-0.632621944
1735575194016,0.0130615234,0.9448242188,0.2053222656,1735575194061,1.7911585569,-0.1067073196,-0.5487805009
1735575194022,0.0109863281,0.9483642578,0.2014160156,1735575194062,1.4329268932,-0.1829268336,-0.625
1735575194023,0.0142822266,0.9520263672,0.2020263672,1735575194063,0.8536585569,-0.1295731664,-0.7698171139
1735575194057,0.0150146484,0.9580078125,0.2043457031,1735575194101,0.4573170841,0.1371951252,-0.945121944
1735575194061,0.0161132813,0.9677734375,0.2042236328,1735575194103,0.038109757,0.2972561121,-0.9146341681
1735575194062,0.0198974609,0.9720458984,0.2032470703,1735575194104,-0.1295731664,0.2515243888,-0.4496951401
1735575194063,0.0242919922,0.9647216797,0.2023925781,1735575194105,0.228658542,0.038109757,0.0457317084
1735575194101,0.0216064453,0.966796875,0.2049560547,1735575194106,0.7393292785,0.114329271,0.3353658617
1735575194102,0.0155029297,0.9619140625,0.2065429688,1735575194147,1.1051830053,0.160060972,0.5640243888
1735575194103,0.0150146484,0.9526367188,0.2072753906,1735575194149,1.3262195587,0.3963414729,0.7164634466
1735575194104,0.0191650391,0.951171875,0.20703125,1735575194152,1.592987895,0.6554878354,0.632621944
1735575194106,0.0190429688,0.9532470703,0.2048339844,1735575194153,1.6082317829,0.9070122242,0.5792682767
1735575194145,0.0222167969,0.9567871094,0.2049560547,1735575194194,1.6463414431,1.0137195587,0.3810975552
1735575194148,0.0245361328,0.9576416016,0.2028808594,1735575194196,1.6539634466,1.0060975552,0.0838414654
1735575194151,0.0242919922,0.9608154297,0.2032470703,1735575194199,1.8140244484,0.9146341681,-0.114329271
1735575194152,0.0242919922,0.9580078125,0.2020263672,1735575194199,1.9512195587,0.6478658915,-0.1981707364
1735575194193,0.0220947266,0.9571533203,0.203125,1735575194236,2.1189024448,0.3810975552,-0.3125
1735575194195,0.0198974609,0.9576416016,0.1994628906,1735575194239,2.2103660107,0.3125,-0.4344512224
1735575194197,0.017578125,0.9564208984,0.1983642578,1735575194241,2.0731706619,0.2972561121,-0.5792682767
1735575194199,0.0162353516,0.9593505859,0.1967773438,1735575194243,1.9588415623,0.4115853608,-0.6402438879
1735575194235,0.0177001953,0.9608154297,0.1959228516,1735575194244,1.7911585569,0.5030487776,-0.5868902802
1735575194237,0.0184326172,0.962890625,0.1960449219,1735575194281,1.4862805605,0.464939028,-0.4268292785
1735575194241,0.0173339844,0.9665527344,0.1981201172,1735575194283,1.150914669,0.4954268336,-0.3277439177
1735575194242,0.0178222656,0.96484375,0.1975097656,1735575194284,1.036585331,0.5106707215,-0.0990853682
1735575194243,0.0208740234,0.9639892578,0.1962890625,1735575194285,0.945121944,0.3582317233,0.0990853682
1735575194280,0.0190429688,0.9665527344,0.197265625,1735575194329,0.9527439475,0.3277439177,0.1448170692
1735575194282,0.0159912109,0.9652099609,0.1977539063,1735575194336,0.945121944,0.2667683065,0.1981707364
1735575194283,0.0158691406,0.9650878906,0.1959228516,1735575194338,1.036585331,0.2591463327,0.228658542
1735575194284,0.0163574219,0.9652099609,0.1964111328,1735575194340,1.067073226,0.2667683065,0.1905487776
1735575194325,0.0155029297,0.9627685547,0.1954345703,1735575194342,1.3871951103,0.2820121944,0.0609756112
1735575194334,0.0181884766,0.9606933594,0.1961669922,1735575194374,1.8064024448,0.3963414729,-0.0152439028
1735575194337,0.0197753906,0.9584960938,0.1999511719,1735575194376,2.1493902206,0.5487805009,-0.152439028
1735575194339,0.0207519531,0.9520263672,0.1973876953,1735575194378,2.5838415623,0.7317073345,-0.3582317233
1735575194341,0.0229492188,0.9514160156,0.2004394531,1735575194381,3.3003048897,0.8307927251,-0.5868902802
1735575194372,0.0235595703,0.9512939453,0.2038574219,1735575194418,3.9862806797,1.0060975552,-0.8003048897
1735575194376,0.0238037109,0.9494628906,0.203125,1735575194419,4.8628048897,1.1661585569,-0.846036613
1735575194377,0.0238037109,0.9431152344,0.2034912109,1735575194420,5.8612804413,1.4329268932,-0.9756097794
1735575194380,0.0245361328,0.9406738281,0.2055664063,1735575194422,6.7987804413,1.6539634466,-1.1814024448
1735575194417,0.0229492188,0.9376220703,0.20703125,1735575194423,7.8734760284,1.9512195587,-1.3033536673
1735575194419,0.0252685547,0.9367675781,0.2059326172,1735575194462,9.1006097794,2.3094513416,-1.5167683363
1735575194420,0.0257568359,0.9322509766,0.2058105469,1735575194468,10.4344511032,2.7667684555,-1.8216463327
1735575194421,0.0246582031,0.9259033203,0.2077636719,1735575194470,11.9969511032,3.0564024448,-1.9512195587
1735575194422,0.0278320313,0.9241943359,0.2117919922,1735575194473,13.9176836014,3.4375,-2.0274391174
1735575194461,0.0294189453,0.9201660156,0.2136230469,1735575194507,16.3262195587,3.8719513416,-2.3170731068
1735575194465,0.0274658203,0.9133300781,0.2145996094,1735575194508,18.6051826477,4.1692075729,-2.6448171139
1735575194470,0.0278320313,0.9073486328,0.2175292969,1735575194511,20.9679889679,4.3445124626,-2.911585331
1735575194472,0.0303955078,0.8990478516,0.2109375,1735575194514,23.0487804413,4.5503048897,-3.1173782349
1735575194506,0.0311279297,0.8969726563,0.2071533203,1735575194515,24.7560977936,4.7789635658,-3.3765244484
1735575194508,0.0266113281,0.9013671875,0.2008056641,1735575194551,26.4862804413,5.0914635658,-3.7881097794
1735575194510,0.0224609375,0.9099121094,0.1967773438,1735575194553,27.8201217651,5.5030488968,-4.1463413239
1735575194512,0.0228271484,0.9190673828,0.1892089844,1735575194556,29.2301845551,5.8765244484,-4.3978657722
1735575194515,0.0252685547,0.9216308594,0.1824951172,1735575194557,30.5487804413,6.3338418007,-4.6417684555
1735575194550,0.0236816406,0.9285888672,0.1773681641,1735575194598,31.913110733,6.7606706619,-4.7789635658
1735575194552,0.0251464844,0.9307861328,0.1722412109,1735575194599,33.2317085266,7.2484755516,-5.0
1735575194555,0.0247802734,0.931640625,0.1640625,1735575194600,34.3368911743,7.721036911,-5.2820124626
1735575194557,0.0229492188,0.931640625,0.1583251953,1735575194601,34.7865867615,7.9954271317,-5.5030488968
1735575194595,0.0200195313,0.9367675781,0.1490478516,1735575194603,34.9314041138,8.0716466904,-5.4649391174
1735575194599,0.0203857422,0.9426269531,0.1411132813,1735575194645,34.6875,8.033536911,-5.7012195587
1735575194600,0.0186767578,0.9530029297,0.1328125,1735575194647,34.4512214661,8.0106706619,-6.2957320213
1735575194601,0.0129394531,0.9581298828,0.1260986328,1735575194648,34.2911605835,8.1478662491,-6.9054880142
