timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735640097111,-0.0346679688,-0.2700195313,0.9188232422,1735640097154,-2.9344513416,1.2195122242,0.1753048748
1735640097113,-0.0367431641,-0.2796630859,0.9263916016,1735640097160,-2.4390244484,0.9070122242,-0.0685975626
1735640097114,-0.0360107422,-0.2828369141,0.9237060547,1735640097165,-2.3246951103,0.9375,-0.2057926804
1735640097116,-0.0361328125,-0.2880859375,0.9229736328,1735640097166,-2.035061121,0.5945122242,-0.0076219514
1735640097151,-0.0401611328,-0.291015625,0.9212646484,1735640097205,-1.7530487776,0.1067073196,0.1067073196
1735640097159,-0.0423583984,-0.2899169922,0.9176025391,1735640097207,-1.7454268932,-0.1295731664,0.2972561121
1735640097163,-0.0439453125,-0.2873535156,0.9168701172,1735640097241,-1.7073171139,-0.3810975552,0.4878048897
1735640097166,-0.0457763672,-0.2854003906,0.9184570313,1735640097243,-1.5320122242,-0.5945122242,0.5564024448
1735640097201,-0.0444335938,-0.2868652344,0.9168701172,1735640097246,-1.2118902206,-0.7393292785,0.3125
1735640097206,-0.04296875,-0.2846679688,0.9172363281,1735640097246,-0.7393292785,-0.8231707215,0.0152439028
1735640097207,-0.0405273438,-0.2879638672,0.9183349609,1735640097249,-0.4344512224,-0.8536585569,-0.2515243888
1735640097242,-0.0367431641,-0.2906494141,0.9222412109,1735640097250,-0.3429878056,-0.8536585569,-0.4420731664
1735640097245,-0.0338134766,-0.2900390625,0.9196777344,1735640097251,-0.3582317233,-0.9222561121,-0.7469512224
1735640097246,-0.0322265625,-0.2830810547,0.9167480469,1735640097285,-0.2743902504,-0.7545731664,-0.9375
1735640097247,-0.0321044922,-0.2797851563,0.9143066406,1735640097288,-0.4496951401,-0.1981707364,-0.9070122242
1735640097249,-0.0294189453,-0.2797851563,0.9182128906,1735640097336,-0.5716463327,0.5640243888,-0.6554878354
1735640097251,-0.0231933594,-0.2817382813,0.9207763672,1735640097345,-0.3506097496,1.2118902206,-0.4801829457
1735640097252,-0.0128173828,-0.2766113281,0.9229736328,1735640097346,-0.0304878056,1.7073171139,-0.3810975552
1735640097287,-0.0063476563,-0.2768554688,0.9229736328,1735640097347,0.2972561121,2.2256097794,-0.3734756112
1735640097288,-0.0076904297,-0.2816162109,0.9223632813,1735640097348,0.4192073345,2.4695122242,-0.3277439177
1735640097343,-0.0123291016,-0.2850341797,0.9212646484,1735640097349,0.2667683065,2.3246951103,-0.5411585569
1735640097346,-0.0145263672,-0.2863769531,0.9279785156,1735640097350,-0.2439024448,1.9969512224,-0.7850610018
1735640097347,-0.0200195313,-0.2843017578,0.9300537109,1735640097377,-0.9146341681,1.5243902206,-0.8917683363
1735640097348,-0.0285644531,-0.2829589844,0.9298095703,1735640097387,-1.6006097794,0.9908536673,-0.8612805009
1735640097348,-0.0377197266,-0.2780761719,0.9274902344,1735640097388,-2.2942073345,0.6554878354,-0.7240853906
1735640097349,-0.0415039063,-0.2725830078,0.9234619141,1735640097391,-2.3551828861,0.3277439177,-0.4954268336
1735640097375,-0.0416259766,-0.2701416016,0.9216308594,1735640097392,-2.3856709003,0.1829268336,-0.236280486
1735640097382,-0.0388183594,-0.2734375,0.9249267578,1735640097422,-2.2942073345,0.320121944,-0.1067073196
1735640097388,-0.0344238281,-0.2803955078,0.923828125,1735640097423,-2.3704268932,0.4878048897,0.076219514
1735640097390,-0.0310058594,-0.2834472656,0.9237060547,1735640097427,-2.5533537865,0.5640243888,0.2591463327
1735640097391,-0.0296630859,-0.2839355469,0.9232177734,1735640097428,-2.4771342278,0.7088415027,0.4268292785
1735640097420,-0.0266113281,-0.2805175781,0.9158935547,1735640097521,-2.3018293381,0.7317073345,0.6707317233
1735640097422,-0.0240478516,-0.2784423828,0.9157714844,1735640097525,-2.3018293381,0.632621944,0.945121944
1735640097426,-0.0217285156,-0.2811279297,0.9136962891,1735640097526,-2.0426828861,0.5411585569,1.1661585569
1735640097427,-0.0240478516,-0.2845458984,0.9157714844,1735640097527,-1.5472561121,0.4420731664,1.4710366726
1735640097517,-0.0275878906,-0.2875976563,0.9180908203,1735640097528,-1.067073226,0.3658536673,1.6387195587
1735640097524,-0.0285644531,-0.2905273438,0.9210205078,1735640097529,-0.8155487776,0.5182926655,1.6615854502
1735640097526,-0.0313720703,-0.2886962891,0.9188232422,1735640097529,-0.8155487776,0.5487805009,1.6006097794
1735640097527,-0.0302734375,-0.2917480469,0.91796875,1735640097560,-1.3109756708,0.6783536673,1.4405487776
1735640097528,-0.0301513672,-0.2883300781,0.919921875,1735640097561,-2.0503048897,0.7774390578,1.2195122242
1735640097528,-0.0319824219,-0.2849121094,0.9197998047,1735640097562,-1.9588415623,0.7012194991,1.0823171139
1735640097529,-0.0322265625,-0.2774658203,0.9237060547,1735640097563,-1.8292683363,0.625,0.838414669
1735640097559,-0.0340576172,-0.2744140625,0.9246826172,1735640097563,-1.9893293381,0.6707317233,0.7698171139
1735640097561,-0.0333251953,-0.2891845703,0.9246826172,1735640097566,-1.875,1.0060975552,1.1280487776
1735640097562,-0.0329589844,-0.2885742188,0.9229736328,1735640097569,-1.4557926655,1.1966463327,1.5015244484
1735640097562,-0.0307617188,-0.2822265625,0.9200439453,1735640097604,-1.0137195587,1.0594512224,1.5396342278
1735640097563,-0.0275878906,-0.2836914063,0.9228515625,1735640097608,-1.0899389982,0.9984756112,1.3262195587
1735640097564,-0.0322265625,-0.2907714844,0.9232177734,1735640097610,-1.6615854502,0.8765243888,0.8689024448
1735640097568,-0.037109375,-0.2885742188,0.921875,1735640097611,-2.286585331,0.8003048897,0.6707317233
1735640097602,-0.0380859375,-0.2817382813,0.9194335938,1735640097649,-2.7362804413,0.8841463327,0.4115853608
1735640097605,-0.0412597656,-0.2750244141,0.9207763672,1735640097652,-3.2164635658,1.1890244484,0.2896341383
1735640097609,-0.0382080078,-0.2724609375,0.9207763672,1735640097654,-3.696646452,1.4329268932,0.2896341383
1735640097610,-0.0350341797,-0.2733154297,0.9245605469,1735640097658,-3.9786586761,1.5243902206,-0.0533536598
1735640097646,-0.0301513672,-0.2749023438,0.9293212891,1735640097692,-3.7423782349,1.6082317829,-0.8993902802
1735640097651,-0.0300292969,-0.2696533203,0.9287109375,1735640097694,-3.5213415623,1.8064024448,-1.7225610018
1735640097654,-0.0327148438,-0.2739257813,0.9274902344,1735640097695,-3.5442073345,2.2789635658,-2.4695122242
1735640097657,-0.0313720703,-0.2800292969,0.9251708984,1735640097700,-3.7881097794,3.0106709003,-2.6753048897
1735640097691,-0.0255126953,-0.2769775391,0.9215087891,1735640097702,-4.5274391174,4.2378048897,-2.4390244484
1735640097693,-0.0187988281,-0.2791748047,0.9241943359,1735640097737,-5.0152440071,5.3963418007,-1.9435975552
1735640097695,-0.0102539063,-0.2808837891,0.9299316406,1735640097794,-5.1371951103,5.9603657722,-1.3871951103
1735640097696,-0.0008544922,-0.2801513672,0.927734375,1735640097801,-5.221036911,6.1356706619,-0.8689024448
1735640097701,-0.0006103516,-0.2829589844,0.9230957031,1735640097804,-5.1067075729,5.4954271317,-0.5030487776
1735640097736,-0.0114746094,-0.2880859375,0.9211425781,1735640097806,-4.8170733452,4.3521342278,-0.1295731664
1735640097788,-0.0236816406,-0.2874755859,0.9163818359,1735640097807,-4.5121951103,3.4146342278,0.5106707215
1735640097797,-0.0415039063,-0.2893066406,0.9145507813,1735640097809,-4.3216462135,2.8125,1.3567073345
1735640097803,-0.0589599609,-0.2916259766,0.9152832031,1735640097809,-4.5503048897,2.6371951103,1.9435975552
1735640097805,-0.0621337891,-0.2952880859,0.9171142578,1735640097826,-4.9771342278,2.7362804413,2.0960366726
1735640097807,-0.0574951172,-0.2961425781,0.9205322266,1735640097828,-5.4192075729,2.911585331,2.1570122242
1735640097808,-0.0499267578,-0.2926025391,0.9215087891,1735640097870,-5.632622242,2.7896342278,1.9969512224
1735640097809,-0.0432128906,-0.2854003906,0.919921875,1735640097872,-5.8612804413,2.2256097794,1.8445122242
1735640097826,-0.0427246094,-0.2864990234,0.9197998047,1735640097874,-6.3567075729,1.7682926655,1.8140244484
1735640097827,-0.0524902344,-0.2836914063,0.9197998047,1735640097876,-6.7378048897,1.5396342278,1.9740854502
1735640097828,-0.0568847656,-0.2843017578,0.9184570313,1735640097918,-7.2027440071,1.3643293381,2.1875
1735640097871,-0.0550537109,-0.283203125,0.9187011719,1735640097923,-7.8353662491,1.3414634466,2.5381097794
1735640097873,-0.0522460938,-0.2845458984,0.9194335938,1735640097926,-8.254573822,1.379573226,2.7743902206
1735640097875,-0.0476074219,-0.2877197266,0.919921875,1735640097928,-8.3307924271,1.2423781157,2.713414669
1735640097916,-0.0444335938,-0.2888183594,0.9195556641,1735640097929,-8.3536586761,1.0823171139,2.7286586761
1735640097920,-0.0457763672,-0.2926025391,0.9184570313,1735640097930,-8.4679880142,0.945121944,2.660061121
1735640097925,-0.0496826172,-0.2963867188,0.9162597656,1735640097931,-8.5289640427,0.8689024448,2.5381097794
1735640097927,-0.0490722656,-0.2995605469,0.9158935547,1735640097961,-8.5594511032,0.7469512224,2.5152440071
1735640097929,-0.048828125,-0.3023681641,0.9114990234,1735640097964,-8.4222564697,0.6783536673,2.3856709003
