timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735573543596,0.0606689453,0.9759521484,0.068359375,1735573543603,0.3734756112,0.5411585569,0.6478658915
1735573543598,0.064453125,0.9854736328,0.0697021484,1735573543605,0.2439024448,0.3887195289,0.6631097794
1735573543604,0.0684814453,0.9852294922,0.0661621094,1735573543607,0.0152439028,0.9146341681,0.5487805009
1735573543607,0.0692138672,0.9837646484,0.0653076172,1735573543643,-0.236280486,1.2576220036,0.1676829308
1735573543641,0.0676269531,0.9873046875,0.068359375,1735573543644,-0.5030487776,1.3567073345,-0.0685975626
1735573543643,0.068359375,0.9892578125,0.0699462891,1735573543648,-0.6707317233,1.6310975552,-0.1981707364
1735573543647,0.0679931641,0.9870605469,0.0703125,1735573543649,-0.6478658915,1.8216463327,-0.228658542
1735573543648,0.0672607422,0.9890136719,0.0706787109,1735573543650,-0.8231707215,2.0655488968,-0.0228658542
1735573543649,0.0673828125,0.9970703125,0.0687255859,1735573543688,-1.3262195587,2.1417684555,0.1371951252
1735573543686,0.0646972656,1.001953125,0.0684814453,1735573543689,-2.0731706619,2.3246951103,0.3887195289
1735573543688,0.0623779297,1.0003662109,0.0678710938,1735573543691,-2.7896342278,2.4695122242,0.632621944
1735573543690,0.0642089844,0.9993896484,0.0700683594,1735573543692,-3.338414669,2.5533537865,0.7012194991
1735573543692,0.0612792969,0.9974365234,0.0710449219,1735573543731,-3.910061121,2.5685975552,0.7850610018
1735573543731,0.0571289063,0.9909667969,0.0723876953,1735573543735,-4.0853657722,2.4695122242,0.846036613
1735573543734,0.0570068359,0.9851074219,0.0739746094,1735573543737,-4.0243902206,2.3094513416,0.9527439475
1735573543736,0.0584716797,0.9812011719,0.0720214844,1735573543739,-3.910061121,2.2103660107,0.9603658915
1735573543738,0.0588378906,0.9837646484,0.0726318359,1735573543741,-3.6661586761,2.1189024448,0.9222561121
1735573543741,0.0610351563,0.9859619141,0.0725097656,1735573543777,-3.6585366726,1.9283536673,1.0518293381
1735573543776,0.0587158203,0.9898681641,0.0725097656,1735573543781,-3.6890244484,1.8521342278,1.1966463327
1735573543778,0.0582275391,0.9907226563,0.0748291016,1735573543783,-3.7881097794,1.8445122242,1.1890244484
1735573543782,0.0618896484,0.99609375,0.0751953125,1735573543784,-4.1082320213,1.8216463327,1.0213414431
1735573543783,0.0593261719,0.9992675781,0.0748291016,1735573543823,-4.3673782349,1.9817073345,0.9603658915
1735573543822,0.0606689453,1.0006103516,0.0657958984,1735573543824,-4.6341462135,2.2179877758,0.8917683363
1735573543823,0.0620117188,1.0070800781,0.0643310547,1735573543830,-5.4268293381,2.3551828861,1.0289634466
1735573543825,0.0539550781,1.0158691406,0.0604248047,1735573543833,-6.463414669,2.347561121,1.6844512224
1735573543831,0.0516357422,1.0219726563,0.0598144531,1735573543835,-7.7439026833,2.1036586761,2.3932926655
1735573543834,0.0538330078,1.0246582031,0.0577392578,1735573543869,-9.2378053665,2.0579268932,2.8353660107
1735573543866,0.0545654297,1.0229492188,0.0581054688,1735573543870,-10.7393293381,1.9664634466,3.3460366726
1735573543870,0.0544433594,1.0213623047,0.0617675781,1735573543872,-12.3780488968,1.9512195587,3.9405488968
1735573543871,0.0535888672,1.0174560547,0.0673828125,1735573543873,-13.9862804413,1.905487895,4.4054880142
1735573543872,0.0560302734,1.0101318359,0.0726318359,1735573543911,-15.3429880142,1.775914669,4.7103657722
1735573543910,0.0556640625,1.0035400391,0.0792236328,1735573543914,-16.2118911743,1.5853658915,5.007622242
1735573543913,0.0554199219,0.9946289063,0.0810546875,1735573543915,-16.8445129395,1.3490854502,5.2743902206
1735573543914,0.0587158203,0.9879150391,0.0869140625,1735573543916,-17.3856716156,1.0975610018,5.5030488968
1735573543916,0.0610351563,0.9865722656,0.0941162109,1735573543918,-17.6524391174,0.8307927251,5.7850608826
1735573543917,0.0625,0.9805908203,0.0999755859,1735573543960,-17.8125,0.5945122242,5.9375
1735573543958,0.0609130859,0.9791259766,0.1047363281,1735573543962,-18.033536911,0.4954268336,6.1966466904
1735573543961,0.0660400391,0.9783935547,0.1094970703,1735573543964,-18.1783542633,0.304878056,6.4939026833
1735573543963,0.0668945313,0.9754638672,0.1121826172,1735573543966,-18.3231716156,0.0990853682,6.7606706619
1735573543965,0.0708007813,0.9735107422,0.1181640625,1735573544002,-18.3384151459,-0.0457317084,6.9359755516
1735573544001,0.0745849609,0.9738769531,0.1196289063,1735573544004,-18.3003044128,-0.1219512224,6.8673782349
1735573544003,0.0762939453,0.9752197266,0.1225585938,1735573544005,-18.3689022064,0.0,6.7682929039
1735573544004,0.080078125,0.9782714844,0.1257324219,1735573544007,-18.6737804413,0.1676829308,6.6996951103
1735573544006,0.0791015625,0.9890136719,0.1268310547,1735573544048,-19.3292694092,0.2134146392,6.6768293381
1735573544045,0.0826416016,0.9925537109,0.1254882813,1735573544049,-20.0762195587,0.2439024448,6.8521342278
1735573544048,0.0805664063,0.9887695313,0.1270751953,1735573544050,-20.7317085266,0.3887195289,7.1341466904
1735573544050,0.0819091797,0.9855957031,0.1307373047,1735573544052,-21.4176826477,0.320121944,7.2179880142
1735573544051,0.0838623047,0.9857177734,0.1357421875,1735573544054,-22.1265239716,0.4420731664,7.3551831245
1735573544052,0.0863037109,0.9849853516,0.1390380859,1735573544091,-22.8201217651,0.7088415027,7.4923782349
1735573544090,0.0883789063,0.9844970703,0.1398925781,1735573544093,-23.2774391174,0.9070122242,7.4390244484
1735573544092,0.0893554688,0.9870605469,0.1429443359,1735573544096,-23.8643302917,1.0823171139,7.4390244484
1735573544095,0.0885009766,0.9891357422,0.1440429688,1735573544098,-24.8475608826,1.2042683363,7.5457320213
1735573544097,0.0861816406,0.9943847656,0.1483154297,1735573544136,-26.1051826477,1.25,7.93445158
1735573544135,0.0900878906,0.9931640625,0.1524658203,1735573544140,-27.2637195587,1.3871951103,8.2698173523
1735573544139,0.0909423828,0.9887695313,0.1571044922,1735573544141,-28.3003063202,1.3871951103,8.5746955872
1735573544140,0.0926513672,0.9855957031,0.1644287109,1735573544142,-29.3292694092,1.4786585569,8.8338413239
1735573544141,0.0958251953,0.9802246094,0.1740722656,1735573544143,-30.1753063202,1.5472561121,8.9405488968
1735573544142,0.0986328125,0.9743652344,0.1788330078,1735573544191,-30.6707324982,1.6310975552,8.9862804413
1735573544190,0.0974121094,0.9682617188,0.1818847656,1735573544193,-31.1890258789,1.7911585569,8.8719511032
1735573544192,0.1003417969,0.9637451172,0.1900634766,1735573544195,-31.4100608826,1.8902438879,8.9024391174
1735573544193,0.0983886719,0.9610595703,0.1970214844,1735573544196,-31.509147644,1.7530487776,8.8719511032
1735573544196,0.0981445313,0.9560546875,0.2025146484,1735573544229,-31.509147644,1.5320122242,8.8338413239
