timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738778655431,-0.0061035156,-0.8928222656,0.3911132813,1738778655448,-7.3551831245,4.6036586761,1.6463414431
1738778655445,-0.0046386719,-0.9067382813,0.3916015625,1738778655454,-7.3704271317,4.6798782349,1.3643293381
1738778655453,-0.0057373047,-0.9084472656,0.3897705078,1738778655468,-7.5762195587,4.7484755516,1.7987805605
1738778655465,-0.0064697266,-0.9084472656,0.3865966797,1738778655478,-7.5228662491,4.6265244484,2.0655488968
1738778655477,-0.0087890625,-0.9107666016,0.3830566406,1738778655489,-7.3704271317,4.5198173523,2.5
1738778655487,-0.0080566406,-0.9138183594,0.3839111328,1738778655490,-7.088414669,4.5198173523,3.0335366726
1738778655489,-0.0083007813,-0.9112548828,0.3809814453,1738778655501,-6.8140244484,4.4283537865,3.3765244484
1738778655499,-0.0135498047,-0.9097900391,0.3784179688,1738778655512,-6.6920733452,4.382622242,3.4603660107
1738778655510,-0.0220947266,-0.9064941406,0.3818359375,1738778655526,-6.7911586761,3.9329268932,3.1631097794
1738778655522,-0.029296875,-0.9075927734,0.3801269531,1738778655536,-6.9207320213,3.3917684555,2.5685975552
1738778655535,-0.0302734375,-0.9064941406,0.3822021484,1738778655544,-7.1341466904,3.0106709003,2.0045731068
1738778655543,-0.0297851563,-0.9055175781,0.37890625,1738778655555,-7.286585331,2.8506097794,1.7149391174
1738778655554,-0.0261230469,-0.9053955078,0.3763427734,1738778655569,-7.5,2.9573171139,1.7073171139
1738778655568,-0.0224609375,-0.9091796875,0.3770751953,1738778655579,-7.408536911,3.18597579,1.8064024448
1738778655578,-0.0202636719,-0.912109375,0.3747558594,1738778655581,-7.2408537865,3.4451220036,1.692073226
1738778655580,-0.021484375,-0.9100341797,0.3729248047,1738778655591,-7.096036911,3.597561121,1.692073226
1738778655589,-0.0234375,-0.9135742188,0.3732910156,1738778655602,-7.1036586761,3.5137195587,1.4786585569
1738778655601,-0.0288085938,-0.9116210938,0.3734130859,1738778655615,-7.1875,3.3536586761,1.1737805605
1738778655613,-0.0278320313,-0.9114990234,0.3704833984,1738778655627,-7.0731706619,3.1707317829,0.929878056
1738778655626,-0.0258789063,-0.9097900391,0.3677978516,1738778655635,-7.3780488968,3.025914669,0.8079268336
1738778655634,-0.0206298828,-0.9049072266,0.3669433594,1738778655647,-7.9039635658,3.384146452,0.9679878354
1738778655646,-0.0035400391,-0.9045410156,0.3734130859,1738778655657,-8.2774391174,4.3597559929,1.6158536673
1738778655656,0.0035400391,-0.9035644531,0.3728027344,1738778655672,-8.8948173523,5.4268293381,2.0655488968
1738778655669,-0.0002441406,-0.9088134766,0.3701171875,1738778655681,-9.1234760284,6.2728657722,2.3932926655
1738778655680,-0.0031738281,-0.9150390625,0.3703613281,1738778655682,-8.9862804413,6.9359755516,2.9496951103
1738778655682,-0.00390625,-0.9235839844,0.3686523438,1738778655690,-8.3536586761,7.3246951103,3.8719513416
1738778655689,0.0024414063,-0.9289550781,0.3729248047,1738778655705,-7.599085331,7.6981711388,5.2667684555
1738778655704,0.0100097656,-0.9251708984,0.3767089844,1738778655713,-6.8292684555,8.3841466904,7.3170733452
1738778655712,0.0187988281,-0.9149169922,0.3754882813,1738778655727,-6.4939026833,9.504573822,9.7789640427
1738778655725,0.0246582031,-0.9019775391,0.3765869141,1738778655737,-6.9664635658,10.846036911,11.8597564697
1738778655735,0.0229492188,-0.8898925781,0.3737792969,1738778655748,-8.1021347046,12.3856706619,12.8887195587
1738778655747,0.0106201172,-0.8830566406,0.3699951172,1738778655761,-9.596036911,13.3536586761,13.3612804413
1738778655760,-0.0076904297,-0.8896484375,0.3609619141,1738778655770,-10.9298782349,13.7042684555,13.5746955872
1738778655768,-0.0329589844,-0.8939208984,0.3559570313,1738778655780,-12.1646347046,13.1859760284,13.7271347046
1738778655780,-0.0537109375,-0.9016113281,0.3526611328,1738778655782,-13.3003053665,11.8826217651,13.6356706619
1738778655781,-0.0679931641,-0.9095458984,0.3474121094,1738778655793,-14.2378053665,10.5564031601,13.6204271317
1738778655792,-0.0699462891,-0.9169921875,0.341796875,1738778655806,-14.8475608826,9.8018293381,13.7195129395
1738778655805,-0.0600585938,-0.9188232422,0.3361816406,1738778655818,-15.2439031601,10.0609760284,13.8490858078
1738778655816,-0.0526123047,-0.9190673828,0.3269042969,1738778655828,-15.4573173523,10.8079271317,14.1006097794
1738778655826,-0.0596923828,-0.9279785156,0.3227539063,1738778655838,-15.1524391174,11.3719511032,13.8338413239
1738778655836,-0.0832519531,-0.9554443359,0.3150634766,1738778655850,-13.6737804413,11.0213413239,12.9496955872
1738778655847,-0.1025390625,-0.9794921875,0.3089599609,1738778655860,-11.2576217651,10.0685977936,11.8292684555
1738778655858,-0.1116943359,-0.990234375,0.3020019531,1738778655871,-8.6356706619,8.9100608826,11.0899391174
1738778655870,-0.1080322266,-0.9896240234,0.2954101563,1738778655885,-6.2423782349,7.8887195587,10.7698173523
1738778655882,-0.1041259766,-0.9841308594,0.2889404297,1738778655887,-4.0472559929,7.2637195587,10.7088413239
1738778655886,-0.1016845703,-0.9827880859,0.2862548828,1738778655893,-2.0274391174,6.9054880142,10.7621955872
1738778655892,-0.0969238281,-0.9827880859,0.28515625,1738778655905,0.076219514,6.7073173523,10.8307933807
1738778655904,-0.0943603516,-0.9816894531,0.2866210938,1738778655918,2.0731706619,6.8368902206,10.6326217651
1738778655916,-0.09375,-0.982421875,0.2899169922,1738778655928,4.1158537865,6.8978662491,10.2591466904
1738778655927,-0.0972900391,-0.9818115234,0.2880859375,1738778655940,6.5548782349,6.6234755516,9.8323173523
1738778655938,-0.1010742188,-0.9886474609,0.2937011719,1738778655951,9.3216466904,6.05945158,9.6189022064
1738778655949,-0.0971679688,-0.9930419922,0.2956542969,1738778655961,12.3628053665,5.4496951103,10.0533542633
1738778655960,-0.0771484375,-0.9848632813,0.2965087891,1738778655972,15.1448173523,5.3506097794,11.3948173523
1738778655971,-0.0467529297,-0.9755859375,0.3033447266,1738778655987,17.4161586761,6.4405488968,13.9176836014
1738778655985,-0.0162353516,-0.9620361328,0.3123779297,1738778655989,18.567073822,8.5137195587,17.2560977936
1738778655988,-0.0006103516,-0.9499511719,0.3216552734,1738778655996,19.4283542633,11.1051836014,20.5182933807
1738778655994,0.0047607422,-0.9405517578,0.3249511719,1738778656007,20.3658542633,13.8109760284,23.75
1738778656005,0.00390625,-0.9427490234,0.3311767578,1738778656020,21.4557933807,16.2195129395,26.9969520569
1738778656017,0.0069580078,-0.9417724609,0.3406982422,1738778656028,22.7743911743,18.6280498505,30.5868911743
1738778656027,0.0129394531,-0.9339599609,0.3480224609,1738778656039,23.879573822,21.2195129395,34.9390258789
1738778656038,0.0275878906,-0.9190673828,0.3519287109,1738778656052,24.3826217651,24.5884151459,40.4344520569
1738778656051,0.0506591797,-0.8862304688,0.3635253906,1738778656066,23.9939022064,28.8567085266,47.1875
1738778656063,0.0433349609,-0.8785400391,0.3782958984,1738778656075,23.8490867615,32.8734779358,53.8948173523
1738778656073,0.0150146484,-0.8806152344,0.3814697266,1738778656088,23.696647644,35.5868911743,59.7637214661
1738778656086,-0.0343017578,-0.8581542969,0.3802490234,1738778656092,22.5685977936,36.5243911743,64.009147644
1738778656089,-0.0850830078,-0.8353271484,0.3787841797,1738778656095,20.350610733,36.4939041138,66.3109741211
