timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784329758,0.0656738281,-0.9436035156,0.3035888672,1738784329760,-3.0411586761,0.533536613,-0.6631097794
1738784329759,0.0633544922,-0.9538574219,0.3070068359,1738784329762,-2.660061121,0.2896341383,-0.533536613
1738784329761,0.06640625,-0.9488525391,0.3011474609,1738784329764,-2.7743902206,0.4115853608,-0.6478658915
1738784329763,0.0657958984,-0.9454345703,0.3006591797,1738784329805,-2.6219513416,0.4344512224,-0.8536585569
1738784329802,0.0653076172,-0.9461669922,0.30078125,1738784329808,-2.4923779964,0.4192073345,-0.9984756112
1738784329807,0.0667724609,-0.9445800781,0.2967529297,1738784329844,-2.4847562313,0.4192073345,-1.1737805605
1738784329809,0.0670166016,-0.9436035156,0.2966308594,1738784329849,-2.660061121,0.4573170841,-1.4253048897
1738784329847,0.06640625,-0.9464111328,0.2972412109,1738784329850,-2.7743902206,0.2820121944,-1.6006097794
1738784329850,0.0649414063,-0.947265625,0.2971191406,1738784329852,-2.7820122242,0.1295731664,-1.7682926655
1738784329852,0.0679931641,-0.9462890625,0.2963867188,1738784329854,-2.7743902206,0.0457317084,-1.8521342278
1738784329853,0.0682373047,-0.9467773438,0.2952880859,1738784329855,-2.6067073345,-0.1067073196,-1.875
1738784329854,0.0717773438,-0.9503173828,0.2937011719,1738784329856,-2.3246951103,-0.1829268336,-1.9283536673
1738784329855,0.0727539063,-0.9466552734,0.2966308594,1738784329892,-2.2789635658,-0.2057926804,-1.8064024448
1738784329889,0.0740966797,-0.9508056641,0.2991943359,1738784329895,-2.2942073345,-0.2896341383,-1.775914669
1738784329894,0.0732421875,-0.9521484375,0.2955322266,1738784329896,-2.2179877758,-0.3125,-1.7835366726
1738784329895,0.0750732422,-0.9426269531,0.2937011719,1738784329898,-2.6219513416,-0.4039634168,-1.5853658915
1738784329897,0.0784912109,-0.9447021484,0.2922363281,1738784329899,-2.8887195587,-0.2057926804,-1.1280487776
1738784329898,0.0837402344,-0.9479980469,0.2906494141,1738784329981,-3.0411586761,0.1829268336,-0.7393292785
1738784329978,0.0804443359,-0.9482421875,0.2906494141,1738784329983,-3.2088415623,0.3506097496,-0.4878048897
1738784329982,0.0766601563,-0.9488525391,0.2874755859,1738784329985,-3.4527440071,0.5487805009,-0.5106707215
1738784329984,0.07421875,-0.9490966797,0.28515625,1738784329987,-3.3917684555,0.625,-0.533536613
1738784329986,0.0738525391,-0.9497070313,0.2839355469,1738784329988,-3.1707317829,0.617378056,-0.617378056
1738784329988,0.0732421875,-0.9467773438,0.2844238281,1738784329989,-2.9878048897,0.7469512224,-0.8917683363
1738784329989,0.0717773438,-0.9473876953,0.283203125,1738784329990,-3.0182926655,0.8231707215,-1.1204268932
1738784329990,0.0718994141,-0.9493408203,0.2833251953,1738784330024,-3.0182926655,0.929878056,-1.2957317829
1738784330023,0.0678710938,-0.9509277344,0.2841796875,1738784330026,-3.1707317829,0.945121944,-1.5167683363
1738784330025,0.0682373047,-0.94921875,0.2835693359,1738784330027,-3.2698171139,0.8231707215,-1.7606707811
1738784330026,0.0675048828,-0.9495849609,0.2860107422,1738784330028,-3.3231709003,0.7088415027,-1.9207317829
1738784330028,0.0659179688,-0.9520263672,0.2822265625,1738784330030,-3.18597579,0.617378056,-2.1798779964
1738784330029,0.0700683594,-0.9544677734,0.2821044922,1738784330032,-3.0868902206,0.533536613,-2.3170731068
1738784330030,0.0701904297,-0.9562988281,0.2830810547,1738784330074,-2.8582317829,0.4115853608,-2.5152440071
1738784330071,0.0660400391,-0.9554443359,0.283203125,1738784330077,-2.4390244484,0.1676829308,-2.6905488968
1738784330076,0.0666503906,-0.953125,0.2827148438,1738784330079,-2.1036586761,-0.152439028,-2.9039635658
1738784330078,0.0687255859,-0.9508056641,0.2819824219,1738784330084,-2.1112804413,-0.2820121944,-2.9573171139
