timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735576001713,-0.3023681641,-0.8692626953,0.3397216797,1735576001714,-0.2591463327,-0.3582317233,-0.2591463327
1735576001713,-0.3001708984,-0.8784179688,0.3400878906,1735576001716,-0.2439024448,-0.6935975552,-0.2515243888
1735576001715,-0.3004150391,-0.8751220703,0.3402099609,1735576001717,-0.7698171139,-0.617378056,-0.5106707215
1735576001716,-0.2993164063,-0.8782958984,0.3426513672,1735576001766,-1.1814024448,-0.6478658915,-0.6707317233
1735576001764,-0.2978515625,-0.8817138672,0.3430175781,1735576001768,-1.2804877758,-0.7240853906,-0.464939028
1735576001768,-0.296875,-0.8854980469,0.3427734375,1735576001769,-1.1432926655,-0.7164634466,-0.3582317233
1735576001769,-0.2967529297,-0.8864746094,0.3408203125,1735576001771,-0.8917683363,-0.8079268336,-0.2591463327
1735576001770,-0.296875,-0.8856201172,0.3426513672,1735576001772,-0.5716463327,-0.9756097794,-0.1448170692
1735576001771,-0.2911376953,-0.8884277344,0.3414306641,1735576001802,-0.1067073196,-0.8689024448,0.0609756112
1735576001802,-0.2922363281,-0.8908691406,0.3409423828,1735576001804,0.1905487776,-0.6554878354,0.320121944
1735576001803,-0.291015625,-0.8876953125,0.3425292969,1735576001806,0.3277439177,-0.4192073345,0.5945122242
1735576001805,-0.2883300781,-0.8887939453,0.3411865234,1735576001808,0.5030487776,-0.3125,0.7850610018
1735576001806,-0.2911376953,-0.8868408203,0.3422851563,1735576001848,0.5792682767,-0.0609756112,0.8536585569
1735576001847,-0.2950439453,-0.8887939453,0.3433837891,1735576001851,0.8536585569,0.0304878056,0.9070122242
1735576001850,-0.2946777344,-0.8864746094,0.3402099609,1735576001894,1.067073226,-0.0152439028,0.9832317233
1735576001893,-0.2952880859,-0.8829345703,0.3408203125,1735576001896,1.1204268932,-0.152439028,1.0823171139
1735576001895,-0.2982177734,-0.8878173828,0.3389892578,1735576001897,1.6006097794,-0.4878048897,0.9146341681
1735576001896,-0.2999267578,-0.8933105469,0.3425292969,1735576001900,2.1798779964,-0.8765243888,0.6935975552
1735576001898,-0.2979736328,-0.8924560547,0.3416748047,1735576001901,2.6753048897,-1.3033536673,0.6935975552
1735576001900,-0.2967529297,-0.8873291016,0.33984375,1735576001905,3.285061121,-1.6996951103,0.7545731664
1735576001902,-0.2896728516,-0.8859863281,0.3414306641,1735576001906,3.5442073345,-1.6310975552,1.150914669
1735576001905,-0.2883300781,-0.8857421875,0.3444824219,1735576001938,3.597561121,-1.3871951103,1.6768293381
1735576001938,-0.2882080078,-0.8878173828,0.3463134766,1735576001941,3.696646452,-1.150914669,2.2942073345
1735576001939,-0.2895507813,-0.8894042969,0.3471679688,1735576001942,3.8643293381,-1.1128048897,2.5685975552
1735576001942,-0.2918701172,-0.8863525391,0.3468017578,1735576001944,3.9862806797,-1.1356707811,2.7057926655
1735576001944,-0.2926025391,-0.8854980469,0.3435058594,1735576001946,4.1768293381,-1.2118902206,2.7057926655
1735576001945,-0.2945556641,-0.888671875,0.3459472656,1735576001983,4.3140244484,-1.3719512224,2.6829268932
1735576001983,-0.2932128906,-0.8864746094,0.3465576172,1735576001985,4.3978657722,-1.4710366726,2.599085331
1735576001984,-0.2919921875,-0.8868408203,0.3461914063,1735576001986,4.6189026833,-1.3490854502,2.5533537865
1735576001986,-0.2886962891,-0.8841552734,0.3487548828,1735576001992,4.7637195587,-1.3033536673,2.5609755516
1735576001988,-0.2888183594,-0.8817138672,0.3483886719,1735576002030,4.9923782349,-1.1661585569,2.5304877758
1735576002029,-0.2901611328,-0.8818359375,0.3507080078,1735576002033,5.0533537865,-1.0137195587,2.400914669
1735576002031,-0.2911376953,-0.8787841797,0.3532714844,1735576002036,5.1524391174,-1.0518293381,2.3246951103
1735576002035,-0.2930908203,-0.8786621094,0.3514404297,1735576002039,5.1753048897,-0.9984756112,2.1265244484
1735576002038,-0.2946777344,-0.8784179688,0.3547363281,1735576002041,5.2667684555,-1.0137195587,1.9359756708
1735576002040,-0.2933349609,-0.8802490234,0.3579101563,1735576002074,5.5564026833,-1.1737805605,1.9359756708
1735576002072,-0.2954101563,-0.880859375,0.3566894531,1735576002077,5.6631097794,-1.2957317829,1.8978658915
1735576002076,-0.296875,-0.8812255859,0.3592529297,1735576002079,5.8841466904,-1.5091463327,2.0198171139
1735576002078,-0.2993164063,-0.8840332031,0.3603515625,1735576002080,6.3338418007,-1.8292683363,2.1951220036
1735576002079,-0.30078125,-0.8828125,0.3586425781,1735576002121,7.0121951103,-2.1798779964,2.5304877758
1735576002118,-0.3023681641,-0.8826904297,0.3623046875,1735576002126,7.5685977936,-2.660061121,2.8582317829
1735576002123,-0.3024902344,-0.8820800781,0.3629150391,1735576002127,8.0487804413,-3.0487804413,3.1021342278
1735576002126,-0.3001708984,-0.8790283203,0.3665771484,1735576002128,8.6204271317,-3.2012195587,3.4222562313
1735576002127,-0.2963867188,-0.8760986328,0.3670654297,1735576002164,8.9862804413,-3.338414669,3.6356709003
1735576002163,-0.2990722656,-0.8699951172,0.3676757813,1735576002168,9.0701217651,-3.4146342278,3.7347562313
1735576002167,-0.2987060547,-0.8676757813,0.3690185547,1735576002169,9.1387195587,-3.4527440071,3.7576220036
1735576002168,-0.2976074219,-0.8675537109,0.3742675781,1735576002170,9.192073822,-3.5594513416,3.7042684555
1735576002170,-0.2985839844,-0.8627929688,0.3775634766,1735576002171,9.1158542633,-3.6661586761,3.5213415623
1735576002171,-0.2979736328,-0.8587646484,0.3779296875,1735576002212,8.8719511032,-3.5594513416,3.2926828861
1735576002209,-0.2965087891,-0.8583984375,0.3818359375,1735576002214,8.5289640427,-3.5899391174,3.071646452
1735576002213,-0.2978515625,-0.8548583984,0.3857421875,1735576002216,8.0792684555,-3.4756097794,2.9496951103
1735576002215,-0.2978515625,-0.8538818359,0.3889160156,1735576002219,7.7820124626,-3.4375,2.8201220036
1735576002218,-0.2967529297,-0.8505859375,0.3896484375,1735576002253,7.3399391174,-3.2012195587,2.5838415623
1735576002252,-0.2976074219,-0.8486328125,0.3939208984,1735576002254,6.9207320213,-2.9420733452,2.4771342278
1735576002254,-0.2957763672,-0.8460693359,0.3957519531,1735576002256,6.3414635658,-2.6295733452,2.3932926655
1735576002255,-0.2939453125,-0.8413085938,0.3986816406,1735576002259,5.3734755516,-2.2637195587,2.1646342278
1735576002259,-0.2950439453,-0.8413085938,0.3994140625,1735576002261,4.695122242,-1.9359756708,1.9588415623
1735576002260,-0.2967529297,-0.8449707031,0.4019775391,1735576002301,4.161585331,-1.6996951103,1.7530487776
1735576002297,-0.2963867188,-0.8414306641,0.3980712891,1735576002302,3.597561121,-1.5243902206,1.4100610018
1735576002301,-0.2974853516,-0.8404541016,0.4011230469,1735576002303,2.9420733452,-1.2728658915,1.1280487776
1735576002303,-0.2960205078,-0.8422851563,0.4031982422,1735576002305,2.4542684555,-0.9527439475,1.0442073345
1735576002304,-0.2971191406,-0.8439941406,0.4058837891,1735576002350,2.1189024448,-0.6097561121,0.9603658915
1735576002343,-0.2973632813,-0.8421630859,0.4033203125,1735576002353,1.7225610018,-0.236280486,0.8003048897
1735576002352,-0.2971191406,-0.8405761719,0.4016113281,1735576002355,1.3643293381,0.152439028,0.5411585569
1735576002354,-0.3001708984,-0.8389892578,0.4007568359,1735576002358,1.0746951103,0.304878056,0.3582317233
1735576002356,-0.3039550781,-0.8380126953,0.4046630859,1735576002359,0.8536585569,0.3277439177,0.114329271
1735576002359,-0.3046875,-0.8416748047,0.4068603516,1735576002389,0.5716463327,0.4192073345,-0.1981707364
1735576002388,-0.3040771484,-0.8446044922,0.4053955078,1735576002390,0.2972561121,0.3810975552,-0.5182926655
1735576002390,-0.3062744141,-0.8443603516,0.4038085938,1735576002391,-0.1448170692,0.2896341383,-0.7926829457
1735576002391,-0.306640625,-0.8389892578,0.4028320313,1735576002392,-0.472560972,0.1067073196,-1.1051830053
1735576002392,-0.3067626953,-0.8355712891,0.4016113281,1735576002436,-0.8917683363,-0.0914634168,-1.3414634466
1735576002433,-0.3087158203,-0.8392333984,0.4013671875,1735576002439,-1.1737805605,-0.4192073345,-1.6006097794
1735576002438,-0.3088378906,-0.8439941406,0.4025878906,1735576002441,-1.2576220036,-0.838414669,-1.8521342278
1735576002440,-0.3103027344,-0.849609375,0.4049072266,1735576002482,-1.2652438879,-1.2195122242,-2.1112804413
1735576002479,-0.3068847656,-0.8474121094,0.4052734375,1735576002485,-1.4481707811,-1.3262195587,-2.0579268932
1735576002484,-0.3070068359,-0.8415527344,0.4022216797,1735576002487,-2.0655488968,-1.4710366726,-1.9131097794
1735576002486,-0.3103027344,-0.8433837891,0.3996582031,1735576002488,-2.8429877758,-1.8826220036,-1.9359756708
1735576002488,-0.3173828125,-0.8460693359,0.3996582031,1735576002490,-3.3155488968,-2.660061121,-2.2179877758
1735576002489,-0.3195800781,-0.8493652344,0.3972167969,1735576002492,-3.5899391174,-3.6128048897,-2.6067073345
1735576002490,-0.3205566406,-0.8465576172,0.3953857422,1735576002523,-3.9405488968,-4.5503048897,-2.9649391174
1735576002522,-0.3167724609,-0.8477783203,0.3934326172,1735576002524,-4.4054880142,-5.2820124626,-3.3612806797
