timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1733822387810.0,0.125732,-0.966797,0.172119,1733822387812.0,5.160061,1.631098,-2.080793
1733822387811.0,0.12854,-0.959106,0.16748,1733822387814.0,4.817073,1.768293,-2.233232
1733822387813.0,0.138672,-0.947266,0.163574,1733822387817.0,3.483232,1.981707,-1.783537
1733822387815.0,0.146606,-0.943237,0.163208,1733822387860.0,1.516768,2.370427,-1.463415
1733822387859.0,0.147339,-0.948975,0.160278,1733822387862.0,-0.358232,2.606707,-1.280488
1733822387861.0,0.147095,-0.956665,0.158691,1733822387863.0,-1.844512,2.949695,-0.914634
1733822387862.0,0.146362,-0.968872,0.155151,1733822387867.0,-2.5,3.490854,-0.289634
1733822387864.0,0.143799,-0.984863,0.15625,1733822387869.0,-2.454268,4.054878,0.541159
1733822387868.0,0.137573,-0.994019,0.159058,1733822387899.0,-1.928354,4.184451,1.158537
1733822387898.0,0.122559,-0.996704,0.161255,1733822387900.0,-1.280488,3.589939,1.32622
1733822387900.0,0.113037,-0.994385,0.158813,1733822387901.0,-0.800305,2.705793,1.01372
1733822387901.0,0.109619,-0.992065,0.157471,1733822387902.0,-0.525915,1.661585,0.442073
1733822387902.0,0.111694,-0.989868,0.154907,1733822387947.0,-0.525915,0.58689,-0.030488
1733822387945.0,0.115601,-0.988403,0.158081,1733822387951.0,-0.655488,-0.289634,-0.205793
1733822387950.0,0.123413,-0.989868,0.161011,1733822387953.0,-0.846037,-0.914634,-0.068598
1733822387952.0,0.124512,-0.990601,0.162598,1733822387954.0,-1.01372,-1.280488,0.411585
1733822387954.0,0.12793,-0.993164,0.164185,1733822387955.0,-0.967988,-1.509146,1.310976
1733822387955.0,0.129517,-0.997192,0.16626,1733822387990.0,-0.655488,-1.760671,2.157012
1733822387989.0,0.128662,-0.999634,0.169922,1733822387991.0,-0.175305,-1.83689,2.858232
1733822387991.0,0.125488,-1.000244,0.174561,1733822387993.0,0.3125,-1.890244,3.521342
1733822387992.0,0.121338,-1.000244,0.178589,1733822387994.0,0.510671,-1.943598,4.039634
1733822387993.0,0.115112,-0.998657,0.179565,1733822388035.0,0.556402,-1.95122,4.02439
1733822388034.0,0.110107,-0.994385,0.182129,1733822388038.0,0.464939,-2.042683,3.917683
1733822388037.0,0.106201,-0.990845,0.180542,1733822388041.0,0.266768,-2.202744,3.719512
1733822388040.0,0.104858,-0.991455,0.180664,1733822388042.0,-0.083841,-2.408537,3.506098
1733822388042.0,0.099731,-0.99292,0.177734,1733822388085.0,-0.259146,-2.629573,3.125
1733822388079.0,0.097412,-0.994751,0.179199,1733822388087.0,-0.304878,-2.972561,2.705793
1733822388086.0,0.095825,-0.995972,0.177246,1733822388090.0,-0.289634,-3.246951,2.370427
1733822388089.0,0.099609,-0.998779,0.175781,1733822388091.0,-0.160061,-3.224085,2.26372
1733822388090.0,0.101563,-1.001099,0.178101,1733822388092.0,0.259146,-2.896342,2.26372
1733822388092.0,0.098999,-1.003784,0.180664,1733822388126.0,1.082317,-2.766768,1.958842
1733822388125.0,0.101074,-1.00293,0.179565,1733822388128.0,1.570122,-2.682927,1.577744
1733822388127.0,0.100586,-1.005005,0.183716,1733822388130.0,2.179878,-2.583842,1.143293
1733822388129.0,0.096313,-1.001099,0.182373,1733822388132.0,2.698171,-2.713415,0.579268
1733822388131.0,0.09375,-0.994751,0.18335,1733822388176.0,3.231707,-2.858232,0.282012
1733822388173.0,0.0979,-0.993408,0.186279,1733822388177.0,3.887195,-2.88872,0.289634
1733822388177.0,0.100952,-0.991333,0.189697,1733822388180.0,4.695122,-2.73628,0.327744
1733822388178.0,0.101929,-0.993164,0.196899,1733822388182.0,5.800305,-2.583842,0.434451
1733822388181.0,0.108765,-0.990723,0.202515,1733822388184.0,6.943598,-1.943598,0.891768
1733822388183.0,0.110107,-0.980225,0.208862,1733822388219.0,7.934452,-1.303354,1.32622
1733822388217.0,0.10498,-0.968872,0.212769,1733822388221.0,8.239329,-0.998476,1.608232
1733822388220.0,0.101563,-0.955444,0.21167,1733822388223.0,7.881098,-0.914634,1.745427
1733822388223.0,0.098633,-0.941406,0.207642,1733822388225.0,6.920732,-1.257622,1.646341
1733822388224.0,0.09375,-0.934937,0.202148,1733822388269.0,5.396342,-1.737805,1.425305
1733822388268.0,0.092163,-0.935059,0.199707,1733822388271.0,3.650915,-2.416159,1.189024
1733822388270.0,0.092407,-0.939453,0.194092,1733822388273.0,2.118902,-3.147866,1.074695
1733822388272.0,0.093018,-0.94812,0.189087,1733822388274.0,0.800305,-3.887195,0.983232
1733822388274.0,0.102051,-0.957153,0.186401,1733822388275.0,-0.282012,-4.352134,1.074695
1733822388275.0,0.108765,-0.970337,0.184814,1733822388305.0,-0.853659,-4.474085,1.349085
1733822388304.0,0.109009,-0.981323,0.181396,1733822388307.0,-0.990854,-4.573171,1.692073
1733822388307.0,0.112671,-0.990112,0.180054,1733822388309.0,-0.884146,-4.679878,2.050305
1733822388308.0,0.114624,-0.999878,0.180054,1733822388310.0,-0.503049,-4.588415,2.446646
1733822388310.0,0.116943,-1.003418,0.178101,1733822388395.0,-0.007622,-4.405488,2.88872
1733822388350.0,0.11792,-1.007324,0.17981,1733822388401.0,0.503049,-4.314024,3.368902
1733822388400.0,0.116089,-1.010376,0.180542,1733822388404.0,0.929878,-4.153964,3.765244
1733822388402.0,0.116333,-1.010498,0.180908,1733822388406.0,1.585366,-3.818598,4.0625
1733822388405.0,0.11377,-1.012573,0.183594,1733822388408.0,2.370427,-3.506098,4.45122
1733822388407.0,0.112915,-1.015625,0.187256,1733822388409.0,3.16311,-3.20122,4.855183
1733822388408.0,0.108398,-1.014526,0.187622,1733822388410.0,3.955793,-2.987805,5.030488
1733822388409.0,0.105469,-1.010864,0.187622,1733822388440.0,4.740854,-2.88872,5.091464
1733822388411.0,0.100098,-1.003174,0.192017,1733822388442.0,5.175305,-3.132622,4.92378
1733822388441.0,0.091675,-0.998413,0.194214,1733822388444.0,5.54878,-3.391768,4.740854
1733822388443.0,0.089478,-0.991577,0.198364,1733822388445.0,5.777439,-3.833842,4.542683
1733822388445.0,0.086914,-0.986572,0.19751,1733822388447.0,5.922256,-4.489329,4.184451
1733822388446.0,0.086426,-0.982544,0.200806,1733822388448.0,6.128049,-4.984756,3.993902
1733822388447.0,0.089844,-0.983643,0.205444,1733822388449.0,6.432927,-5.289634,3.925305
1733822388449.0,0.095581,-0.983521,0.206543,1733822388489.0,6.707317,-5.335366,3.948171
1733822388489.0,0.098511,-0.979858,0.204102,1733822388492.0,7.088415,-5.198171,3.971037
1733822388491.0,0.099609,-0.975586,0.209595,1733822388494.0,7.294208,-5.114329,3.833842
1733822388493.0,0.100464,-0.970215,0.211182,1733822388496.0,7.46189,-5.068598,3.742378
1733822388495.0,0.100586,-0.964355,0.213623,1733822388534.0,7.141768,-4.992378,3.628049
1733822388532.0,0.101074,-0.959595,0.216187,1733822388536.0,6.707317,-4.885671,3.551829
1733822388535.0,0.100708,-0.954468,0.213013,1733822388539.0,6.158537,-4.900915,3.300305
1733822388537.0,0.098267,-0.956665,0.214478,1733822388541.0,5.510671,-4.878049,3.018293
1733822388540.0,0.099731,-0.961426,0.215332,1733822388577.0,4.96189,-4.786585,2.804878
1733822388575.0,0.100342,-0.960938,0.215088,1733822388579.0,4.245427,-4.596037,2.675305
1733822388578.0,0.102661,-0.957397,0.214111,1733822388581.0,3.506098,-4.291159,2.782012
