timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784115600,0.0386962891,-0.9185791016,0.3614501953,1738784115649,-7.4618902206,-0.7698171139,-0.7240853906
1738784115602,0.0401611328,-0.9245605469,0.3635253906,1738784115652,-7.4161586761,-1.0289634466,-0.7698171139
1738784115604,0.0406494141,-0.9156494141,0.3624267578,1738784115654,-7.4466466904,-0.4039634168,-0.5640243888
1738784115606,0.0441894531,-0.9183349609,0.3627929688,1738784115656,-7.2256097794,-0.3125,-0.2439024448
1738784115644,0.0439453125,-0.9210205078,0.3596191406,1738784115690,-6.7149391174,-0.304878056,-0.0914634168
1738784115645,0.0377197266,-0.9154052734,0.3597412109,1738784115691,-6.7530488968,-0.2515243888,-0.1753048748
1738784115651,0.0435791016,-0.919921875,0.3597412109,1738784115693,-6.6082320213,-0.2134146392,-0.0076219514
1738784115653,0.0444335938,-0.931640625,0.3616943359,1738784115694,-6.5167684555,-0.1676829308,0.0533536598
1738784115655,0.0406494141,-0.9296875,0.3602294922,1738784115738,-6.6768293381,-0.2210365832,-0.1067073196
1738784115689,0.0396728516,-0.9234619141,0.3580322266,1738784115742,-6.5929880142,-0.3658536673,-0.3353658617
1738784115690,0.0390625,-0.9284667969,0.35546875,1738784115744,-6.3567075729,-0.5182926655,-0.617378056
1738784115692,0.0405273438,-0.9294433594,0.3511962891,1738784115746,-6.1432929039,-0.7926829457,-0.8689024448
1738784115694,0.0401611328,-0.9259033203,0.3497314453,1738784115749,-5.8612804413,-0.625,-1.0518293381
1738784115734,0.0385742188,-0.9329833984,0.3474121094,1738784115780,-5.320122242,-0.3277439177,-1.4253048897
1738784115742,0.0374755859,-0.9342041016,0.3444824219,1738784115782,-4.7484755516,0.1219512224,-1.6844512224
1738784115743,0.0393066406,-0.931640625,0.3448486328,1738784115784,-4.4512195587,0.9222561121,-1.8064024448
1738784115745,0.0434570313,-0.9364013672,0.3438720703,1738784115786,-4.4664635658,2.400914669,-1.8368903399
1738784115748,0.0517578125,-0.9398193359,0.3430175781,1738784115830,-4.3216462135,4.1920733452,-1.6692073345
1738784115779,0.0559082031,-0.9378662109,0.3444824219,1738784115833,-4.2073173523,5.8307929039,-1.3185975552
1738784115781,0.0650634766,-0.9399414063,0.3452148438,1738784115835,-3.9786586761,7.4695124626,-0.8917683363
1738784115784,0.0823974609,-0.9344482422,0.3482666016,1738784115837,-3.7804877758,9.0015249252,-0.4496951401
1738784115785,0.0925292969,-0.9324951172,0.3459472656,1738784115838,-3.9786586761,10.1219511032,0.0
1738784115825,0.09375,-0.9307861328,0.3427734375,1738784115876,-4.1463413239,10.9984760284,0.5106707215
1738784115832,0.0949707031,-0.9324951172,0.3447265625,1738784115878,-4.4512195587,11.7606706619,1.0060975552
1738784115834,0.08984375,-0.9342041016,0.3452148438,1738784115879,-4.9161586761,12.4618902206,1.4024389982
1738784115836,0.0850830078,-0.9265136719,0.3442382813,1738784115880,-5.4649391174,13.0411586761,1.9512195587
1738784115838,0.0817871094,-0.9256591797,0.34765625,1738784115918,-6.0518293381,13.7195129395,2.6371951103
1738784115875,0.0766601563,-0.923828125,0.3428955078,1738784115926,-6.5015244484,14.3292684555,3.285061121
1738784115877,0.0731201172,-0.9196777344,0.3461914063,1738784115929,-7.0045733452,14.6570129395,3.910061121
1738784115878,0.0710449219,-0.9171142578,0.3479003906,1738784115932,-7.6524391174,14.9695129395,4.4664635658
1738784115879,0.0700683594,-0.9173583984,0.3442382813,1738784115933,-8.1935977936,15.0228662491,5.007622242
1738784115917,0.0654296875,-0.9187011719,0.3444824219,1738784115961,-8.8109760284,15.1067075729,5.5182929039
1738784115924,0.0600585938,-0.9193115234,0.3435058594,1738784115965,-9.3521347046,15.2362804413,6.0289635658
1738784115927,0.0523681641,-0.9167480469,0.3421630859,1738784115966,-9.6951217651,15.2515249252,6.8216466904
1738784115930,0.0455322266,-0.9190673828,0.3385009766,1738784115968,-10.0685977936,15.4344511032,7.4314026833
1738784115932,0.0432128906,-0.9191894531,0.3381347656,1738784116007,-10.1143293381,15.6326227188,7.9039635658
1738784115960,0.0405273438,-0.9250488281,0.3374023438,1738784116010,-9.9695119858,15.5564031601,8.3003053665
1738784115963,0.0335693359,-0.9291992188,0.3310546875,1738784116011,-9.3521347046,15.1676836014,8.346036911
