timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784726248,0.0356445313,-0.9050292969,0.3824462891,1738784726253,-2.0655488968,-0.7545731664,-0.4115853608
1738784726251,0.0336914063,-0.9093017578,0.3842773438,1738784726254,-2.3704268932,-0.9756097794,0.0914634168
1738784726254,0.0350341797,-0.9060058594,0.3800048828,1738784726256,-2.3170731068,-1.1585365534,0.0076219514
1738784726255,0.0340576172,-0.9069824219,0.3790283203,1738784726295,-2.6905488968,-1.2881097794,0.1067073196
1738784726293,0.0340576172,-0.9093017578,0.3771972656,1738784726296,-2.9420733452,-1.6768293381,0.2591463327
1738784726295,0.0350341797,-0.9154052734,0.3801269531,1738784726297,-2.8277440071,-1.9435975552,0.3963414729
1738784726296,0.0350341797,-0.9150390625,0.3793945313,1738784726299,-2.8353660107,-2.1951220036,0.4878048897
1738784726298,0.0340576172,-0.9167480469,0.3797607422,1738784726304,-2.6829268932,-2.2942073345,0.4573170841
1738784726302,0.0356445313,-0.9202880859,0.3812255859,1738784726339,-2.400914669,-2.5762195587,0.472560972
1738784726338,0.0389404297,-0.9188232422,0.3786621094,1738784726340,-2.0807926655,-2.9192073345,0.464939028
1738784726339,0.0389404297,-0.9135742188,0.3793945313,1738784726345,-2.0655488968,-2.9192073345,0.4573170841
1738784726343,0.0411376953,-0.9152832031,0.3785400391,1738784726346,-2.0960366726,-2.8810975552,0.533536613
1738784726346,0.0427246094,-0.9216308594,0.3802490234,1738784726387,-1.8292683363,-3.025914669,0.617378056
1738784726384,0.0386962891,-0.9201660156,0.3785400391,1738784726388,-1.7301830053,-3.1097562313,0.4573170841
1738784726388,0.0393066406,-0.9156494141,0.3764648438,1738784726389,-1.6082317829,-3.1402440071,0.5106707215
1738784726389,0.0424804688,-0.9166259766,0.3762207031,1738784726391,-1.4253048897,-3.1097562313,0.7926829457
1738784726390,0.0419921875,-0.9219970703,0.3759765625,1738784726430,-1.2118902206,-3.0564024448,0.8536585569
1738784726428,0.041015625,-0.9210205078,0.3751220703,1738784726436,-1.0518293381,-3.2774391174,0.7774390578
1738784726430,0.0352783203,-0.9195556641,0.3753662109,1738784726437,-0.8079268336,-3.4679877758,0.7774390578
1738784726437,0.0319824219,-0.9180908203,0.3718261719,1738784726438,-0.5564024448,-3.8185975552,0.5411585569
1738784726438,0.03125,-0.9144287109,0.3726806641,1738784726440,-0.5487805009,-4.3292684555,0.4115853608
1738784726439,0.0335693359,-0.9149169922,0.3703613281,1738784726478,-0.525914669,-4.7560977936,0.2667683065
1738784726473,0.0322265625,-0.9173583984,0.3674316406,1738784726480,-0.6021341681,-5.2439026833,0.114329271
1738784726479,0.03125,-0.921875,0.3703613281,1738784726481,-0.6021341681,-5.7621951103,0.0685975626
1738784726480,0.0327148438,-0.9212646484,0.3693847656,1738784726483,-0.5868902802,-6.37195158,0.0533536598
1738784726482,0.0316162109,-0.9197998047,0.3699951172,1738784726520,-0.5487805009,-6.7530488968,0.1371951252
