timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735569995542,-0.0445556641,-0.8603515625,0.4655761719,1735569995549,-2.2942073345,0.1676829308,0.625
1735569995548,-0.0443115234,-0.8698730469,0.46875,1735569995550,-1.9893293381,0.0990853682,0.320121944
1735569995549,-0.0435791016,-0.8665771484,0.4670410156,1735569995551,-2.1417684555,0.4573170841,0.4268292785
1735569995550,-0.0437011719,-0.8686523438,0.4681396484,1735569995552,-2.2027440071,0.846036613,0.472560972
1735569995552,-0.0439453125,-0.8717041016,0.4693603516,1735569995589,-2.1112804413,1.1737805605,0.625
1735569995584,-0.0457763672,-0.8726806641,0.4669189453,1735569995592,-1.9740854502,1.4100610018,0.6707317233
1735569995591,-0.0469970703,-0.873046875,0.4676513672,1735569995593,-1.8064024448,1.6006097794,0.4496951401
1735569995592,-0.05078125,-0.8756103516,0.4663085938,1735569995595,-1.6692073345,1.7606707811,0.1981707364
1735569995593,-0.0510253906,-0.8748779297,0.4650878906,1735569995677,-1.4786585569,1.7987805605,-0.0685975626
1735569995631,-0.0524902344,-0.8726806641,0.4644775391,1735569995682,-1.4786585569,1.7073171139,-0.3506097496
1735569995680,-0.0516357422,-0.8696289063,0.4647216797,1735569995683,-1.6310975552,1.7225610018,-0.533536613
1735569995683,-0.0521240234,-0.8703613281,0.4654541016,1735569995686,-1.7225610018,1.7149391174,-0.6478658915
1735569995684,-0.0549316406,-0.8718261719,0.4606933594,1735569995687,-1.8826220036,1.6692073345,-0.7317073345
1735569995686,-0.0561523438,-0.8724365234,0.4616699219,1735569995688,-1.905487895,1.5396342278,-0.6478658915
1735569995687,-0.0555419922,-0.875,0.4626464844,1735569995721,-1.9283536673,1.3033536673,-0.6021341681
1735569995720,-0.0565185547,-0.8756103516,0.4638671875,1735569995722,-1.9435975552,1.0975610018,-0.5030487776
1735569995721,-0.0590820313,-0.8763427734,0.4604492188,1735569995726,-1.9817073345,0.8993902802,-0.3887195289
1735569995725,-0.0549316406,-0.87890625,0.4602050781,1735569995728,-1.692073226,0.6707317233,-0.304878056
1735569995726,-0.0544433594,-0.8781738281,0.4587402344,1735569995730,-1.3033536673,0.4268292785,-0.0609756112
1735569995729,-0.0567626953,-0.8791503906,0.4610595703,1735569995765,-0.9832317233,0.228658542,0.1448170692
1735569995730,-0.0548095703,-0.8812255859,0.4655761719,1735569995771,-0.7088415027,0.0838414654,0.1295731664
1735569995766,-0.0531005859,-0.8820800781,0.4653320313,1735569995775,-0.3810975552,-0.0076219514,0.1981707364
1735569995774,-0.0509033203,-0.8773193359,0.4653320313,1735569995779,-0.1753048748,-0.1067073196,0.2667683065
1735569995778,-0.0489501953,-0.8746337891,0.4636230469,1735569995780,-0.1295731664,0.038109757,0.4878048897
1735569995779,-0.0484619141,-0.8741455078,0.4645996094,1735569995780,-0.2057926804,0.2591463327,0.6402438879
1735569995780,-0.0471191406,-0.8742675781,0.4653320313,1735569995817,-0.3429878056,0.3887195289,0.625
1735569995815,-0.0510253906,-0.8729248047,0.4661865234,1735569995820,-0.5640243888,0.3963414729,0.5030487776
1735569995818,-0.0548095703,-0.8723144531,0.4644775391,1735569995823,-0.7240853906,0.2057926804,0.3887195289
1735569995822,-0.0545654297,-0.8701171875,0.4649658203,1735569995826,-0.9146341681,-0.0457317084,0.114329271
1735569995825,-0.0546875,-0.8673095703,0.4644775391,1735569995829,-1.0213414431,-0.1905487776,-0.0076219514
1735569995826,-0.0513916016,-0.8675537109,0.4638671875,1735569995854,-1.1661585569,-0.3125,0.152439028
1735569995829,-0.0501708984,-0.8692626953,0.4641113281,1735569995878,-1.2957317829,-0.2896341383,0.3506097496
1735569995877,-0.0487060547,-0.8719482422,0.4639892578,1735569995879,-1.4405487776,-0.0457317084,0.5182926655
1735569995878,-0.0496826172,-0.8721923828,0.4627685547,1735569995879,-1.6310975552,-0.0838414654,0.7012194991
1735569995879,-0.0506591797,-0.8701171875,0.4620361328,1735569995880,-1.592987895,-0.114329271,0.7621951103
1735569995880,-0.0510253906,-0.8735351563,0.4631347656,1735569995899,-1.6615854502,-0.1905487776,0.6554878354
1735569995898,-0.05078125,-0.8748779297,0.4636230469,1735569995900,-1.7073171139,-0.2896341383,0.6097561121
1735569995899,-0.0501708984,-0.8732910156,0.4593505859,1735569995901,-1.775914669,-0.1676829308,0.3506097496
1735569995901,-0.0471191406,-0.8724365234,0.4593505859,1735569995903,-1.8216463327,0.0076219514,0.2896341383
1735569995902,-0.0461425781,-0.8763427734,0.4625244141,1735569995947,-1.6996951103,0.2591463327,0.304878056
1735569995944,-0.044921875,-0.8745117188,0.4609375,1735569995949,-1.7682926655,0.4801829457,0.2210365832
1735569995948,-0.0477294922,-0.8764648438,0.4610595703,1735569995950,-1.6996951103,0.7012194991,0.2591463327
1735569995949,-0.0494384766,-0.8759765625,0.4625244141,1735569995951,-1.7530487776,0.8536585569,0.2591463327
1735569995951,-0.0498046875,-0.8726806641,0.4602050781,1735569995953,-1.8368903399,1.0137195587,0.2439024448
1735569995952,-0.0540771484,-0.8752441406,0.4616699219,1735569995992,-1.875,1.0213414431,0.0914634168
1735569995991,-0.0552978516,-0.8820800781,0.4627685547,1735569995995,-1.6996951103,0.8841463327,-0.0228658542
1735569995995,-0.0581054688,-0.8814697266,0.4624023438,1735569995997,-1.6158536673,0.632621944,-0.076219514
1735569995996,-0.0614013672,-0.87890625,0.4600830078,1735569995998,-1.4176830053,0.1753048748,-0.2439024448
1735569995997,-0.056640625,-0.8795166016,0.4599609375,1735569996035,-1.1280487776,-0.0076219514,-0.076219514
1735569996034,-0.0498046875,-0.8800048828,0.4592285156,1735569996038,-1.0899389982,0.1371951252,0.4039634168
1735569996037,-0.0504150391,-0.8779296875,0.4604492188,1735569996043,-0.945121944,0.2972561121,0.8155487776
1735569996042,-0.052734375,-0.8778076172,0.4598388672,1735569996046,-0.8536585569,0.3734756112,0.8993902802
1735569996044,-0.0535888672,-0.8757324219,0.4584960938,1735569996048,-0.8993902802,0.2667683065,0.9375
1735569996047,-0.0549316406,-0.87890625,0.4626464844,1735569996081,-0.7469512224,0.0990853682,0.8917683363
1735569996079,-0.0541992188,-0.8781738281,0.4615478516,1735569996084,-0.6707317233,0.0152439028,0.625
1735569996082,-0.0541992188,-0.8780517578,0.4615478516,1735569996086,-0.617378056,-0.0152439028,0.4192073345
1735569996084,-0.05078125,-0.8752441406,0.4613037109,1735569996088,-0.6097561121,-0.076219514,0.2820121944
1735569996088,-0.0510253906,-0.8728027344,0.4625244141,1735569996125,-0.6935975552,0.0076219514,-0.0304878056
1735569996125,-0.0526123047,-0.8735351563,0.4614257813,1735569996130,-0.8612805009,0.0914634168,-0.1448170692
1735569996128,-0.0506591797,-0.8743896484,0.4584960938,1735569996133,-1.1890244484,0.1905487776,-0.114329271
1735569996132,-0.0531005859,-0.8758544922,0.4598388672,1735569996135,-1.2576220036,0.1067073196,-0.1067073196
1735569996134,-0.0551757813,-0.8764648438,0.4602050781,1735569996138,-1.4405487776,-0.0152439028,-0.0533536598
1735569996137,-0.0552978516,-0.876953125,0.4598388672,1735569996179,-1.379573226,-0.1829268336,0.0838414654
1735569996177,-0.0529785156,-0.8763427734,0.4592285156,1735569996181,-1.3719512224,-0.4268292785,0.2896341383
1735569996180,-0.0526123047,-0.8770751953,0.4576416016,1735569996183,-1.1737805605,-0.5411585569,0.4268292785
1735569996182,-0.0535888672,-0.8780517578,0.4584960938,1735569996184,-0.9146341681,-0.5945122242,0.6021341681
1735569996184,-0.0501708984,-0.8762207031,0.4593505859,1735569996215,-0.8841463327,-0.6021341681,0.6478658915
1735569996214,-0.0495605469,-0.8760986328,0.4604492188,1735569996217,-0.8536585569,-0.5487805009,0.5564024448
1735569996216,-0.0485839844,-0.8757324219,0.4598388672,1735569996219,-0.9908536673,-0.533536613,0.472560972
1735569996218,-0.0451660156,-0.8737792969,0.4609375,1735569996220,-1.150914669,-0.3963414729,0.3506097496
1735569996220,-0.044921875,-0.8743896484,0.4599609375,1735569996262,-1.25,-0.1219512224,0.1981707364
