timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735647438562,0.0666503906,-0.5656738281,-0.8460693359,1735647438567,1.9435975552,0.5792682767,1.905487895
1735647438565,0.0700683594,-0.5728759766,-0.8509521484,1735647438568,1.8140244484,0.320121944,1.9207317829
1735647438568,0.0662841797,-0.5699462891,-0.8491210938,1735647438570,1.9512195587,0.2896341383,1.8673781157
1735647438569,0.0648193359,-0.572265625,-0.8485107422,1735647438571,1.9969512224,0.3429878056,1.7149391174
1735647438570,0.0615234375,-0.5706787109,-0.8505859375,1735647438609,1.8521342278,0.2134146392,1.3567073345
1735647438607,0.0628662109,-0.5650634766,-0.8519287109,1735647438612,1.5548781157,0.2972561121,0.8993902802
1735647438610,0.0596923828,-0.5654296875,-0.849609375,1735647438613,1.3109756708,0.4039634168,0.4878048897
1735647438612,0.0581054688,-0.5681152344,-0.8516845703,1735647438616,1.25,0.3429878056,0.1981707364
1735647438614,0.0577392578,-0.572265625,-0.8503417969,1735647438662,1.1890244484,0.4115853608,-0.0304878056
1735647438661,0.0561523438,-0.5725097656,-0.84765625,1735647438664,1.4176830053,0.4039634168,-0.1829268336
1735647438663,0.0565185547,-0.572265625,-0.8464355469,1735647438666,1.6463414431,0.3887195289,-0.2057926804
1735647438665,0.056640625,-0.5682373047,-0.8503417969,1735647438668,1.5396342278,0.2134146392,-0.2896341383
1735647438667,0.0572509766,-0.5710449219,-0.8458251953,1735647438669,1.5167683363,0.0076219514,-0.6097561121
1735647438668,0.0549316406,-0.5689697266,-0.8468017578,1735647438703,1.1661585569,-0.3429878056,-0.8993902802
1735647438701,0.0541992188,-0.5666503906,-0.8502197266,1735647438705,0.7698171139,-0.5868902802,-1.3414634466
1735647438704,0.0544433594,-0.5715332031,-0.8527832031,1735647438707,0.7545731664,-1.0289634466,-1.6615854502
1735647438706,0.0520019531,-0.5780029297,-0.8499755859,1735647438709,0.9832317233,-1.5015244484,-1.8597561121
1735647438708,0.0545654297,-0.5816650391,-0.8518066406,1735647438793,1.3871951103,-1.9740854502,-2.134146452
1735647438791,0.0574951172,-0.5833740234,-0.8520507813,1735647438795,1.8445122242,-2.2637195587,-2.2408537865
1735647438793,0.0587158203,-0.5836181641,-0.8515625,1735647438797,2.286585331,-2.5,-2.1417684555
1735647438796,0.0628662109,-0.5748291016,-0.85546875,1735647438798,2.3094513416,-2.4695122242,-1.9817073345
1735647438797,0.0600585938,-0.5731201172,-0.8527832031,1735647438800,2.1189024448,-2.7286586761,-2.1798779964
1735647438799,0.0501708984,-0.5721435547,-0.8563232422,1735647438800,1.8673781157,-3.4451220036,-2.87347579
1735647438800,0.0515136719,-0.5650634766,-0.8564453125,1735647438801,1.0518293381,-3.9405488968,-3.3460366726
1735647438801,0.0587158203,-0.5776367188,-0.8510742188,1735647438832,0.8689024448,-4.2225608826,-3.4603660107
1735647438830,0.0617675781,-0.587890625,-0.8514404297,1735647438835,1.3033536673,-4.2530488968,-3.0640244484
1735647438833,0.0675048828,-0.5914306641,-0.8488769531,1735647438839,1.6996951103,-3.6737806797,-2.2789635658
1735647438836,0.072265625,-0.5927734375,-0.8526611328,1735647438840,1.8140244484,-2.9268293381,-1.6234756708
1735647438840,0.0764160156,-0.5906982422,-0.8551025391,1735647438841,1.8216463327,-2.4923779964,-1.4786585569
1735647438841,0.0682373047,-0.5880126953,-0.8558349609,1735647438842,1.8597561121,-2.4695122242,-1.6463414431
1735647438842,0.0666503906,-0.5849609375,-0.8566894531,1735647438843,1.8597561121,-2.6753048897,-1.7454268932
1735647438843,0.0686035156,-0.5861816406,-0.8544921875,1735647438880,1.9664634466,-2.7972562313,-1.9131097794
1735647438877,0.0632324219,-0.5830078125,-0.8548583984,1735647438883,1.905487895,-2.9496951103,-1.6844512224
1735647438881,0.0686035156,-0.5817871094,-0.853515625,1735647438886,2.0807926655,-2.8048779964,-1.3338414431
1735647438885,0.0716552734,-0.5865478516,-0.8458251953,1735647438887,2.4237804413,-2.3628048897,-0.7088415027
1735647438886,0.0753173828,-0.58203125,-0.8448486328,1735647438923,2.6295733452,-1.6996951103,-0.1219512224
1735647438922,0.0758056641,-0.5684814453,-0.8428955078,1735647438925,2.1722562313,-0.9984756112,0.1295731664
1735647438924,0.0726318359,-0.5618896484,-0.8428955078,1735647438927,1.3567073345,-0.6402438879,0.0609756112
1735647438926,0.0716552734,-0.5633544922,-0.8386230469,1735647438929,0.7698171139,-0.236280486,0.236280486
