timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735500804680,0.0087890625,-1.0159912109,0.0523681641,1735500637684,-4.1692075729,-0.7393292785,-2.6448171139
1735500804681,0.0084228516,-1.0211181641,0.0539550781,1735500804685,2.1570122242,-0.6707317233,0.3429878056
1735500804685,0.0083007813,-1.0220947266,0.0592041016,1735500804686,3.0487804413,-0.114329271,0.5487805009
1735500804687,0.0074462891,-1.0174560547,0.0626220703,1735500804687,3.7042684555,-0.7621951103,0.9146341681
1735500804721,0.0072021484,-1.0103759766,0.0687255859,1735500804726,4.5426831245,-1.2957317829,1.0746951103
1735500804727,0.0073242188,-1.0057373047,0.0733642578,1735500804728,5.2286586761,-1.7454268932,1.1814024448
1735500804728,0.0084228516,-1.0046386719,0.0751953125,1735500804729,5.5030488968,-2.2027440071,1.3109756708
1735500804729,0.0122070313,-1.0031738281,0.0815429688,1735500804732,5.5792684555,-2.6067073345,1.3719512224
1735500804733,0.0135498047,-1.0074462891,0.0858154297,1735500804733,5.6478657722,-2.9878048897,1.3109756708
1735500804764,0.0135498047,-1.0050048828,0.0889892578,1735500804765,5.6935977936,-3.3536586761,1.2195122242
1735500804766,0.0161132813,-1.0068359375,0.0919189453,1735500804771,5.6097559929,-3.7042684555,1.1128048897
1735500804771,0.0206298828,-1.0096435547,0.0950927734,1735500804776,5.4801831245,-3.8948171139,1.0899389982
1735500804776,0.0251464844,-1.0089111328,0.0958251953,1735500804777,5.3734755516,-4.0472559929,0.9375
1735500804812,0.0318603516,-1.0098876953,0.0997314453,1735500804812,5.0762195587,-3.9329268932,0.929878056
1735500804814,0.0402832031,-1.0119628906,0.1019287109,1735500804815,4.8932929039,-3.5289635658,1.1204268932
1735500804820,0.0434570313,-1.015625,0.1020507813,1735500804825,4.8399391174,-2.87347579,1.379573226
1735500804826,0.046875,-1.0130615234,0.1032714844,1735500804826,4.6875,-2.0579268932,1.7149391174
