timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735640176172,-0.0064697266,-0.3985595703,0.8740234375,1735640176173,-1.25,-0.2134146392,0.9756097794
1735640176173,-0.0063476563,-0.4022216797,0.8835449219,1735640176174,-1.2576220036,0.0533536598,0.8536585569
1735640176174,-0.0087890625,-0.4011230469,0.8798828125,1735640176177,-1.4024389982,0.114329271,0.8079268336
1735640176176,-0.0112304688,-0.4034423828,0.8800048828,1735640176214,-1.5396342278,0.1448170692,0.4954268336
1735640176213,-0.0101318359,-0.4051513672,0.8798828125,1735640176214,-1.5320122242,0.2820121944,0.1371951252
1735640176214,-0.0073242188,-0.4068603516,0.8773193359,1735640176216,-1.692073226,0.320121944,-0.1219512224
1735640176215,-0.0070800781,-0.4040527344,0.8798828125,1735640176217,-1.8597561121,0.5182926655,-0.3353658617
1735640176216,-0.0054931641,-0.4024658203,0.8784179688,1735640176220,-1.9893293381,0.7317073345,-0.4420731664
1735640176219,-0.0073242188,-0.4058837891,0.8795166016,1735640176225,-2.1646342278,0.8079268336,-0.525914669
1735640176224,-0.0076904297,-0.4050292969,0.8790283203,1735640176261,-2.446646452,0.8993902802,-0.4496951401
1735640176261,-0.0075683594,-0.4052734375,0.8753662109,1735640176262,-2.6753048897,1.036585331,-0.5030487776
1735640176261,-0.0108642578,-0.4057617188,0.8759765625,1735640176262,-2.911585331,1.0137195587,-0.5792682767
1735640176262,-0.0106201172,-0.4064941406,0.8735351563,1735640176263,-3.0106709003,0.9146341681,-0.4954268336
1735640176263,-0.0073242188,-0.4119873047,0.8767089844,1735640176266,-3.0640244484,1.036585331,-0.228658542
1735640176263,-0.0086669922,-0.4172363281,0.8747558594,1735640176271,-2.8963415623,0.838414669,0.0609756112
1735640176270,-0.0155029297,-0.4157714844,0.8740234375,1735640176272,-2.8201220036,0.4496951401,0.228658542
1735640176272,-0.0186767578,-0.4097900391,0.8687744141,1735640176307,-2.759146452,0.0914634168,0.2820121944
1735640176303,-0.0170898438,-0.4074707031,0.87109375,1735640176310,-2.8582317829,-0.1219512224,0.4801829457
1735640176309,-0.0133056641,-0.4149169922,0.8737792969,1735640176311,-2.8963415623,-0.2057926804,0.6478658915
1735640176310,-0.0107421875,-0.41796875,0.8735351563,1735640176311,-2.6219513416,-0.3734756112,0.6478658915
1735640176311,-0.0101318359,-0.4197998047,0.8748779297,1735640176312,-2.3704268932,-0.1981707364,0.7240853906
1735640176312,-0.0068359375,-0.4202880859,0.8739013672,1735640176348,-2.1570122242,0.2667683065,1.0442073345
1735640176348,-0.0052490234,-0.4200439453,0.8736572266,1735640176353,-2.1112804413,0.6097561121,1.3338414431
1735640176353,-0.0120849609,-0.421875,0.8743896484,1735640176362,-1.9817073345,0.5945122242,1.3033536673
1735640176360,-0.0181884766,-0.4184570313,0.8728027344,1735640176363,-2.0579268932,0.3429878056,1.0746951103
1735640176363,-0.0169677734,-0.4191894531,0.8723144531,1735640176448,-2.088414669,0.2210365832,0.8307927251
1735640176447,-0.0183105469,-0.4190673828,0.8704833984,1735640176454,-2.2332317829,0.0838414654,0.4268292785
1735640176454,-0.0168457031,-0.4174804688,0.8692626953,1735640176486,-2.2713415623,-0.0533536598,0.114329271
1735640176455,-0.0153808594,-0.4174804688,0.8688964844,1735640176489,-2.3856709003,-0.228658542,-0.152439028
1735640176487,-0.0091552734,-0.4163818359,0.8665771484,1735640176490,-2.6143293381,-0.1753048748,-0.3429878056
1735640176489,-0.0059814453,-0.4156494141,0.8686523438,1735640176493,-2.6829268932,0.0609756112,-0.4420731664
1735640176493,-0.0065917969,-0.4139404297,0.8682861328,1735640176494,-2.9878048897,0.2515243888,-0.4878048897
1735640176493,-0.0070800781,-0.4171142578,0.8696289063,1735640176497,-3.1402440071,0.3429878056,-0.3277439177
1735640176496,-0.0079345703,-0.4216308594,0.8685302734,1735640176498,-2.972561121,0.4344512224,-0.2439024448
1735640176497,-0.0093994141,-0.4249267578,0.8676757813,1735640176573,-2.6753048897,0.3658536673,-0.1829268336
1735640176499,-0.0090332031,-0.4235839844,0.8688964844,1735640176579,-2.3856709003,0.3963414729,-0.0076219514
1735640176578,-0.0075683594,-0.4282226563,0.8707275391,1735640176579,-2.035061121,0.5106707215,0.1067073196
1735640176579,-0.0098876953,-0.4261474609,0.8703613281,1735640176580,-1.7606707811,0.5716463327,0.1905487776
1735640176580,-0.0095214844,-0.4233398438,0.8695068359,1735640176581,-1.3338414431,0.5640243888,0.4039634168
1735640176580,-0.0122070313,-0.4268798828,0.8720703125,1735640176583,-1.2423781157,0.4268292785,0.5564024448
1735640176580,-0.0135498047,-0.4240722656,0.8709716797,1735640176585,-1.4557926655,0.2210365832,0.3887195289
1735640176581,-0.0180664063,-0.4174804688,0.8699951172,1735640176631,-1.2576220036,-0.0304878056,0.1219512224
1735640176585,-0.0173339844,-0.4232177734,0.8708496094,1735640176632,-0.945121944,-0.0990853682,-0.0990853682
1735640176624,-0.0125732422,-0.4295654297,0.8723144531,1735640176633,-1.0442073345,-0.2210365832,-0.2820121944
1735640176632,-0.0130615234,-0.4223632813,0.8725585938,1735640176635,-1.3109756708,0.6097561121,0.2210365832
1735640176633,-0.0067138672,-0.4166259766,0.8707275391,1735640176635,-1.5167683363,0.5487805009,0.1295731664
1735640176634,-0.0035400391,-0.412109375,0.8692626953,1735640176636,-1.6310975552,0.4344512224,-0.076219514
1735640176634,-0.0114746094,-0.4152832031,0.8754882813,1735640176668,-1.8673781157,0.2591463327,-0.0457317084
1735640176635,-0.013671875,-0.4134521484,0.8776855469,1735640176669,-2.2789635658,0.1981707364,-0.1981707364
1735640176635,-0.0131835938,-0.4134521484,0.8784179688,1735640176670,-2.6143293381,0.2972561121,-0.2210365832
1735640176636,-0.01171875,-0.4118652344,0.8760986328,1735640176671,-2.9420733452,0.2820121944,-0.2134146392
1735640176669,-0.0080566406,-0.4125976563,0.8756103516,1735640176678,-3.338414669,0.2134146392,-0.2134146392
1735640176670,-0.0092773438,-0.4130859375,0.8756103516,1735640176679,-3.7118902206,0.1219512224,-0.2591463327
1735640176670,-0.013671875,-0.4090576172,0.8734130859,1735640176680,-4.0548782349,0.1371951252,-0.320121944
1735640176674,-0.0126953125,-0.4058837891,0.8735351563,1735640176711,-4.3445124626,0.2896341383,-0.160060972
1735640176679,-0.0065917969,-0.4106445313,0.876953125,1735640176712,-4.7256097794,0.2896341383,0.0076219514
1735640176679,-0.0075683594,-0.4140625,0.8754882813,1735640176713,-5.1676831245,0.2057926804,0.1829268336
1735640176710,-0.0104980469,-0.4130859375,0.8735351563,1735640176714,-5.6173782349,0.076219514,0.3125
1735640176711,-0.0119628906,-0.4135742188,0.8745117188,1735640176754,-5.9832320213,0.0609756112,0.4496951401
1735640176712,-0.0118408203,-0.4145507813,0.8757324219,1735640176756,-6.1432929039,0.236280486,0.6631097794
1735640176714,-0.0101318359,-0.4158935547,0.8721923828,1735640176757,-6.4405488968,0.3277439177,0.7774390578
1735640176753,-0.0081787109,-0.4193115234,0.8742675781,1735640176759,-6.8521342278,0.304878056,0.8612805009
1735640176756,-0.0104980469,-0.4168701172,0.8734130859,1735640176802,-7.3475613594,0.320121944,0.7926829457
1735640176757,-0.0080566406,-0.4184570313,0.8709716797,1735640176807,-7.7667684555,0.2743902504,0.7240853906
1735640176758,-0.0089111328,-0.4185791016,0.8702392578,1735640176808,-8.1631097794,0.114329271,0.632621944
1735640176800,-0.0102539063,-0.4133300781,0.8707275391,1735640176810,-8.5213413239,0.038109757,0.5868902802
1735640176803,-0.0109863281,-0.4173583984,0.87109375,1735640176814,-9.1234760284,0.2134146392,0.6935975552
1735640176807,-0.0063476563,-0.4169921875,0.8712158203,1735640176843,-9.8475608826,0.304878056,0.9222561121
1735640176810,-0.0062255859,-0.4155273438,0.8719482422,1735640176844,-10.5030488968,0.4344512224,1.1585365534
1735640176810,-0.0046386719,-0.4165039063,0.8735351563,1735640176846,-11.1890249252,0.5945122242,1.2195122242
1735640176843,-0.0043945313,-0.4157714844,0.8715820313,1735640176846,-11.8292684555,0.7926829457,1.2042683363
1735640176844,-0.0047607422,-0.4165039063,0.8743896484,1735640176889,-12.3399391174,0.846036613,1.1737805605
1735640176845,-0.0025634766,-0.4194335938,0.8724365234,1735640176892,-12.9268293381,0.6631097794,1.1051830053
1735640176846,-0.0047607422,-0.4223632813,0.8718261719,1735640176893,-13.6661586761,0.4420731664,1.0899389982
1735640176888,-0.0103759766,-0.4224853516,0.8734130859,1735640176897,-14.4588413239,0.7240853906,1.1737805605
1735640176890,-0.0133056641,-0.4232177734,0.8695068359,1735640176900,-15.2286586761,1.3185975552,1.2423781157
1735640176893,-0.0052490234,-0.4216308594,0.8688964844,1735640176934,-16.0213413239,1.592987895,1.2576220036
1735640176897,-0.0003662109,-0.4249267578,0.8666992188,1735640176935,-16.6082324982,1.5015244484,1.0975610018
1735640176897,-0.0024414063,-0.4260253906,0.8643798828,1735640176936,-16.9588413239,0.8307927251,0.8231707215
1735640176933,-0.0124511719,-0.4318847656,0.8610839844,1735640176936,-17.5,-0.076219514,0.6935975552
