timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735500317870,-0.0070800781,-1.017578125,0.02734375,1735500317916,-1.1814024448,1.6234756708,-0.9222561121
1735500317872,-0.0220947266,-1.0281982422,0.025390625,1735500317920,-0.6935975552,1.4024389982,-1.1432926655
1735500317874,-0.0396728516,-1.0299072266,0.0229492188,1735500317959,-0.0152439028,-1.3033536673,-3.0182926655
1735500317875,-0.0471191406,-1.0328369141,0.0261230469,1735500318013,-0.0838414654,-4.1310977936,-5.0228657722
1735500317913,-0.0496826172,-1.0344238281,0.0285644531,1735500318015,-1.3109756708,-5.8917684555,-6.6234755516
1735500317919,-0.0484619141,-1.0336914063,0.0310058594,1735500318020,-3.0868902206,-7.1265244484,-7.7057929039
1735500317957,-0.0363769531,-1.0286865234,0.0328369141,1735500318023,-4.5045733452,-7.93445158,-8.2240858078
1735500318007,-0.0126953125,-1.0227050781,0.0295410156,1735500318024,-4.9390244484,-8.0640249252,-8.0640249252
1735500318014,0.0078125,-1.0166015625,0.0227050781,1735500318024,-4.596036911,-7.6753048897,-7.2103662491
1735500318016,0.0233154297,-1.0172119141,0.0098876953,1735500318025,-3.285061121,-6.9359755516,-5.8155488968
1735500318022,0.0395507813,-1.0330810547,0.0010986328,1735500318047,-1.150914669,-5.8993902206,-4.0472559929
1735500318023,0.0523681641,-1.0467529297,-0.0021972656,1735500318052,1.1280487776,-4.8475608826,-2.1875
1735500318024,0.0595703125,-1.0599365234,0.0018310547,1735500318054,3.2926828861,-3.650914669,-0.4954268336
1735500318025,0.0659179688,-1.0771484375,0.0075683594,1735500318055,4.8780488968,-2.6448171139,0.7774390578
1735500318046,0.0673828125,-1.0758056641,0.0168457031,1735500318058,5.8993902206,-1.9207317829,1.7149391174
1735500318048,0.0642089844,-1.0675048828,0.0246582031,1735500318063,7.1036586761,-1.6310975552,2.2637195587
1735500318053,0.0620117188,-1.0550537109,0.0318603516,1735500318064,8.9634151459,-1.8826220036,2.5228660107
1735500318054,0.0538330078,-1.0466308594,0.0428466797,1735500318096,11.0823173523,-2.4085366726,2.4085366726
1735500318056,0.0472412109,-1.0441894531,0.0489501953,1735500318098,13.346036911,-3.0868902206,2.0579268932
1735500318060,0.0349121094,-1.0494384766,0.0603027344,1735500318100,15.4268293381,-3.7118902206,1.5320122242
1735500318064,0.0269775391,-1.0576171875,0.076171875,1735500318101,17.3018302917,-4.070122242,1.0823171139
1735500318095,0.0278320313,-1.060546875,0.0910644531,1735500318102,19.3902435303,-3.9862806797,1.0289634466
1735500318097,0.0270996094,-1.0529785156,0.0985107422,1735500318102,21.600610733,-3.6737806797,1.0442073345
1735500318100,0.0311279297,-1.0345458984,0.1063232422,1735500318136,23.1326217651,-3.2621951103,1.0975610018
1735500318100,0.037109375,-1.0258789063,0.1185302734,1735500318137,23.6432933807,-2.5076220036,1.3262195587
1735500318101,0.041015625,-1.0235595703,0.1336669922,1735500318138,23.4451217651,-1.6615854502,1.6310975552
1735500318102,0.0435791016,-1.0070800781,0.1473388672,1735500318140,22.7896347046,-0.7850610018,1.7454268932
1735500318135,0.0419921875,-0.9871826172,0.1591796875,1735500318185,21.5929889679,0.1981707364,1.8216463327
1735500318136,0.0407714844,-0.9704589844,0.16796875,1735500318187,20.5487804413,1.1737805605,2.0807926655
1735500318138,0.0416259766,-0.9530029297,0.1745605469,1735500318189,19.6036586761,1.9359756708,2.5381097794
1735500318139,0.0388183594,-0.9403076172,0.1805419922,1735500318192,18.6509151459,2.4771342278,3.0182926655
1735500318184,0.0333251953,-0.9387207031,0.1851806641,1735500318194,17.759147644,2.9192073345,3.3460366726
1735500318186,0.0261230469,-0.9400634766,0.1920166016,1735500318227,16.7378044128,3.2317073345,3.6432926655
1735500318188,0.0181884766,-0.9362792969,0.197265625,1735500318233,15.5945129395,3.3155488968,3.7042684555
1735500318192,0.0104980469,-0.9343261719,0.2000732422,1735500318234,14.1692075729,3.2012195587,3.6356709003
1735500318193,0.0065917969,-0.9338378906,0.2012939453,1735500318236,12.7515249252,2.9039635658,3.536585331
1735500318226,-0.0006103516,-0.931640625,0.1965332031,1735500318278,11.3033542633,2.8810975552,3.5060975552
1735500318231,-0.0067138672,-0.9311523438,0.1911621094,1735500318279,9.7179880142,2.759146452,3.4527440071
