timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1736411842409,-0.3310546875,-0.9188232422,0.2020263672,1736411842410,-1.3719512224,1.1128048897,0.2057926804
1736411842411,-0.3366699219,-0.9271240234,0.2033691406,1736411842411,-1.2423781157,1.0442073345,-0.3353658617
1736411842412,-0.3366699219,-0.9243164063,0.2026367188,1736411842445,-1.1890244484,1.036585331,-0.2439024448
1736411842446,-0.3369140625,-0.9212646484,0.2010498047,1736411842447,-1.0975610018,0.7393292785,-0.3582317233
1736411842448,-0.3349609375,-0.9174804688,0.2028808594,1736411842449,-0.8841463327,0.5792682767,-0.6631097794
1736411842450,-0.3330078125,-0.9165039063,0.2016601563,1736411842457,-0.8536585569,0.4420731664,-0.7774390578
1736411842459,-0.3325195313,-0.9161376953,0.2015380859,1736411842463,-0.945121944,0.304878056,-0.8917683363
1736411842465,-0.3289794922,-0.9140625,0.2019042969,1736411842469,-1.150914669,0.152439028,-0.8841463327
1736411842471,-0.3288574219,-0.9168701172,0.1989746094,1736411842471,-1.3185975552,0.0914634168,-0.625
1736411842489,-0.3292236328,-0.9169921875,0.1995849609,1736411842490,-1.4024389982,-0.0609756112,-0.5640243888
1736411842492,-0.3291015625,-0.9219970703,0.19921875,1736411842494,-1.4329268932,-0.038109757,-0.5487805009
1736411842495,-0.3303222656,-0.9216308594,0.2005615234,1736411842496,-1.3262195587,-0.0914634168,-0.5182926655
1736411842497,-0.3310546875,-0.9232177734,0.1999511719,1736411842498,-1.2652438879,-0.2667683065,-0.5411585569
1736411842536,-0.3288574219,-0.9246826172,0.1968994141,1736411842537,-1.067073226,-0.4878048897,-0.525914669
1736411842538,-0.3265380859,-0.9205322266,0.2012939453,1736411842540,-0.9146341681,-0.5945122242,-0.617378056
1736411842635,-0.326171875,-0.9185791016,0.2025146484,1736411842636,-0.9375,-0.6021341681,-0.632621944
1736411842637,-0.3232421875,-0.9188232422,0.2028808594,1736411842637,-1.1128048897,-0.4344512224,-0.6783536673
1736411842638,-0.3217773438,-0.9197998047,0.1987304688,1736411842638,-1.1890244484,-0.2439024448,-0.5564024448
1736411842639,-0.3249511719,-0.9200439453,0.2003173828,1736411842639,-1.2652438879,-0.152439028,-0.4115853608
1736411842641,-0.3276367188,-0.9285888672,0.2026367188,1736411842641,-1.3185975552,-0.0457317084,-0.4115853608
1736411842642,-0.3250732422,-0.9279785156,0.2016601563,1736411842642,-0.9527439475,-0.076219514,-0.4344512224
1736411842642,-0.3254394531,-0.9291992188,0.2021484375,1736411842670,-0.7088415027,-0.0609756112,-0.3429878056
1736411842671,-0.3256835938,-0.9267578125,0.1999511719,1736411842674,-0.3810975552,-0.1905487776,-0.4115853608
1736411842674,-0.3190917969,-0.9197998047,0.1975097656,1736411842675,-0.0076219514,-0.1981707364,-0.5716463327
1736411842676,-0.3143310547,-0.9196777344,0.1988525391,1736411842676,0.076219514,-0.0457317084,-0.464939028
1736411842677,-0.3155517578,-0.9196777344,0.2003173828,1736411842677,0.0076219514,0.3506097496,-0.160060972
1736411842678,-0.3218994141,-0.9202880859,0.1994628906,1736411842678,0.0609756112,0.6783536673,0.0152439028
1736411842679,-0.3254394531,-0.9224853516,0.2016601563,1736411842679,0.0228658542,0.7926829457,0.1676829308
1736411842680,-0.3275146484,-0.9194335938,0.2022705078,1736411842715,-0.152439028,0.7317073345,0.2439024448
1736411842716,-0.3278808594,-0.9216308594,0.2008056641,1736411842717,-0.1981707364,0.5564024448,0.2439024448
1736411842717,-0.3254394531,-0.9233398438,0.2012939453,1736411842718,-0.1371951252,0.3429878056,0.304878056
1736411842720,-0.3255615234,-0.9200439453,0.2028808594,1736411842723,-0.1295731664,0.3810975552,0.320121944
1736411842724,-0.3247070313,-0.9217529297,0.2027587891,1736411842724,-0.152439028,0.3277439177,0.2972561121
1736411842725,-0.322265625,-0.9193115234,0.2023925781,1736411842725,-0.1219512224,0.3125,0.2743902504
1736411842729,-0.3234863281,-0.9152832031,0.2033691406,1736411842730,-0.038109757,0.3506097496,0.3353658617
1736411842759,-0.3249511719,-0.9158935547,0.2043457031,1736411842763,-0.1981707364,0.5487805009,0.2896341383
1736411842763,-0.3269042969,-0.9165039063,0.2037353516,1736411842764,-0.3582317233,0.5716463327,0.4039634168
1736411842765,-0.3282470703,-0.9169921875,0.2056884766,1736411842769,-0.464939028,0.5411585569,0.4268292785
1736411842770,-0.3265380859,-0.9202880859,0.2015380859,1736411842773,-0.6783536673,0.533536613,0.4192073345
1736411842774,-0.3265380859,-0.9226074219,0.2025146484,1736411842778,-0.7012194991,0.3429878056,0.4496951401
1736411842805,-0.3237304688,-0.9250488281,0.2028808594,1736411842806,-0.5182926655,0.2972561121,0.525914669
1736411842808,-0.32421875,-0.923828125,0.2019042969,1736411842809,-0.2515243888,0.3429878056,0.533536613
