timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735647333443,0.1365966797,-0.7697753906,-0.6566162109,1735647333446,0.5182926655,0.2439024448,0.4801829457
1735647333445,0.1412353516,-0.7869873047,-0.6618652344,1735647333450,0.7850610018,0.5945122242,0.5030487776
1735647333447,0.1441650391,-0.7791748047,-0.6605224609,1735647333452,0.945121944,1.2728658915,0.7545731664
1735647333451,0.1381835938,-0.7707519531,-0.6591796875,1735647333495,0.8155487776,2.0426828861,0.9527439475
1735647333491,0.1286621094,-0.7720947266,-0.6557617188,1735647333498,0.7469512224,2.088414669,0.9375
1735647333497,0.1218261719,-0.7781982422,-0.6561279297,1735647333500,1.0137195587,1.775914669,0.8689024448
1735647333499,0.1157226563,-0.7778320313,-0.6525878906,1735647333502,1.0823171139,1.2195122242,0.9527439475
1735647333501,0.111328125,-0.7708740234,-0.65234375,1735647333504,0.7850610018,0.3582317233,0.9222561121
1735647333503,0.1182861328,-0.7624511719,-0.6502685547,1735647333533,0.2820121944,0.0457317084,1.2042683363
1735647333532,0.1257324219,-0.7590332031,-0.6488037109,1735647333535,-0.3353658617,0.2057926804,1.4557926655
1735647333534,0.1279296875,-0.7596435547,-0.6494140625,1735647333537,-0.9908536673,0.2667683065,1.2804877758
1735647333536,0.1217041016,-0.763671875,-0.6535644531,1735647333540,-1.4405487776,-0.0533536598,0.8307927251
1735647333537,0.1177978516,-0.7689208984,-0.6578369141,1735647333590,-1.775914669,-0.3353658617,0.3582317233
1735647333584,0.1241455078,-0.7749023438,-0.6600341797,1735647333594,-1.8064024448,-0.0990853682,0.3125
1735647333592,0.1326904297,-0.7854003906,-0.6599121094,1735647333596,-1.3871951103,0.3887195289,0.4344512224
1735647333595,0.1330566406,-0.7810058594,-0.6623535156,1735647333598,-1.2195122242,0.8231707215,0.472560972
1735647333597,0.1273193359,-0.7780761719,-0.6651611328,1735647333600,-1.067073226,0.8612805009,0.2134146392
1735647333600,0.1228027344,-0.7786865234,-0.6677246094,1735647333625,-0.8993902802,0.8155487776,0.0152439028
1735647333624,0.1198730469,-0.7761230469,-0.6656494141,1735647333627,-0.7926829457,0.6097561121,-0.0838414654
1735647333626,0.115234375,-0.7818603516,-0.6600341797,1735647333629,-0.2134146392,0.0990853682,-0.1219512224
1735647333628,0.1169433594,-0.7864990234,-0.6610107422,1735647333632,0.5411585569,-0.304878056,0.038109757
1735647333631,0.1195068359,-0.7797851563,-0.6594238281,1735647333670,0.8765243888,-0.632621944,0.4496951401
1735647333667,0.1171875,-0.7723388672,-0.6606445313,1735647333672,0.7545731664,-0.9756097794,0.7850610018
1735647333671,0.1169433594,-0.7637939453,-0.6600341797,1735647333674,0.228658542,-1.4481707811,0.9679878354
1735647333673,0.1228027344,-0.7601318359,-0.6577148438,1735647333677,-0.2439024448,-1.5091463327,0.9679878354
1735647333676,0.1265869141,-0.7580566406,-0.6574707031,1735647333679,-0.8689024448,-1.4557926655,0.3353658617
1735647333678,0.1264648438,-0.7604980469,-0.6555175781,1735647333713,-1.2957317829,-1.4176830053,-0.4344512224
1735647333711,0.130859375,-0.7667236328,-0.6531982422,1735647333718,-1.3948171139,-0.846036613,-0.6097561121
1735647333717,0.1400146484,-0.7720947266,-0.65625,1735647333720,-1.1737805605,0.1448170692,-0.320121944
1735647333719,0.140625,-0.7719726563,-0.6541748047,1735647333721,-0.9146341681,0.9832317233,-0.0609756112
1735647333720,0.1354980469,-0.7667236328,-0.6556396484,1735647333758,-1.0975610018,1.5701220036,-0.0457317084
1735647333757,0.1324462891,-0.7618408203,-0.6596679688,1735647333762,-1.6615854502,1.7682926655,-0.2210365832
1735647333761,0.1320800781,-0.7647705078,-0.6607666016,1735647333764,-2.0731706619,1.9283536673,-0.236280486
1735647333762,0.1320800781,-0.7758789063,-0.6593017578,1735647333766,-1.9817073345,2.1112804413,-0.1981707364
1735647333765,0.1278076172,-0.7841796875,-0.6596679688,1735647333809,-1.3338414431,2.0960366726,-0.0990853682
1735647333804,0.1221923828,-0.7757568359,-0.6604003906,1735647333813,-1.1356707811,1.692073226,-0.0685975626
1735647333812,0.1166992188,-0.7673339844,-0.6639404297,1735647333816,-1.4481707811,1.1966463327,0.0609756112
1735647333814,0.1209716797,-0.7687988281,-0.6641845703,1735647333818,-1.6844512224,0.9146341681,0.4039634168
1735647333817,0.1241455078,-0.7738037109,-0.6591796875,1735647333820,-1.6844512224,0.8003048897,0.6707317233
1735647333819,0.1252441406,-0.7733154297,-0.6629638672,1735647333850,-1.4100610018,0.7850610018,1.036585331
1735647333848,0.1241455078,-0.7709960938,-0.6612548828,1735647333853,-1.2118902206,0.6783536673,1.1128048897
1735647333852,0.1185302734,-0.7686767578,-0.6607666016,1735647333856,-1.3109756708,0.1371951252,1.0213414431
1735647333854,0.1159667969,-0.7741699219,-0.6629638672,1735647333858,-1.1737805605,-0.4573170841,1.0289634466
1735647333857,0.1176757813,-0.7757568359,-0.6630859375,1735647333902,-1.0060975552,-0.7926829457,1.0899389982
1735647333894,0.1185302734,-0.7761230469,-0.6643066406,1735647333904,-0.838414669,-1.1204268932,1.3185975552
1735647333903,0.1220703125,-0.7811279297,-0.6639404297,1735647333906,-0.3506097496,-1.1661585569,1.7378048897
1735647333905,0.1285400391,-0.7852783203,-0.6634521484,1735647333908,0.1448170692,-0.6859756112,2.0655488968
1735647333907,0.1339111328,-0.77734375,-0.6649169922,1735647333910,0.1295731664,-0.1067073196,1.9359756708
1735647333909,0.126953125,-0.767578125,-0.6693115234,1735647333941,-0.2896341383,0.0076219514,1.1356707811
1735647333940,0.1185302734,-0.7712402344,-0.6707763672,1735647333943,-0.6478658915,-0.1829268336,-0.0152439028
1735647333942,0.1192626953,-0.7852783203,-0.6691894531,1735647333944,-0.1448170692,-0.236280486,-0.6707317233
1735647333944,0.1207275391,-0.7969970703,-0.6708984375,1735647333948,0.8841463327,-0.2820121944,-0.9375
1735647333945,0.1182861328,-0.8043212891,-0.6754150391,1735647333989,2.0503048897,-0.4268292785,-1.1280487776
1735647333985,0.1153564453,-0.80859375,-0.6768798828,1735647333992,3.18597579,-0.6707317233,-1.1356707811
1735647333991,0.1177978516,-0.8143310547,-0.6813964844,1735647333994,4.1996951103,-1.0137195587,-1.1585365534
1735647333994,0.1228027344,-0.8208007813,-0.6893310547,1735647333996,5.5792684555,-0.9756097794,-1.1814024448
1735647333995,0.1290283203,-0.8272705078,-0.6871337891,1735647333998,7.1493902206,-0.7545731664,-1.2881097794
1735647333997,0.1264648438,-0.8371582031,-0.6877441406,1735647334028,9.1387195587,-0.5106707215,-1.4557926655
1735647334027,0.1181640625,-0.8509521484,-0.6923828125,1735647334033,11.7606706619,-0.5716463327,-1.9283536673
1735647334031,0.1141357422,-0.8503417969,-0.6955566406,1735647334034,13.9176836014,-1.0060975552,-2.3856709003
1735647334033,0.1173095703,-0.8393554688,-0.6990966797,1735647334035,15.3582324982,-1.1661585569,-2.6829268932
1735647334034,0.1256103516,-0.8410644531,-0.6999511719,1735647334075,16.7225608826,-1.0899389982,-2.4237804413
1735647334073,0.1330566406,-0.8503417969,-0.7000732422,1735647334081,18.4603672028,-0.7850610018,-1.9740854502
1735647334078,0.1351318359,-0.8631591797,-0.6994628906,1735647334084,20.884147644,-0.5945122242,-1.6082317829
1735647334082,0.1285400391,-0.8671875,-0.6958007813,1735647334120,23.5365867615,-1.1737805605,-1.25
1735647334085,0.1154785156,-0.8594970703,-0.6921386719,1735647334124,26.1356716156,-2.2637195587,-1.3338414431
1735647334123,0.1098632813,-0.8516845703,-0.6813964844,1735647334126,28.3307933807,-3.6128048897,-1.4862805605
1735647334125,0.1087646484,-0.8408203125,-0.6727294922,1735647334127,29.9771347046,-4.786585331,-1.2347561121
1735647334126,0.1271972656,-0.8312988281,-0.6607666016,1735647334129,31.3490867615,-4.9314026833,-0.6402438879
1735647334128,0.1376953125,-0.8247070313,-0.6497802734,1735647334130,32.2713432312,-4.3292684555,0.076219514
1735647334129,0.1457519531,-0.8205566406,-0.6405029297,1735647334167,32.8048782349,-3.3536586761,1.0442073345
1735647334165,0.1474609375,-0.8197021484,-0.6357421875,1735647334169,33.2621955872,-2.4542684555,1.7606707811
1735647334168,0.1414794922,-0.8176269531,-0.62890625,1735647334170,33.4527435303,-1.9131097794,1.9512195587
1735647334169,0.1340332031,-0.8143310547,-0.6220703125,1735647334172,33.384147644,-1.5853658915,1.8521342278
1735647334171,0.1296386719,-0.8093261719,-0.6126708984,1735647334210,33.1021347046,-1.5015244484,1.6082317829
1735647334208,0.1301269531,-0.8153076172,-0.6066894531,1735647334214,32.8810997009,-1.3643293381,1.7301830053
1735647334212,0.1264648438,-0.8325195313,-0.6010742188,1735647334216,33.5518302917,-1.3871951103,1.9817073345
1735647334215,0.1206054688,-0.841796875,-0.5972900391,1735647334218,34.5655479431,-1.6463414431,2.3018293381
1735647334217,0.115234375,-0.8402099609,-0.5894775391,1735647334219,35.1448173523,-2.1265244484,2.6448171139
1735647334218,0.1142578125,-0.8448486328,-0.587890625,1735647334257,35.7850608826,-2.400914669,3.0335366726
1735647334254,0.1149902344,-0.8503417969,-0.5882568359,1735647334261,36.6996955872,-2.6524391174,3.4527440071
1735647334259,0.1159667969,-0.8385009766,-0.5822753906,1735647334263,36.8064041138,-2.8048779964,3.7652440071
1735647334262,0.1179199219,-0.8239746094,-0.5738525391,1735647334265,35.9222564697,-2.8582317829,3.9939024448
1735647334264,0.1162109375,-0.8243408203,-0.5642089844,1735647334302,35.1753044128,-2.8658537865,4.3140244484
1735647334299,0.1137695313,-0.8347167969,-0.556640625,1735647334305,34.9009170532,-2.9192073345,4.4359755516
1735647334304,0.1109619141,-0.8409423828,-0.5484619141,1735647334307,34.8246955872,-3.0868902206,4.2682929039
1735647334306,0.1112060547,-0.8514404297,-0.5443115234,1735647334308,35.1371955872,-3.1935975552,4.2073173523
1735647334307,0.1154785156,-0.8666992188,-0.5393066406,1735647334310,35.9222564697,-2.911585331,4.3521342278
1735647334309,0.1268310547,-0.8684082031,-0.5343017578,1735647334345,36.6463432312,-1.9969512224,4.7484755516
1735647334344,0.1405029297,-0.8604736328,-0.5299072266,1735647334346,36.8597564697,-0.228658542,5.1371951103
1735647334346,0.1448974609,-0.8433837891,-0.5222167969,1735647334348,36.0060997009,1.5853658915,5.1143293381
1735647334347,0.1248779297,-0.8370361328,-0.517578125,1735647334350,34.7865867615,2.4618902206,4.3064026833
1735647334349,0.1014404297,-0.8432617188,-0.5089111328,1735647334389,33.9710388184,2.1951220036,3.0487804413
1735647334387,0.0830078125,-0.8596191406,-0.5029296875,1735647334391,33.932926178,0.929878056,2.0960366726
1735647334390,0.0756835938,-0.8912353516,-0.4997558594,1735647334393,34.8323173523,-0.5411585569,1.6996951103
1735647334392,0.0755615234,-0.9104003906,-0.4964599609,1735647334394,36.0442085266,-1.9131097794,2.1417684555
1735647334393,0.0811767578,-0.9007568359,-0.4953613281,1735647334396,36.5015258789,-2.8506097794,2.9420733452
1735647334395,0.0881347656,-0.8957519531,-0.48828125,1735647334435,36.6615867615,-3.5746951103,3.6585366726
1735647334434,0.0943603516,-0.8914794922,-0.4774169922,1735647334437,36.7682952881,-4.0091462135,3.7881097794
1735647334436,0.0993652344,-0.8854980469,-0.4670410156,1735647334439,36.5167694092,-4.1006097794,3.5518293381
1735647334438,0.1065673828,-0.8820800781,-0.4620361328,1735647334441,36.1051826477,-4.0015244484,3.0792684555
1735647334440,0.1121826172,-0.8768310547,-0.4541015625,1735647334482,35.0609779358,-3.5594513416,2.3018293381
1735647334480,0.1182861328,-0.8753662109,-0.4468994141,1735647334486,33.9405479431,-2.8658537865,1.7682926655
1735647334484,0.1223144531,-0.8907470703,-0.439453125,1735647334488,33.7271347046,-1.9740854502,1.3643293381
1735647334488,0.1209716797,-0.9014892578,-0.4334716797,1735647334490,33.8643302917,-1.2423781157,1.1051830053
1735647334489,0.1126708984,-0.9046630859,-0.4305419922,1735647334492,33.8643302917,-1.0823171139,0.5868902802
1735647334491,0.1077880859,-0.9178466797,-0.423828125,1735647334525,34.2149391174,-1.0594512224,0.1219512224
1735647334523,0.1103515625,-0.9213867188,-0.4205322266,1735647334528,34.5807952881,-0.7317073345,0.2439024448
1735647334527,0.1126708984,-0.9165039063,-0.4166259766,1735647334530,34.5350608826,-0.2515243888,0.617378056
1735647334529,0.1086425781,-0.92578125,-0.4096679688,1735647334532,34.7027435303,-0.152439028,0.8917683363
1735647334531,0.1036376953,-0.9293212891,-0.4027099609,1735647334569,35.1676826477,-0.076219514,0.9908536673
1735647334567,0.1052246094,-0.9296875,-0.3969726563,1735647334572,35.6173782349,-0.0304878056,1.2804877758
1735647334571,0.1096191406,-0.9407958984,-0.3875732422,1735647334575,36.432926178,0.0076219514,1.8597561121
1735647334573,0.119140625,-0.9542236328,-0.3814697266,1735647334577,37.8429870605,0.4878048897,2.759146452
1735647334576,0.1325683594,-0.96484375,-0.3768310547,1735647334614,39.5198173523,1.3567073345,3.7423782349
1735647334613,0.1376953125,-0.9675292969,-0.3697509766,1735647334616,41.196647644,2.4237804413,4.4054880142
1735647334615,0.138671875,-0.9516601563,-0.3630371094,1735647334618,42.1722564697,3.7728660107,4.8094511032
1735647334617,0.1381835938,-0.9302978516,-0.3592529297,1735647334620,41.9435997009,5.0457320213,4.9314026833
1735647334619,0.1330566406,-0.9143066406,-0.3531494141,1735647334623,40.6173782349,6.2423782349,4.8399391174
1735647334622,0.1317138672,-0.9161376953,-0.3471679688,1735647334661,39.192073822,7.3856711388,4.8399391174
1735647334659,0.1306152344,-0.9310302734,-0.3444824219,1735647334664,38.2621955872,8.4984760284,5.1295733452
1735647334663,0.1218261719,-0.9388427734,-0.3395996094,1735647334666,37.9115867615,9.1768293381,5.1753048897
1735647334665,0.1044921875,-0.9385986328,-0.3326416016,1735647334668,37.5076217651,9.2073173523,4.7179880142
1735647334668,0.0971679688,-0.9379882813,-0.3248291016,1735647334707,36.9131088257,8.9557924271,4.4512195587
1735647334704,0.0949707031,-0.9368896484,-0.3129882813,1735647334711,36.3567085266,8.8338413239,4.4512195587
1735647334709,0.0919189453,-0.9448242188,-0.3127441406,1735647334752,36.1432952881,8.7728662491,4.6112804413
1735647334748,0.0882568359,-0.9526367188,-0.3087158203,1735647334756,35.9908561707,8.5518293381,4.6570124626
1735647334753,0.0849609375,-0.9558105469,-0.3012695313,1735647334759,35.9451217651,8.1859760284,4.5503048897
1735647334758,0.083984375,-0.9606933594,-0.2974853516,1735647334760,35.7317085266,7.7896342278,4.5121951103
1735647334760,0.0860595703,-0.9615478516,-0.2922363281,1735647334762,35.5259170532,7.4237804413,4.7256097794
1735647334761,0.0849609375,-0.953125,-0.2849121094,1735647334763,35.3201217651,7.0274391174,4.8170733452
1735647334763,0.0830078125,-0.943359375,-0.2775878906,1735647334765,34.5960388184,6.6158537865,4.7332320213
1735647334764,0.0793457031,-0.939453125,-0.2697753906,1735647334797,33.6509170532,5.9756097794,4.5274391174
1735647334796,0.0764160156,-0.9508056641,-0.2624511719,1735647334798,33.2621955872,5.3429880142,4.2987804413
1735647334797,0.0771484375,-0.9677734375,-0.2554931641,1735647334799,33.5060997009,4.8780488968,4.0015244484
1735647334798,0.0810546875,-0.9796142578,-0.2520751953,1735647334801,34.1387214661,4.6036586761,4.0243902206
1735647334800,0.0859375,-0.9849853516,-0.2430419922,1735647334802,34.7789649963,4.5274391174,4.3978657722
1735647334801,0.0885009766,-0.9794921875,-0.2338867188,1735647334841,34.9618911743,4.4588418007,4.588414669
1735647334839,0.0848388672,-0.9636230469,-0.2269287109,1735647334843,34.5198173523,4.1692075729,4.5655488968
1735647334842,0.0786132813,-0.9560546875,-0.2191162109,1735647334845,33.7423782349,3.5823171139,4.4359755516
1735647334844,0.0764160156,-0.9571533203,-0.2141113281,1735647334848,33.0945129395,2.8887195587,4.1920733452
1735647334847,0.0777587891,-0.9627685547,-0.2083740234,1735647334887,32.6600608826,2.3170731068,4.1692075729
1735647334884,0.0778808594,-0.9809570313,-0.2033691406,1735647334890,32.7210388184,1.9131097794,4.275914669
