timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735574266834,0.0249023438,0.984375,0.0518798828,1735574266835,1.875,3.3993902206,-0.7469512224
1735574266836,0.0230712891,0.9899902344,0.0512695313,1735574266838,1.9435975552,3.338414669,-0.945121944
1735574266843,0.0213623047,0.9890136719,0.0504150391,1735574266886,1.6692073345,3.3460366726,-0.7698171139
1735574266888,0.0218505859,0.9881591797,0.0483398438,1735574266889,1.3871951103,3.3231709003,-0.6935975552
1735574266889,0.0209960938,0.98828125,0.0505371094,1735574266890,1.1280487776,3.4222562313,-0.5564024448
1735574266891,0.0230712891,0.982421875,0.0539550781,1735574266891,1.0060975552,3.5594513416,-0.3963414729
1735574266892,0.0202636719,0.9825439453,0.0573730469,1735574266892,1.0594512224,3.650914669,-0.1905487776
1735574266893,0.0145263672,0.9796142578,0.0561523438,1735574266894,1.0594512224,3.597561121,-0.038109757
1735574266925,0.0142822266,0.9737548828,0.0572509766,1735574266926,1.0289634466,3.6128048897,-0.0609756112
1735574266927,0.0091552734,0.9741210938,0.0568847656,1735574266928,1.4405487776,3.4375,0.0
1735574266928,0.0051269531,0.9846191406,0.0595703125,1735574266929,1.7835366726,2.911585331,0.1753048748
1735574266929,0.0056152344,0.9895019531,0.0598144531,1735574266930,1.6463414431,2.347561121,0.2591463327
1735574266930,0.0120849609,0.9893798828,0.0626220703,1735574266932,1.2271342278,1.7911585569,0.2667683065
1735574266970,0.0155029297,0.9918212891,0.0657958984,1735574266971,0.6402438879,1.5167683363,0.160060972
1735574266971,0.0148925781,0.9938964844,0.0678710938,1735574266972,0.2210365832,1.4862805605,0.0914634168
1735574266973,0.0133056641,0.9907226563,0.0676269531,1735574266975,0.0,1.3490854502,0.160060972
1735574266976,0.0092773438,0.9820556641,0.0668945313,1735574266976,-0.3734756112,1.0060975552,0.5564024448
1735574267013,0.0111083984,0.9816894531,0.068359375,1735574267014,-0.2896341383,0.4268292785,1.1128048897
1735574267017,0.0187988281,0.9907226563,0.0671386719,1735574267018,-0.0990853682,-0.0990853682,1.4024389982
1735574267021,0.0235595703,0.9885253906,0.0638427734,1735574267022,-0.3353658617,-0.3353658617,1.3414634466
1735574267023,0.0275878906,0.9838867188,0.0645751953,1735574267026,-0.3506097496,-0.4268292785,0.929878056
1735574267027,0.0255126953,0.9801025391,0.0620117188,1735574267027,-0.0914634168,-0.5792682767,0.5182926655
1735574267059,0.0240478516,0.9760742188,0.0545654297,1735574267106,0.0685975626,-0.5640243888,0.1981707364
1735574267110,0.0252685547,0.9748535156,0.0571289063,1735574267112,0.3734756112,-0.7240853906,-0.0990853682
