timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735500422041,-0.0084228516,-0.9461669922,0.2618408203,1735500422044,6.5929880142,1.3338414431,3.0106709003
1735500422043,-0.0059814453,-0.9537353516,0.259765625,1735500422085,6.3795733452,0.7393292785,3.0564024448
1735500422045,-0.00390625,-0.9533691406,0.2591552734,1735500422090,6.6234755516,0.2972561121,2.7667684555
1735500422088,-0.0032958984,-0.9545898438,0.2600097656,1735500422093,6.4939026833,0.160060972,2.1112804413
1735500422091,0.0001220703,-0.9526367188,0.2614746094,1735500422095,6.1432929039,0.1371951252,1.5091463327
1735500422094,0.0028076172,-0.9516601563,0.2620849609,1735500422096,5.632622242,0.1905487776,0.8307927251
1735500422096,0.0078125,-0.9478759766,0.2631835938,1735500422097,4.8628048897,0.525914669,0.2820121944
1735500422097,0.0115966797,-0.9462890625,0.2622070313,1735500422099,3.9405488968,1.2118902206,-0.1067073196
1735500422098,0.0120849609,-0.9464111328,0.2625732422,1735500422129,2.9039635658,1.905487895,-0.320121944
1735500422099,0.0130615234,-0.9500732422,0.2613525391,1735500422130,2.134146452,2.7743902206,-0.4496951401
1735500422129,0.0141601563,-0.9578857422,0.2624511719,1735500422132,1.7911585569,3.5137195587,-0.6783536673
1735500422131,0.0078125,-0.9603271484,0.2633056641,1735500422134,1.9969512224,4.0091462135,-0.9679878354
1735500422134,0.0035400391,-0.9620361328,0.2653808594,1735500422135,2.2560975552,4.1844511032,-1.4862805605
1735500422135,0.0007324219,-0.9677734375,0.2662353516,1735500422177,2.6524391174,4.1996951103,-1.8064024448
1735500422176,-0.0026855469,-0.9639892578,0.2687988281,1735500422179,2.6829268932,3.9862806797,-2.1036586761
1735500422178,0.0008544922,-0.9603271484,0.2661132813,1735500422224,2.5,3.8948171139,-2.2713415623
1735500422221,0.0009765625,-0.9602050781,0.2683105469,1735500422229,2.2332317829,3.7728660107,-2.2484755516
1735500422227,0.0002441406,-0.9595947266,0.2707519531,1735500422230,1.9131097794,3.5746951103,-2.1036586761
