timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1736411958505,-0.251953125,-0.9555664063,0.1422119141,1736411958515,2.7667684555,-10.6631097794,-6.5091466904
1736411958507,-0.2546386719,-0.9653320313,0.1457519531,1736411958516,2.5076220036,-10.5106706619,-6.783536911
1736411958515,-0.2518310547,-0.9555664063,0.1434326172,1736411958518,2.3323171139,-10.9146347046,-6.661585331
1736411958517,-0.2484130859,-0.9504394531,0.1434326172,1736411958519,2.0426828861,-10.9222564697,-6.7225613594
1736411958518,-0.2481689453,-0.9542236328,0.1452636719,1736411958548,1.7682926655,-10.9451217651,-6.5625
1736411958546,-0.2489013672,-0.9534912109,0.1468505859,1736411958549,1.2728658915,-11.0137195587,-6.463414669
1736411958549,-0.2482910156,-0.9539794922,0.1469726563,1736411958591,0.9375,-11.3185977936,-6.5396342278
1736411958550,-0.2524414063,-0.9561767578,0.1470947266,1736411958594,0.632621944,-11.7530488968,-6.8140244484
1736411958593,-0.2512207031,-0.9537353516,0.1444091797,1736411958596,0.320121944,-12.1646347046,-7.096036911
1736411958595,-0.2514648438,-0.9489746094,0.1468505859,1736411958597,-0.114329271,-12.7134151459,-7.507622242
1736411958596,-0.2476806641,-0.9510498047,0.1453857422,1736411958597,-0.617378056,-13.2240858078,-7.7667684555
1736411958597,-0.2426757813,-0.9526367188,0.1451416016,1736411958598,-1.0137195587,-13.6051836014,-7.9039635658
1736411958598,-0.2438964844,-0.9501953125,0.1469726563,1736411958637,-1.4862805605,-14.0243902206,-8.0259151459
1736411958636,-0.2413330078,-0.94921875,0.1459960938,1736411958638,-2.1189024448,-14.4969511032,-8.1021347046
1736411958637,-0.2384033203,-0.9545898438,0.1457519531,1736411958641,-2.6219513416,-14.9542684555,-8.125
1736411958639,-0.2387695313,-0.9599609375,0.1473388672,1736411958643,-2.8353660107,-15.3810977936,-8.1402444839
1736411958642,-0.2359619141,-0.9594726563,0.1478271484,1736411958644,-2.9954268932,-16.0060977936,-8.125
1736411958644,-0.2424316406,-0.9583740234,0.1473388672,1736411958684,-3.4527440071,-16.9435977936,-8.4603662491
1736411958680,-0.2459716797,-0.9602050781,0.1422119141,1736411958686,-3.7195122242,-18.0868911743,-8.6128053665
1736411958685,-0.2487792969,-0.9666748047,0.1430664063,1736411958687,-3.8719513416,-19.4969520569,-8.7804880142
1736411958687,-0.2513427734,-0.9710693359,0.14453125,1736411958691,-4.0320124626,-20.9679889679,-8.9253053665
1736411958688,-0.2554931641,-0.9692382813,0.1384277344,1736411958694,-4.2301831245,-22.5533542633,-9.1844511032
1736411958693,-0.2535400391,-0.9643554688,0.1375732422,1736411958726,-4.7027440071,-24.1082324982,-9.375
1736411958725,-0.2501220703,-0.9652099609,0.1378173828,1736411958730,-5.1676831245,-25.5106716156,-9.6189022064
1736411958727,-0.2481689453,-0.9649658203,0.1405029297,1736411958732,-5.525914669,-26.8673782349,-9.7942075729
1736411958731,-0.2491455078,-0.9702148438,0.1385498047,1736411958733,-5.8307929039,-28.5289649963,-10.0762195587
1736411958732,-0.2601318359,-0.9744873047,0.1353759766,1736411958771,-6.0670733452,-30.8079280853,-10.5792684555
1736411958770,-0.2758789063,-0.9860839844,0.1312255859,1736411958777,-5.5945124626,-33.9176826477,-11.2271347046
1736411958776,-0.2777099609,-0.9876708984,0.1253662109,1736411958779,-5.1295733452,-37.1112823486,-11.7378053665
1736411958778,-0.2697753906,-0.9875488281,0.1243896484,1736411958781,-4.7408537865,-39.9923782349,-11.783536911
1736411958779,-0.2574462891,-0.9908447266,0.125,1736411958785,-4.3140244484,-42.4085388184,-11.2576217651
1736411958782,-0.2471923828,-0.9873046875,0.126953125,1736411958817,-3.9405488968,-44.3368911743,-10.7088413239
1736411958815,-0.2397460938,-0.9769287109,0.12890625,1736411958823,-3.5442073345,-46.2118911743,-10.3810977936
1736411958821,-0.2263183594,-0.9765625,0.1291503906,1736411958824,-3.3917684555,-47.370426178,-9.7789640427
1736411958823,-0.2137451172,-0.9749755859,0.1331787109,1736411958825,-3.2926828861,-48.2012214661,-9.1310977936
1736411958824,-0.2044677734,-0.9765625,0.1354980469,1736411958868,-3.1097562313,-49.009147644,-8.6966466904
1736411958865,-0.1999511719,-0.97265625,0.1330566406,1736411958869,-3.2088415623,-49.7027435303,-8.7347564697
1736411958868,-0.1910400391,-0.9731445313,0.1339111328,1736411958870,-3.0182926655,-50.2820129395,-8.8262195587
1736411958870,-0.1832275391,-0.9771728516,0.1373291016,1736411958871,-2.4771342278,-50.7012214661,-8.879573822
1736411958870,-0.1749267578,-0.9771728516,0.1402587891,1736411958907,-1.8216463327,-50.7926826477,-9.0167684555
1736411958906,-0.1649169922,-0.9818115234,0.1427001953,1736411958909,-1.2118902206,-50.7850608826,-9.0777444839
1736411958908,-0.1612548828,-0.9829101563,0.1434326172,1736411958910,-0.6707317233,-50.9908561707,-9.2225608826
1736411958909,-0.158203125,-0.9819335938,0.1452636719,1736411958911,-0.3963414729,-51.2271347046,-9.4435977936
1736411958910,-0.150390625,-0.9876708984,0.1468505859,1736411958912,0.0533536598,-51.5167694092,-9.4969511032
1736411958911,-0.1489257813,-0.9908447266,0.1500244141,1736411958951,0.3125,-52.0655517578,-9.7103662491
1736411958949,-0.1477050781,-0.9891357422,0.1516113281,1736411958953,0.6097561121,-52.6676826477,-9.9466466904
1736411958952,-0.1441650391,-0.9908447266,0.1533203125,1736411958954,0.8612805009,-53.4070129395,-10.1524391174
1736411958954,-0.1428222656,-0.9925537109,0.1551513672,1736411958958,1.0137195587,-54.2149391174,-10.5259151459
1736411958956,-0.1468505859,-0.9929199219,0.1558837891,1736411958999,1.4100610018,-55.5106735229,-10.8155488968
1736411958999,-0.1518554688,-0.9954833984,0.1541748047,1736411959004,1.7987805605,-57.0121955872,-11.3185977936
1736411959000,-0.1450195313,-1.0013427734,0.1525878906,1736411959005,2.4161586761,-58.4603691101,-11.4862804413
1736411959005,-0.1401367188,-0.9979248047,0.158203125,1736411959006,2.7667684555,-59.8246955872,-11.7987804413
1736411959006,-0.1302490234,-0.9930419922,0.1567382813,1736411959008,3.1783537865,-61.2423782349,-12.004573822
1736411959007,-0.1252441406,-0.9874267578,0.15625,1736411959042,3.3155488968,-62.3704299927,-12.0121955872
1736411959040,-0.1147460938,-0.9859619141,0.1589355469,1736411959044,3.3460366726,-63.3384170532,-11.8064031601
1736411959043,-0.1163330078,-0.9852294922,0.1567382813,1736411959045,3.2317073345,-64.375,-11.6996955872
1736411959044,-0.1166992188,-0.9906005859,0.1538085938,1736411959046,3.1478660107,-65.5106735229,-11.5853662491
1736411959046,-0.1177978516,-0.9818115234,0.1591796875,1736411959086,2.759146452,-66.6768341064,-11.5777444839
1736411959085,-0.1077880859,-0.9844970703,0.1602783203,1736411959093,2.7820122242,-67.5762176514,-11.3414640427
1736411959088,-0.0997314453,-0.9885253906,0.1618652344,1736411959099,3.1326220036,-68.1554870605,-11.158536911
1736411959097,-0.0882568359,-0.98046875,0.166015625,1736411959102,3.2317073345,-68.269821167,-11.0137195587
1736411959100,-0.0720214844,-0.9754638672,0.1684570313,1736411959104,3.285061121,-67.9039611816,-10.6935977936
1736411959104,-0.0603027344,-0.9697265625,0.1754150391,1736411959135,3.3231709003,-67.3704299927,-10.2439022064
1736411959130,-0.0466308594,-0.9663085938,0.1810302734,1736411959137,3.071646452,-66.4405517578,-9.7103662491
1736411959136,-0.0375976563,-0.9630126953,0.1868896484,1736411959138,2.8429877758,-65.0228652954,-9.2073173523
1736411959137,-0.0272216797,-0.9595947266,0.1925048828,1736411959138,2.3551828861,-63.3612823486,-8.6890249252
1736411959138,-0.0144042969,-0.9510498047,0.1960449219,1736411959179,1.6539634466,-61.3948173523,-8.1173782349
1736411959178,-0.0073242188,-0.9438476563,0.2010498047,1736411959182,0.7012194991,-59.2073173523,-7.3551831245
1736411959181,0.0009765625,-0.9454345703,0.2078857422,1736411959187,-0.038109757,-56.6082344055,-6.6539635658
1736411959187,0.0103759766,-0.9497070313,0.2153320313,1736411959189,-0.6402438879,-53.7957344055,-5.8612804413
1736411959188,0.0120849609,-0.9548339844,0.2237548828,1736411959191,-0.7850610018,-50.8689041138,-5.0152440071
1736411959190,0.0168457031,-0.9504394531,0.2265625,1736411959222,-0.846036613,-47.8048782349,-4.0777440071
1736411959221,0.0205078125,-0.9423828125,0.2346191406,1736411959223,-0.9375,-44.7484779358,-3.3917684555
1736411959222,0.0230712891,-0.9415283203,0.2412109375,1736411959224,-0.8689024448,-41.5853652954,-2.6829268932
1736411959224,0.0212402344,-0.9411621094,0.2442626953,1736411959225,-0.632621944,-38.7042694092,-2.0960366726
1736411959225,0.009765625,-0.9434814453,0.2442626953,1736411959266,0.236280486,-36.3109779358,-1.5320122242
1736411959265,-0.0030517578,-0.9420166016,0.2427978516,1736411959315,1.0823171139,-34.9085388184,-1.0213414431
1736411959271,-0.0151367188,-0.9318847656,0.2412109375,1736411959322,1.5091463327,-34.1234779358,-0.929878056
1736411959319,-0.0198974609,-0.9342041016,0.2418212891,1736411959324,1.7987805605,-33.6432952881,-0.9527439475
1736411959323,-0.0217285156,-0.9448242188,0.2447509766,1736411959326,1.7149391174,-33.5365867615,-1.0289634466
1736411959325,-0.0153808594,-0.9539794922,0.2432861328,1736411959327,1.6844512224,-33.5060997009,-1.150914669
