timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738781129865,0.0727539063,-0.9616699219,0.1735839844,1738781129871,-2.3551828861,-1.8978658915,-1.3490854502
1738781129869,0.07421875,-0.9698486328,0.1784667969,1738781129874,-2.5457317829,-1.7682926655,-1.2195122242
1738781129872,0.0704345703,-0.9689941406,0.1751708984,1738781129876,-2.6981709003,-1.5548781157,-1.1814024448
1738781129876,0.0682373047,-0.9727783203,0.1710205078,1738781129906,-2.7743902206,-1.3643293381,-1.1128048897
1738781129876,0.0639648438,-0.9738769531,0.1728515625,1738781129911,-2.7210366726,-1.379573226,-0.9984756112
1738781129910,0.0601806641,-0.9765625,0.1707763672,1738781129912,-2.7286586761,-1.592987895,-1.067073226
1738781129912,0.0550537109,-0.9775390625,0.1719970703,1738781129914,-2.4542684555,-2.1189024448,-1.3033536673
1738781129913,0.0526123047,-0.9775390625,0.169921875,1738781129915,-2.0960366726,-2.7057926655,-1.5396342278
1738781129915,0.0520019531,-0.9764404297,0.1688232422,1738781129952,-1.8597561121,-3.2317073345,-1.7073171139
1738781129951,0.0505371094,-0.9742431641,0.1691894531,1738781129955,-1.8140244484,-3.7728660107,-1.8064024448
1738781129953,0.0491943359,-0.9727783203,0.1666259766,1738781129956,-1.7606707811,-4.2682929039,-1.9283536673
1738781129955,0.0465087891,-0.9733886719,0.1658935547,1738781129959,-1.8445122242,-4.9695124626,-2.1112804413
1738781129957,0.0426025391,-0.9698486328,0.1663818359,1738781129963,-1.9893293381,-5.7621951103,-2.3856709003
1738781129961,0.0443115234,-0.9748535156,0.1649169922,1738781129997,-1.9359756708,-6.6768293381,-2.7667684555
1738781129996,0.0452880859,-0.9791259766,0.1643066406,1738781130045,-1.7149391174,-7.599085331,-3.1935975552
1738781129998,0.0446777344,-0.9758300781,0.1669921875,1738781130051,-1.6082317829,-8.5594511032,-3.5899391174
1738781130047,0.0441894531,-0.9750976563,0.1646728516,1738781130054,-1.6158536673,-9.4969511032,-3.963414669
1738781130053,0.0462646484,-0.974609375,0.1646728516,1738781130057,-1.4786585569,-10.5640249252,-4.3445124626
1738781130056,0.0422363281,-0.9748535156,0.1634521484,1738781130058,-1.2042683363,-11.9207315445,-4.5807929039
1738781130057,0.0335693359,-0.9750976563,0.1613769531,1738781130060,-0.8155487776,-13.7423782349,-4.8551831245
1738781130060,0.0324707031,-0.9781494141,0.1604003906,1738781130086,-0.4878048897,-15.6173782349,-5.1981706619
1738781130085,0.0373535156,-0.9810791016,0.1628417969,1738781130088,-0.2667683065,-17.3780498505,-5.525914669
1738781130087,0.037109375,-0.9826660156,0.1638183594,1738781130090,-0.0152439028,-19.153963089,-5.8765244484
1738781130089,0.0404052734,-0.9829101563,0.1605224609,1738781130094,0.5945122242,-20.754573822,-6.1814026833
1738781130092,0.0452880859,-0.9777832031,0.1629638672,1738781130094,0.9984756112,-22.225610733,-6.3109755516
1738781130094,0.0469970703,-0.9782714844,0.1634521484,1738781130135,1.4481707811,-23.6890258789,-6.4405488968
1738781130095,0.0506591797,-0.9788818359,0.1647949219,1738781130140,1.7454268932,-24.9771347046,-6.6463418007
1738781130139,0.0523681641,-0.9758300781,0.1654052734,1738781130141,1.9512195587,-26.3948173523,-6.8902440071
1738781130140,0.0551757813,-0.9727783203,0.1640625,1738781130141,2.0503048897,-27.9496955872,-7.4161586761
1738781130141,0.0559082031,-0.9666748047,0.1658935547,1738781130143,1.8445122242,-29.4207324982,-8.1021347046
1738781130142,0.0494384766,-0.9664306641,0.1640625,1738781130174,1.905487895,-31.3033542633,-8.6128053665
1738781130173,0.0523681641,-0.9643554688,0.1638183594,1738781130178,1.8673781157,-33.2926826477,-9.1539640427
1738781130175,0.0593261719,-0.9577636719,0.1605224609,1738781130179,1.0746951103,-34.9085388184,-9.7408542633
1738781130178,0.0650634766,-0.9599609375,0.1605224609,1738781130181,0.5106707215,-36.3643302917,-10.1524391174
1738781130180,0.0718994141,-0.9627685547,0.1561279297,1738781130183,0.236280486,-37.6676826477,-10.6021347046
1738781130182,0.0767822266,-0.9647216797,0.1512451172,1738781130225,-0.1219512224,-38.7957344055,-11.1128053665
1738781130221,0.0791015625,-0.9720458984,0.1528320313,1738781130227,-0.0533536598,-39.9314041138,-11.4786586761
1738781130227,0.0863037109,-0.974609375,0.1514892578,1738781130228,0.2820121944,-41.0594520569,-11.8064031601
1738781130228,0.0915527344,-0.9813232422,0.1516113281,1738781130229,1.0289634466,-41.9435997009,-12.3399391174
1738781130229,0.1003417969,-0.9844970703,0.1499023438,1738781130271,1.7149391174,-42.7820129395,-12.9801836014
1738781130265,0.1020507813,-0.9881591797,0.1499023438,1738781130276,2.6981709003,-43.8338432312,-13.3841466904
1738781130276,0.0988769531,-0.9912109375,0.1468505859,1738781130278,3.9024391174,-44.9771347046,-13.7728662491
1738781130277,0.1020507813,-0.9858398438,0.1428222656,1738781130279,4.6341462135,-46.4024391174,-14.0625
1738781130279,0.1042480469,-0.9880371094,0.1420898438,1738781130280,5.7850608826,-47.9115867615,-14.192073822
1738781130279,0.1060791016,-0.9932861328,0.1424560547,1738781130311,6.8978662491,-49.4131126404,-14.1006097794
1738781130310,0.1116943359,-0.9921875,0.1413574219,1738781130313,7.911585331,-50.9298782349,-14.192073822
1738781130312,0.1195068359,-0.9896240234,0.1392822266,1738781130359,8.8414640427,-52.0350608826,-14.3521347046
1738781130314,0.1256103516,-0.9868164063,0.1375732422,1738781130364,10.0076217651,-53.1783561707,-14.4740858078
1738781130361,0.1325683594,-0.9874267578,0.1391601563,1738781130367,11.1737804413,-54.1082344055,-14.5350608826
1738781130366,0.1369628906,-0.9964599609,0.1437988281,1738781130368,12.7896347046,-55.2286605835,-14.5198173523
1738781130368,0.1381835938,-1.0024414063,0.1436767578,1738781130369,14.7332324982,-56.7454299927,-14.3902444839
1738781130368,0.1320800781,-0.9993896484,0.1411132813,1738781130370,16.6387195587,-58.7957344055,-14.0472564697
1738781130369,0.130859375,-0.9963378906,0.1411132813,1738781130401,18.3155498505,-61.0137214661,-13.6204271317
1738781130400,0.1456298828,-1.0137939453,0.1447753906,1738781130404,21.0746955872,-62.6676826477,-12.5381097794
1738781130402,0.1624755859,-1.0126953125,0.1436767578,1738781130406,23.8567085266,-63.2164649963,-11.4176836014
1738781130405,0.17578125,-0.9946289063,0.1442871094,1738781130409,25.6554889679,-63.0411605835,-10.8917684555
1738781130408,0.1812744141,-0.9898681641,0.1423339844,1738781130413,27.3246955872,-63.1859779358,-10.7926836014
1738781130412,0.1768798828,-0.9957275391,0.1446533203,1738781130448,29.3140258789,-63.9481735229,-10.7164640427
1738781130446,0.1739501953,-0.9865722656,0.1455078125,1738781130452,30.8231716156,-65.2057952881,-10.9832315445
1738781130449,0.1768798828,-0.9681396484,0.14453125,1738781130457,31.6310977936,-66.5015258789,-11.5548782349
1738781130454,0.1923828125,-0.9633789063,0.1485595703,1738781130462,32.1265258789,-67.4847564697,-12.0274391174
1738781130460,0.2032470703,-0.9655761719,0.1520996094,1738781130492,32.5762214661,-68.1402435303,-12.3856706619
1738781130489,0.2216796875,-0.9578857422,0.1556396484,1738781130496,32.8353652954,-68.125,-12.3399391174
1738781130493,0.2443847656,-0.9622802734,0.1605224609,1738781130497,33.7804870605,-67.3170776367,-11.9131097794
1738781130497,0.2639160156,-0.9722900391,0.1645507813,1738781130499,35.2667694092,-66.0594558716,-11.2576217651
1738781130498,0.2775878906,-0.97265625,0.1704101563,1738781130500,36.6006088257,-64.6036605835,-10.3125
1738781130499,0.2893066406,-0.9753417969,0.1693115234,1738781130539,38.3536605835,-63.0487823486,-9.4817075729
1738781130537,0.3026123047,-0.9698486328,0.1727294922,1738781130542,39.8094520569,-61.2195129395,-8.7271347046
1738781130541,0.3151855469,-0.9604492188,0.1806640625,1738781130545,40.9070129395,-58.9786605835,-8.1326217651
1738781130544,0.326171875,-0.9501953125,0.1826171875,1738781130548,41.6387214661,-56.5320129395,-7.713414669
1738781130547,0.3295898438,-0.9460449219,0.1861572266,1738781130626,42.0807952881,-54.2530517578,-7.6371951103
1738781130582,0.3278808594,-0.9462890625,0.1873779297,1738781130679,42.9573173523,-52.3246955872,-7.4618902206
1738781130677,0.3393554688,-0.9497070313,0.1947021484,1738781130683,44.1996955872,-49.7942085266,-7.1417684555
1738781130681,0.3508300781,-0.9556884766,0.2033691406,1738781130685,45.625,-47.2103652954,-7.0807929039
1738781130684,0.3508300781,-0.9652099609,0.2077636719,1738781130688,47.5381126404,-44.7256126404,-6.7911586761
1738781130687,0.3452148438,-0.9595947266,0.2106933594,1738781130688,49.4817085266,-42.6371955872,-6.1814026833
1738781130688,0.3450927734,-0.9504394531,0.2126464844,1738781130715,51.1280517578,-40.9222564697,-5.5716466904
1738781130689,0.353515625,-0.9504394531,0.2220458984,1738781130716,53.0106735229,-38.6737823486,-4.8780488968
1738781130716,0.3592529297,-0.953125,0.2266845703,1738781130718,55.2286605835,-36.3033561707,-4.4588418007
1738781130717,0.3627929688,-0.9528808594,0.2368164063,1738781130720,57.2637214661,-33.8643302917,-4.1387195587
1738781130719,0.3597412109,-0.9434814453,0.2408447266,1738781130723,58.8871955872,-31.6387195587,-4.0396342278
1738781130722,0.3500976563,-0.9349365234,0.2475585938,1738781130726,60.1829299927,-30.0152454376,-4.3064026833
1738781130724,0.3405761719,-0.9289550781,0.2550048828,1738781130764,63.0030517578,-28.6814022064,-4.9542684555
1738781130761,0.3245849609,-0.9141845703,0.2745361328,1738781130768,64.2606735229,-28.1478672028,-5.2362804413
1738781130767,0.3332519531,-0.8972167969,0.2886962891,1738781130770,64.6189041138,-27.0121955872,-5.4192075729
1738781130769,0.3449707031,-0.8957519531,0.3054199219,1738781130772,64.8856735229,-25.3429889679,-5.2667684555
1738781130771,0.3498535156,-0.9001464844,0.3175048828,1738781130775,65.9603652954,-23.4603672028,-5.007622242
1738781130774,0.3444824219,-0.8801269531,0.3215332031,1738781130806,66.509147644,-22.2103672028,-4.9923782349
1738781130776,0.3227539063,-0.8660888672,0.3260498047,1738781130809,67.0579299927,-22.4390239716,-5.320122242
1738781130807,0.3021240234,-0.8697509766,0.3314208984,1738781130812,68.0564041138,-23.7576217651,-5.9679880142
1738781130811,0.3048095703,-0.8647460938,0.3443603516,1738781130814,68.5365905762,-24.9771347046,-6.5243902206
1738781130813,0.3170166016,-0.8597412109,0.3603515625,1738781130815,69.0396347046,-25.3277454376,-6.5091466904
1738781130815,0.3341064453,-0.8547363281,0.3745117188,1738781130817,69.3140258789,-24.8551826477,-6.9283537865
1738781130816,0.353515625,-0.8414306641,0.3895263672,1738781130852,69.1920776367,-23.2698173523,-7.2637195587
1738781130851,0.3724365234,-0.8395996094,0.4007568359,1738781130854,69.4817123413,-21.0899391174,-7.5152440071
1738781130853,0.3753662109,-0.8253173828,0.4086914063,1738781130857,69.3292694092,-18.8567085266,-8.3384151459
1738781130855,0.3751220703,-0.8013916016,0.4096679688,1738781130860,68.4375,-16.9054889679,-9.2987804413
1738781130859,0.3681640625,-0.8009033203,0.4152832031,1738781130862,68.696647644,-15.5182933807,-10.2362804413
1738781130861,0.3720703125,-0.8028564453,0.4193115234,1738781130896,69.115852356,-14.2149391174,-11.4481706619
1738781130863,0.3737792969,-0.7963867188,0.4300537109,1738781130899,69.375,-13.0716466904,-12.1722564697
1738781130897,0.3726806641,-0.7979736328,0.4393310547,1738781130902,69.7865905762,-12.2408542633,-12.7591466904
1738781130900,0.3687744141,-0.7905273438,0.4471435547,1738781130905,69.6951217651,-11.4786586761,-13.3612804413
1738781130903,0.3734130859,-0.7864990234,0.4578857422,1738781130909,69.6265258789,-10.625,-13.3993902206
1738781130908,0.3819580078,-0.7937011719,0.4681396484,1738781130911,70.6173782349,-9.2149391174,-12.9801836014
1738781130910,0.3905029297,-0.779296875,0.4771728516,1738781130942,71.0746994019,-7.5762195587,-12.6371955872
1738781130941,0.3900146484,-0.7707519531,0.4810791016,1738781130945,71.7911605835,-6.1890244484,-12.7286586761
1738781130943,0.3803710938,-0.7607421875,0.4859619141,1738781130948,72.4542694092,-5.2515244484,-13.4527444839
1738781130946,0.3809814453,-0.7379150391,0.4984130859,1738781130951,71.8597564697,-4.382622242,-14.1996955872
1738781130949,0.3734130859,-0.7451171875,0.5070800781,1738781130953,72.591468811,-4.1844511032,-14.4588413239
1738781130952,0.3746337891,-0.7540283203,0.5161132813,1738781130985,74.5274429321,-3.9557926655,-15.2972564697
1738781130954,0.3773193359,-0.7399902344,0.5234375,1738781130989,75.9679870605,-3.6585366726,-16.4329280853
1738781130988,0.3812255859,-0.7177734375,0.5251464844,1738781130993,76.4939041138,-3.2012195587,-16.9588413239
1738781130992,0.3850097656,-0.7049560547,0.5347900391,1738781130996,76.4176864624,-2.660061121,-17.5990848541
1738781130994,0.3854980469,-0.6979980469,0.5473632813,1738781130998,76.5777435303,-2.3551828861,-18.033536911
1738781130997,0.3948974609,-0.6937255859,0.5593261719,1738781131036,77.2027435303,-1.7911585569,-18.3917694092
1738781131033,0.4049072266,-0.6838378906,0.5655517578,1738781131038,77.7057952881,-0.9146341681,-18.5213413239
1738781131037,0.4194335938,-0.6641845703,0.5754394531,1738781131041,77.4695129395,0.5868902802,-18.6128044128
1738781131040,0.4370117188,-0.6667480469,0.5881347656,1738781131044,77.8810958862,2.7743902206,-18.4908542633
1738781131043,0.4406738281,-0.6508789063,0.5966796875,1738781131077,78.2012176514,5.099085331,-18.8033542633
1738781131076,0.4393310547,-0.6297607422,0.6037597656,1738781131079,77.9192123413,6.9283537865,-19.009147644
1738781131078,0.4276123047,-0.6160888672,0.6148681641,1738781131081,77.8277435303,7.7667684555,-19.2073173523
1738781131080,0.4183349609,-0.6033935547,0.6245117188,1738781131084,77.9496994019,8.254573822,-19.2682933807
1738781131083,0.423828125,-0.5776367188,0.6351318359,1738781131085,77.1036605835,9.0929880142,-19.0777435303
1738781131084,0.4228515625,-0.5539550781,0.6510009766,1738781131123,75.3048782349,9.8323173523,-18.475610733
1738781131121,0.4185791016,-0.5418701172,0.6680908203,1738781131126,73.4146347046,10.2057933807,-17.6143302917
1738781131125,0.4163818359,-0.5336914063,0.6815185547,1738781131129,71.8902435303,10.5945119858,-16.8292694092
1738781131127,0.4187011719,-0.515625,0.6936035156,1738781131131,70.1067123413,11.3490858078,-16.2804889679
1738781131130,0.4200439453,-0.4976806641,0.7072753906,1738781131173,67.8277435303,12.1951217651,-16.0137195587
1738781131170,0.40625,-0.4848632813,0.7164306641,1738781131177,65.6478652954,12.2637195587,-15.9756097794
1738781131175,0.3929443359,-0.4716796875,0.7276611328,1738781131180,63.5365867615,11.8445129395,-15.8003053665
1738781131179,0.3874511719,-0.4592285156,0.7401123047,1738781131181,61.4710388184,10.8917684555,-15.5792684555
1738781131180,0.3853759766,-0.4510498047,0.7521972656,1738781131182,59.4435997009,9.9618902206,-15.129573822
1738781131182,0.3896484375,-0.4367675781,0.7672119141,1738781131214,57.0655517578,9.192073822,-14.6112804413
1738781131214,0.3958740234,-0.419921875,0.7750244141,1738781131216,54.3292694092,8.7271347046,-14.0167684555
1738781131215,0.3961181641,-0.4025878906,0.7818603516,1738781131217,50.9527435303,8.2621955872,-13.4375
1738781131216,0.3936767578,-0.4001464844,0.7913818359,1738781131218,48.2012214661,7.5304880142,-12.9954271317
1738781131218,0.3894042969,-0.3922119141,0.7983398438,1738781131259,45.3201217651,6.5929880142,-12.4923782349
1738781131256,0.3927001953,-0.3781738281,0.8004150391,1738781131261,42.0807952881,5.7012195587,-11.8978662491
1738781131260,0.4018554688,-0.3765869141,0.8103027344,1738781131264,39.4207344055,5.1295733452,-11.0213413239
1738781131263,0.4122314453,-0.373046875,0.8176269531,1738781131268,37.004573822,5.1524391174,-9.9314022064
1738781131265,0.4206542969,-0.3643798828,0.8239746094,1738781131268,34.7637214661,5.5868902206,-8.75
1738781131268,0.4260253906,-0.3581542969,0.8293457031,1738781131346,32.5533561707,6.0746951103,-7.7743902206
1738781131302,0.4180908203,-0.3449707031,0.8333740234,1738781131351,30.0762195587,6.05945158,-6.974085331
1738781131349,0.4156494141,-0.3361816406,0.8385009766,1738781131353,27.6676826477,5.7850608826,-6.3414635658
1738781131352,0.4124755859,-0.3267822266,0.8419189453,1738781131356,24.8475608826,5.4725608826,-5.625
1738781131356,0.4134521484,-0.3154296875,0.8464355469,1738781131357,21.913110733,5.007622242,-4.8246951103
1738781131357,0.4183349609,-0.3173828125,0.8508300781,1738781131359,19.1387195587,4.6646342278,-3.7881097794
1738781131358,0.4255371094,-0.3193359375,0.8569335938,1738781131393,16.5625,4.8551831245,-2.7896342278
1738781131390,0.4283447266,-0.3156738281,0.8592529297,1738781131395,13.8643293381,5.2972559929,-1.6463414431
1738781131394,0.4189453125,-0.3125,0.8591308594,1738781131398,11.1966466904,5.2439026833,-0.632621944
1738781131396,0.4125976563,-0.3073730469,0.8594970703,1738781131400,8.5137195587,5.0685977936,0.3277439177
1738781131399,0.400390625,-0.314453125,0.8518066406,1738781131403,6.471036911,4.1387195587,1.3033536673
1738781131402,0.3911132813,-0.3247070313,0.8515625,1738781131437,4.8246951103,2.7972562313,2.4161586761
1738781131404,0.3937988281,-0.3334960938,0.8515625,1738781131439,3.2012195587,1.7987805605,3.6280488968
1738781131438,0.4039306641,-0.341796875,0.8497314453,1738781131441,1.8064024448,1.5548781157,4.7179880142
1738781131440,0.4110107422,-0.3421630859,0.8483886719,1738781131443,0.1981707364,1.8368903399,5.3125
1738781131442,0.4066162109,-0.3371582031,0.8452148438,1738781131445,-1.7378048897,1.9664634466,5.4878048897
1738781131444,0.4012451172,-0.3460693359,0.8386230469,1738781131448,-3.285061121,2.1493902206,5.3887195587
1738781131447,0.3920898438,-0.3627929688,0.833984375,1738781131482,-3.8185975552,1.905487895,4.9390244484
1738781131481,0.3818359375,-0.3803710938,0.8262939453,1738781131484,-3.5899391174,1.0213414431,4.5579271317
1738781131483,0.3837890625,-0.3820800781,0.8178710938,1738781131487,-3.5289635658,0.3887195289,4.2987804413
1738781131486,0.3951416016,-0.3825683594,0.8203125,1738781131490,-3.8567073345,0.5411585569,4.3292684555
1738781131489,0.4029541016,-0.3914794922,0.8204345703,1738781131491,-4.0472559929,1.036585331,4.4359755516
1738781131491,0.4014892578,-0.4020996094,0.8227539063,1738781131529,-4.070122242,1.5701220036,4.2073173523
1738781131527,0.3959960938,-0.4077148438,0.8159179688,1738781131532,-3.9253048897,2.0731706619,3.8795733452
1738781131531,0.3952636719,-0.4138183594,0.8109130859,1738781131571,-3.3231709003,2.400914669,3.3689024448
1738781131534,0.3908691406,-0.4124755859,0.8061523438,1738781131574,-2.8353660107,2.400914669,3.0335366726
1738781131573,0.3834228516,-0.4118652344,0.8009033203,1738781131576,-2.6295733452,1.9969512224,3.0335366726
1738781131575,0.3840332031,-0.4176025391,0.80078125,1738781131579,-2.1112804413,1.775914669,3.2012195587
1738781131578,0.3903808594,-0.4217529297,0.8065185547,1738781131582,-1.5548781157,1.875,3.7118902206
1738781131581,0.3968505859,-0.4296875,0.8107910156,1738781131585,-0.838414669,2.3780488968,3.9862806797
1738781131583,0.3936767578,-0.4289550781,0.8112792969,1738781131617,-0.2210365832,2.9039635658,3.9176831245
1738781131616,0.3863525391,-0.4183349609,0.8107910156,1738781131619,0.0228658542,3.2012195587,3.7804877758
1738781131618,0.3828125,-0.4129638672,0.8068847656,1738781131622,-0.0457317084,3.2012195587,3.4527440071
1738781131621,0.3782958984,-0.4097900391,0.8081054688,1738781131625,-0.076219514,2.9039635658,2.9878048897
1738781131624,0.3737792969,-0.4128417969,0.8111572266,1738781131627,0.0685975626,2.599085331,2.8887195587
1738781131627,0.3677978516,-0.4064941406,0.8134765625,1738781131661,-0.0838414654,1.9817073345,2.9878048897
1738781131660,0.3631591797,-0.4075927734,0.8157958984,1738781131663,-0.0533536598,1.0518293381,3.1707317829
1738781131663,0.369140625,-0.4135742188,0.8226318359,1738781131665,-0.0228658542,0.4039634168,3.8185975552
1738781131664,0.37890625,-0.4123535156,0.8287353516,1738781131669,-0.2057926804,0.1371951252,4.6570124626
1738781131668,0.3796386719,-0.4075927734,0.8287353516,1738781131673,-0.525914669,0.0609756112,5.3810977936
1738781131672,0.3718261719,-0.3972167969,0.8277587891,1738781131707,-1.0899389982,-0.3506097496,5.8612804413
1738781131706,0.3586425781,-0.3787841797,0.8256835938,1738781131709,-2.4314024448,-1.3948171139,5.945122242
1738781131708,0.3460693359,-0.3823242188,0.8254394531,1738781131710,-3.2698171139,-3.0868902206,5.8917684555
1738781131710,0.3454589844,-0.3902587891,0.8247070313,1738781131712,-3.5594513416,-4.7332320213,5.9756097794
1738781131711,0.3480224609,-0.3745117188,0.826171875,1738781131759,-4.8856706619,-6.1128048897,6.1356706619
1738781131757,0.3540039063,-0.3728027344,0.8292236328,1738781131761,-6.1966466904,-6.9817075729,6.6158537865
1738781131760,0.353515625,-0.3785400391,0.8303222656,1738781131764,-7.4695124626,-7.9420733452,7.0274391174
1738781131763,0.3465576172,-0.3807373047,0.8330078125,1738781131765,-8.6966466904,-9.3368902206,6.9054880142
1738781131765,0.3410644531,-0.3796386719,0.8334960938,1738781131797,-10.0685977936,-10.8689031601,6.6768293381
1738781131796,0.3449707031,-0.375,0.8354492188,1738781131800,-11.4100608826,-12.1417684555,6.2728657722
1738781131798,0.3513183594,-0.3725585938,0.8319091797,1738781131803,-12.8506097794,-13.1707315445,5.533536911
1738781131801,0.3474121094,-0.3688964844,0.8250732422,1738781131808,-14.7865858078,-14.5274391174,4.9390244484
1738781131805,0.3463134766,-0.3706054688,0.8243408203,1738781131811,-16.7149391174,-16.1890239716,4.5731706619
1738781131809,0.3498535156,-0.3820800781,0.8262939453,1738781131843,-18.3155498505,-17.6981716156,4.3140244484
1738781131841,0.3566894531,-0.388671875,0.8303222656,1738781131846,-19.6036586761,-18.971036911,3.5746951103
1738781131845,0.3679199219,-0.390625,0.8337402344,1738781131849,-21.0137195587,-19.5503044128,2.3628048897
1738781131848,0.3823242188,-0.380859375,0.8275146484,1738781131852,-22.850610733,-19.5731716156,0.9527439475
1738781131851,0.3878173828,-0.3697509766,0.8220214844,1738781131889,-25.2896347046,-19.5579280853,-0.8841463327
1738781131887,0.3857421875,-0.3723144531,0.8116455078,1738781131892,-27.8048782349,-20.0533542633,-2.6753048897
1738781131891,0.3804931641,-0.3751220703,0.8106689453,1738781131895,-30.3048782349,-21.1890239716,-4.1920733452
1738781131893,0.3773193359,-0.3862304688,0.8044433594,1738781131897,-32.4923782349,-22.8963413239,-5.1524391174
1738781131896,0.3790283203,-0.4007568359,0.8032226563,1738781131899,-34.3978652954,-24.6417694092,-5.6478657722
1738781131899,0.3861083984,-0.4007568359,0.7961425781,1738781131933,-36.0060997009,-26.0213413239,-6.0518293381
1738781131931,0.3934326172,-0.3948974609,0.7858886719,1738781131936,-38.3460388184,-27.4237804413,-6.8064026833
1738781131934,0.4017333984,-0.3955078125,0.7762451172,1738781131939,-40.8384170532,-28.4679889679,-7.7362804413
1738781131937,0.4134521484,-0.4000244141,0.7664794922,1738781131941,-43.307926178,-29.2911586761,-8.3841466904
1738781131940,0.4216308594,-0.4094238281,0.7529296875,1738781131983,-45.6326217651,-29.9237804413,-8.8414640427
1738781131977,0.4340820313,-0.4240722656,0.7437744141,1738781131987,-47.2560997009,-30.129573822,-9.0320119858
1738781131985,0.4504394531,-0.4305419922,0.7360839844,1738781131988,-48.9786605835,-29.8780498505,-9.1310977936
1738781131988,0.4676513672,-0.4407958984,0.7253417969,1738781131989,-50.5487823486,-29.192073822,-8.8871955872
1738781131989,0.4791259766,-0.4569091797,0.7130126953,1738781131991,-51.5853652954,-28.346036911,-8.5746955872
1738781131990,0.4749755859,-0.4736328125,0.7044677734,1738781132021,-51.9359779358,-28.2469520569,-7.9573173523
1738781132020,0.4586181641,-0.4855957031,0.6956787109,1738781132024,-52.0426826477,-29.4969520569,-7.0579271317
1738781132022,0.4514160156,-0.4996337891,0.6904296875,1738781132026,-51.9512214661,-31.3871955872,-5.5182929039
1738781132025,0.4649658203,-0.5106201172,0.6817626953,1738781132029,-51.7911605835,-32.7820129395,-3.650914669
1738781132027,0.4853515625,-0.5115966797,0.6783447266,1738781132068,-52.2256126404,-33.3003044128,-1.8064024448
1738781132066,0.5053710938,-0.5131835938,0.6745605469,1738781132071,-52.9192085266,-32.8201217651,-0.2515243888
1738781132069,0.5145263672,-0.5174560547,0.6611328125,1738781132074,-53.384147644,-32.0274391174,1.0442073345
