timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735645747786,0.0462646484,-0.9742431641,0.0883789063,1735645747796,-0.8689024448,3.3689024448,3.5899391174
1735645747794,0.0446777344,-0.9833984375,0.0895996094,1735645747798,-0.9375,3.5899391174,3.49847579
1735645747798,0.0405273438,-0.98046875,0.0893554688,1735645747799,-1.1585365534,3.6737806797,3.3612806797
1735645747799,0.0367431641,-0.9801025391,0.0877685547,1735645747832,-1.4786585569,3.9405488968,3.2012195587
1735645747831,0.0334472656,-0.9793701172,0.0892333984,1735645747834,-1.8673781157,4.0777440071,2.9649391174
1735645747833,0.0291748047,-0.9847412109,0.0850830078,1735645747873,-1.9969512224,3.8643293381,2.5838415623
1735645747872,0.0255126953,-0.9832763672,0.0870361328,1735645747875,-2.1646342278,3.4451220036,1.9817073345
1735645747874,0.0238037109,-0.9849853516,0.0864257813,1735645747876,-2.1875,3.0182926655,1.4329268932
1735645747875,0.0228271484,-0.9865722656,0.0871582031,1735645747880,-2.4314024448,2.6753048897,1.2195122242
1735645747879,0.0227050781,-0.9881591797,0.0859375,1735645747882,-2.6295733452,2.3170731068,1.1280487776
1735645747880,0.0244140625,-0.9918212891,0.0881347656,1735645747883,-2.713414669,1.9588415623,0.8993902802
1735645747882,0.0264892578,-0.9901123047,0.0892333984,1735645747887,-2.9649391174,1.5625,0.6707317233
1735645747884,0.0241699219,-0.9931640625,0.0858154297,1735645747922,-3.1097562313,1.067073226,0.3658536673
1735645747920,0.0291748047,-0.9916992188,0.0849609375,1735645747925,-3.2317073345,0.838414669,0.4573170841
1735645747924,0.0383300781,-0.994140625,0.08203125,1735645747928,-3.2469513416,0.7926829457,0.6554878354
1735645747926,0.0405273438,-0.9947509766,0.0823974609,1735645747929,-3.4527440071,0.9375,0.9070122242
1735645747929,0.041015625,-0.9981689453,0.0791015625,1735645747930,-3.6890244484,0.9222561121,1.0823171139
1735645747930,0.0433349609,-0.9995117188,0.0799560547,1735645747963,-3.4679877758,1.0442073345,1.2652438879
1735645747962,0.0439453125,-1.0029296875,0.078125,1735645747967,-3.3307926655,1.2957317829,1.4862805605
1735645747967,0.0441894531,-1.0010986328,0.0805664063,1735645747968,-3.0868902206,1.4481707811,1.6463414431
1735645747968,0.0451660156,-1.0042724609,0.0792236328,1735645747970,-2.6067073345,1.7073171139,1.6996951103
1735645747968,0.0427246094,-1.005859375,0.0786132813,1735645748009,-2.2408537865,1.9131097794,1.7835366726
1735645748008,0.0408935547,-1.0073242188,0.0804443359,1735645748012,-1.8978658915,1.9740854502,1.7225610018
1735645748011,0.0418701172,-1.00390625,0.0784912109,1735645748014,-1.6615854502,2.0198171139,1.6082317829
1735645748013,0.0405273438,-0.9979248047,0.0767822266,1735645748015,-1.5701220036,2.2484755516,1.6844512224
1735645748015,0.0419921875,-0.9942626953,0.0778808594,1735645748055,-1.7073171139,2.4923779964,1.8978658915
1735645748054,0.0397949219,-0.9942626953,0.0786132813,1735645748057,-1.6463414431,2.8125,2.1265244484
1735645748056,0.0378417969,-0.9919433594,0.0775146484,1735645748058,-1.7225610018,3.0335366726,2.1112804413
1735645748057,0.0339355469,-0.9893798828,0.0797119141,1735645748059,-1.8597561121,3.1326220036,2.0121951103
1735645748058,0.0327148438,-0.9920654297,0.0814208984,1735645748060,-1.9283536673,3.1935975552,2.0198171139
1735645748059,0.03125,-0.9923095703,0.0823974609,1735645748100,-2.1189024448,3.1478660107,1.8521342278
1735645748098,0.0302734375,-0.99609375,0.0806884766,1735645748103,-2.0655488968,2.972561121,1.692073226
1735645748102,0.029296875,-0.9936523438,0.0802001953,1735645748104,-2.0045731068,2.8429877758,1.4862805605
1735645748104,0.0289306641,-0.9927978516,0.0799560547,1735645748105,-1.8673781157,2.5457317829,1.3490854502
1735645748105,0.0278320313,-0.994140625,0.0803222656,1735645748143,-1.8902438879,2.3704268932,1.2195122242
1735645748142,0.0284423828,-0.9907226563,0.078125,1735645748149,-2.0274391174,2.286585331,1.1585365534
1735645748145,0.0266113281,-0.9901123047,0.0817871094,1735645748152,-2.2027440071,2.0731706619,1.2195122242
1735645748151,0.0270996094,-0.990234375,0.0803222656,1735645748159,-2.446646452,1.775914669,1.1890244484
1735645748158,0.0290527344,-0.9923095703,0.0787353516,1735645748162,-2.5838415623,1.6082317829,1.1737805605
1735645748160,0.0294189453,-0.9942626953,0.0784912109,1735645748191,-2.6067073345,1.6082317829,1.2576220036
1735645748188,0.0316162109,-0.9997558594,0.0817871094,1735645748192,-2.4085366726,1.5777438879,1.2271342278
1735645748192,0.0313720703,-1.0025634766,0.0803222656,1735645748195,-1.905487895,1.5853658915,1.1280487776
1735645748193,0.0313720703,-1.0012207031,0.0808105469,1735645748196,-1.5320122242,1.6387195587,1.0289634466
1735645748196,0.0339355469,-1.0008544922,0.0812988281,1735645748237,-1.2271342278,1.7682926655,0.945121944
1735645748233,0.0347900391,-0.9992675781,0.0805664063,1735645748239,-0.9908536673,1.9512195587,0.8841463327
1735645748238,0.0347900391,-0.994140625,0.0798339844,1735645748240,-0.9679878354,1.9435975552,0.5564024448
1735645748239,0.0313720703,-0.9914550781,0.0792236328,1735645748243,-1.0137195587,1.8902438879,0.228658542
1735645748241,0.03125,-0.9923095703,0.0809326172,1735645748246,-1.2957317829,1.7225610018,-0.1448170692
1735645748244,0.0340576172,-0.9907226563,0.0805664063,1735645748276,-1.4405487776,1.5853658915,-0.3582317233
1735645748276,0.0367431641,-0.9879150391,0.0832519531,1735645748327,-2.035061121,1.6463414431,-0.304878056
1735645748324,0.0379638672,-0.9842529297,0.0830078125,1735645748334,-2.8201220036,1.9359756708,-0.114329271
1735645748333,0.0349121094,-0.9896240234,0.0803222656,1735645748335,-3.2164635658,1.9969512224,0.0152439028
1735645748334,0.0294189453,-0.9921875,0.0783691406,1735645748335,-3.6356709003,1.7378048897,-0.1295731664
1735645748335,0.0270996094,-0.9874267578,0.0793457031,1735645748336,-4.1692075729,1.5091463327,-0.1295731664
1735645748335,0.02734375,-0.9891357422,0.0760498047,1735645748336,-4.4054880142,1.0823171139,-0.0609756112
1735645748336,0.0249023438,-0.9926757813,0.0767822266,1735645748337,-4.8704271317,0.7393292785,-0.076219514
1735645748337,0.0267333984,-0.998046875,0.0753173828,1735645748368,-4.8780488968,0.4268292785,-0.160060972
1735645748367,0.0302734375,-1.0020751953,0.0734863281,1735645748372,-4.4512195587,0.2591463327,-0.0990853682
1735645748369,0.0327148438,-0.9998779297,0.0725097656,1735645748374,-4.3064026833,0.2972561121,0.2667683065
1735645748373,0.03125,-0.9995117188,0.0721435547,1735645748376,-4.1996951103,0.2743902504,0.5868902802
1735645748375,0.0306396484,-0.9998779297,0.0699462891,1735645748379,-4.0853657722,0.2134146392,0.5564024448
1735645748378,0.0291748047,-0.9973144531,0.0687255859,1735645748414,-3.9939024448,0.1295731664,0.5716463327
1735645748414,0.0295410156,-0.9989013672,0.0645751953,1735645748416,-3.8033537865,-0.0533536598,0.3887195289
