timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735573652901,0.0594482422,0.9813232422,0.0526123047,1735573652903,0.9070122242,2.8125,-0.3734756112
1735573652901,0.0587158203,0.9942626953,0.0515136719,1735573652908,0.9375,2.9039635658,-0.3734756112
1735573652904,0.0565185547,0.9976806641,0.0517578125,1735573652910,0.6021341681,2.6067073345,-0.1676829308
1735573652909,0.0583496094,0.9952392578,0.0498046875,1735573652911,0.2743902504,2.446646452,0.1676829308
1735573652910,0.0581054688,0.9918212891,0.0495605469,1735573652951,-0.076219514,2.2332317829,0.3810975552
1735573652948,0.0611572266,0.9929199219,0.0485839844,1735573652952,-0.6021341681,2.0198171139,0.5716463327
1735573652952,0.0603027344,0.9921875,0.0490722656,1735573652953,-0.9679878354,1.8978658915,0.533536613
1735573652953,0.0617675781,0.9924316406,0.0506591797,1735573652954,-1.2576220036,1.8216463327,0.5716463327
1735573652953,0.0662841797,0.9954833984,0.0465087891,1735573652992,-1.7454268932,1.775914669,0.5868902802
1735573652991,0.0678710938,0.9979248047,0.0484619141,1735573652996,-2.0274391174,1.8978658915,0.632621944
1735573652993,0.0657958984,0.9987792969,0.0493164063,1735573652999,-2.4847562313,1.905487895,0.7621951103
1735573652998,0.0659179688,0.9998779297,0.0483398438,1735573653001,-3.0868902206,1.8597561121,0.9146341681
1735573653000,0.0666503906,0.9992675781,0.0501708984,1735573653002,-3.5518293381,1.9283536673,0.9375
1735573653002,0.0690917969,1.0013427734,0.0511474609,1735573653036,-4.1463413239,2.0503048897,0.9070122242
1735573653035,0.0672607422,1.0065917969,0.0462646484,1735573653037,-4.9923782349,2.1875,0.945121944
1735573653036,0.0692138672,1.0106201172,0.0472412109,1735573653038,-5.8689026833,2.2179877758,1.0137195587
1735573653037,0.0642089844,1.01171875,0.0463867188,1735573653040,-6.8902440071,2.134146452,1.0289634466
1735573653038,0.0604248047,1.0101318359,0.0469970703,1735573653082,-7.9420733452,1.875,1.1356707811
1735573653080,0.0603027344,1.0101318359,0.0463867188,1735573653084,-8.971036911,1.6234756708,1.2576220036
1735573653083,0.0610351563,1.0070800781,0.0518798828,1735573653086,-9.8246955872,1.463414669,1.3643293381
1735573653085,0.0620117188,1.0024414063,0.0548095703,1735573653087,-10.4344511032,1.3338414431,1.3643293381
1735573653087,0.0610351563,1.0010986328,0.0577392578,1735573653089,-10.7926836014,1.2728658915,1.4024389982
1735573653088,0.0633544922,0.998046875,0.0620117188,1735573653127,-11.2271347046,1.3719512224,1.463414669
1735573653125,0.0628662109,0.9991455078,0.0671386719,1735573653128,-11.6539640427,1.5472561121,1.6387195587
1735573653127,0.0645751953,0.9976806641,0.0698242188,1735573653129,-12.0426836014,1.7378048897,1.7987805605
1735573653129,0.0622558594,0.9924316406,0.0714111328,1735573653133,-12.3399391174,1.7835366726,2.1189024448
1735573653132,0.0623779297,0.9909667969,0.076171875,1735573653190,-12.5609760284,1.8902438879,2.6219513416
1735573653172,0.0639648438,0.9909667969,0.0795898438,1735573653191,-12.9725608826,1.9359756708,3.0411586761
1735573653191,0.0612792969,0.9885253906,0.0827636719,1735573653192,-13.5137195587,1.9969512224,3.4451220036
1735573653192,0.0592041016,0.9934082031,0.0888671875,1735573653193,-14.1234760284,1.8673781157,3.75
1735573653192,0.0631103516,0.9970703125,0.0933837891,1735573653193,-14.8399391174,1.7530487776,3.9862806797
1735573653193,0.0631103516,0.9930419922,0.091796875,1735573653217,-15.3734760284,1.6844512224,4.1387195587
