timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738778713436,-0.0257568359,-0.9632568359,0.2386474609,1738778713447,-2.2942073345,1.775914669,0.5868902802
1738778713447,-0.0288085938,-0.9678955078,0.2366943359,1738778713458,-2.2942073345,2.0960366726,0.8231707215
1738778713457,-0.0338134766,-0.9691162109,0.2373046875,1738778713470,-1.7835366726,2.0274391174,0.4878048897
1738778713469,-0.0360107422,-0.9694824219,0.2357177734,1738778713481,-1.5777438879,1.9207317829,0.2439024448
1738778713480,-0.0347900391,-0.9652099609,0.2331542969,1738778713492,-1.5320122242,1.8521342278,0.2439024448
1738778713492,-0.0341796875,-0.9658203125,0.2316894531,1738778713494,-1.5243902206,1.9359756708,0.3810975552
1738778713493,-0.0345458984,-0.9670410156,0.2310791016,1738778713503,-1.2576220036,1.9359756708,0.5411585569
1738778713503,-0.0339355469,-0.9637451172,0.2335205078,1738778713515,-1.1737805605,1.9588415623,0.632621944
1738778713514,-0.0344238281,-0.9635009766,0.2321777344,1738778713526,-1.2195122242,1.8826220036,0.7469512224
1738778713525,-0.0378417969,-0.9625244141,0.2326660156,1738778713537,-1.2423781157,1.692073226,0.7698171139
1738778713537,-0.0389404297,-0.9615478516,0.23046875,1738778713548,-1.5243902206,1.5243902206,0.6707317233
1738778713548,-0.0402832031,-0.9614257813,0.2297363281,1738778713559,-1.7682926655,1.4253048897,0.4496951401
1738778713559,-0.0411376953,-0.9572753906,0.2297363281,1738778713571,-2.0807926655,1.1585365534,0.228658542
1738778713570,-0.0394287109,-0.9604492188,0.2274169922,1738778713583,-2.3246951103,0.8841463327,0.152439028
1738778713582,-0.0397949219,-0.9615478516,0.2249755859,1738778713594,-2.4161586761,0.6554878354,0.0
1738778713593,-0.037109375,-0.9548339844,0.2252197266,1738778713595,-2.4390244484,0.4496951401,-0.038109757
1738778713594,-0.03515625,-0.9588623047,0.2276611328,1738778713605,-2.2560975552,0.464939028,0.1905487776
1738778713604,-0.0334472656,-0.9644775391,0.2294921875,1738778713616,-2.2103660107,0.632621944,0.320121944
1738778713615,-0.0339355469,-0.9630126953,0.2297363281,1738778713627,-2.2484755516,0.7088415027,0.320121944
1738778713627,-0.0344238281,-0.9593505859,0.2294921875,1738778713639,-2.4618902206,0.8841463327,0.236280486
