timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738781145297,0.0600585938,-0.9171142578,0.3399658203,1738781145303,-4.1006097794,-5.6097559929,-2.3932926655
1738781145300,0.0625,-0.9222412109,0.3391113281,1738781145347,-4.4207320213,-5.9375,-2.2484755516
1738781145301,0.0598144531,-0.9138183594,0.3365478516,1738781145349,-4.070122242,-6.570122242,-2.5914635658
1738781145302,0.0576171875,-0.9184570313,0.3404541016,1738781145351,-3.8185975552,-7.408536911,-2.8277440071
1738781145303,0.0555419922,-0.9262695313,0.3393554688,1738781145352,-3.3003048897,-8.1631097794,-2.6524391174
1738781145345,0.0493164063,-0.9282226563,0.3366699219,1738781145385,-2.7362804413,-9.0320119858,-2.4314024448
1738781145349,0.0479736328,-0.9261474609,0.3365478516,1738781145388,-2.2637195587,-9.9009151459,-2.2179877758
1738781145350,0.0510253906,-0.9317626953,0.3366699219,1738781145390,-1.8064024448,-10.8536586761,-2.0655488968
1738781145351,0.0513916016,-0.9337158203,0.3347167969,1738781145392,-1.4405487776,-11.8521347046,-2.1417684555
1738781145384,0.0509033203,-0.9340820313,0.3316650391,1738781145395,-1.3719512224,-12.9878053665,-2.4085366726
1738781145388,0.0513916016,-0.9329833984,0.3333740234,1738781145431,-1.1280487776,-14.4054880142,-2.8887195587
1738781145389,0.0501708984,-0.9305419922,0.3347167969,1738781145435,-0.7317073345,-15.7240858078,-3.3689024448
1738781145391,0.0499267578,-0.9300537109,0.3336181641,1738781145436,-0.2820121944,-17.317073822,-3.9710366726
1738781145394,0.0520019531,-0.9304199219,0.3321533203,1738781145438,0.2057926804,-19.0625,-4.4283537865
1738781145430,0.0498046875,-0.9337158203,0.333984375,1738781145479,0.3429878056,-20.8384151459,-4.6875
1738781145434,0.0457763672,-0.9342041016,0.3326416016,1738781145486,0.1829268336,-22.5076217651,-4.7179880142
1738781145436,0.0406494141,-0.9307861328,0.3287353516,1738781145489,-0.0990853682,-24.1615867615,-4.6798782349
1738781145437,0.0402832031,-0.9251708984,0.3321533203,1738781145493,-0.2896341383,-25.7317085266,-4.6417684555
1738781145476,0.0397949219,-0.9226074219,0.3306884766,1738781145496,-0.6783536673,-27.3780498505,-4.588414669
1738781145484,0.0407714844,-0.9210205078,0.3294677734,1738781145521,-0.9603658915,-28.8490867615,-4.5426831245
1738781145488,0.0461425781,-0.919921875,0.3293457031,1738781145523,-0.9832317233,-30.1448173523,-4.5503048897
1738781145491,0.0451660156,-0.9166259766,0.3259277344,1738781145525,-0.8231707215,-31.4634151459,-5.0381097794
1738781145494,0.0517578125,-0.9194335938,0.3259277344,1738781145526,-0.6707317233,-33.1783561707,-5.8307929039
1738781145520,0.0611572266,-0.9246826172,0.3264160156,1738781145572,0.0,-35.3125,-6.6082320213
1738781145522,0.0640869141,-0.9250488281,0.3249511719,1738781145576,1.1890244484,-37.7362823486,-7.3399391174
1738781145524,0.0601806641,-0.9227294922,0.3239746094,1738781145578,2.2332317829,-40.2286605835,-7.911585331
1738781145526,0.0538330078,-0.9311523438,0.3227539063,1738781145580,3.1783537865,-42.370426178,-8.0868902206
1738781145569,0.0491943359,-0.9405517578,0.3201904297,1738781145580,4.1996951103,-44.1310997009,-7.9420733452
1738781145575,0.0513916016,-0.9415283203,0.3204345703,1738781145611,5.0,-45.4344520569,-7.5838418007
1738781145577,0.0603027344,-0.9403076172,0.3143310547,1738781145613,5.6859755516,-46.432926178,-7.3856711388
1738781145579,0.0712890625,-0.9432373047,0.3134765625,1738781145615,6.471036911,-47.7667694092,-7.6143293381
1738781145580,0.0838623047,-0.94140625,0.3153076172,1738781145617,7.195122242,-49.7256126404,-8.1097564697
1738781145610,0.09375,-0.9368896484,0.314453125,1738781145657,8.1554880142,-51.6310997009,-8.6128053665
1738781145612,0.0953369141,-0.9378662109,0.3094482422,1738781145659,9.4283542633,-53.2317085266,-8.9634151459
1738781145614,0.0902099609,-0.9365234375,0.3087158203,1738781145660,10.5487804413,-54.1768302917,-9.1006097794
1738781145616,0.0926513672,-0.9381103516,0.3059082031,1738781145664,11.5701217651,-54.4588432312,-9.0091466904
1738781145655,0.1037597656,-0.9479980469,0.3071289063,1738781145665,12.7667684555,-54.0853652954,-8.5746955872
1738781145658,0.1186523438,-0.9487304688,0.3103027344,1738781145708,14.1539640427,-53.4375,-7.9878048897
1738781145660,0.1383056641,-0.9456787109,0.3056640625,1738781145712,15.3734760284,-53.0182952881,-7.5533537865
1738781145661,0.1571044922,-0.9477539063,0.3082275391,1738781145716,16.6310977936,-52.6067085266,-7.3170733452
1738781145664,0.173828125,-0.9508056641,0.310546875,1738781145716,18.0564022064,-52.4542694092,-7.1265244484
1738781145703,0.1773681641,-0.9442138672,0.3094482422,1738781145746,19.8780498505,-52.2637214661,-6.8673782349
1738781145711,0.1840820313,-0.9417724609,0.3063964844,1738781145750,22.1265239716,-51.4710388184,-6.2804880142
1738781145714,0.1928710938,-0.9437255859,0.3048095703,1738781145751,24.321647644,-50.6859779358,-5.7317075729
1738781145716,0.2017822266,-0.9512939453,0.3071289063,1738781145752,26.341463089,-49.5884170532,-5.1981706619
1738781145745,0.2176513672,-0.9571533203,0.3106689453,1738781145794,28.9176826477,-48.1478652954,-4.2682929039
1738781145749,0.2261962891,-0.9499511719,0.306640625,1738781145800,31.6615867615,-46.4786605835,-2.8810975552
1738781145750,0.2381591797,-0.9479980469,0.3057861328,1738781145804,34.3368911743,-44.192073822,-1.5853658915
1738781145751,0.2540283203,-0.9614257813,0.3088378906,1738781145805,36.8597564697,-41.509147644,-0.4573170841
1738781145792,0.2645263672,-0.9703369141,0.3103027344,1738781145806,39.4512214661,-38.8643302917,0.4573170841
1738781145796,0.2795410156,-0.9643554688,0.3115234375,1738781145835,42.2942085266,-36.9207344055,1.2576220036
1738781145801,0.2900390625,-0.9584960938,0.3120117188,1738781145837,45.3887214661,-35.8917694092,2.2256097794
1738781145805,0.2939453125,-0.9552001953,0.3211669922,1738781145839,48.0792694092,-35.7164649963,2.759146452
1738781145806,0.2882080078,-0.9581298828,0.3260498047,1738781145841,50.5945129395,-36.2804870605,3.1707317829
1738781145834,0.2735595703,-0.9541015625,0.326171875,1738781145882,53.2393302917,-37.3018302917,4.4054880142
1738781145836,0.2542724609,-0.9401855469,0.3325195313,1738781145884,55.2134170532,-37.9268302917,5.8536586761
1738781145838,0.2392578125,-0.9381103516,0.3387451172,1738781145885,56.5320129395,-38.2088432312,7.1189026833
1738781145840,0.2319335938,-0.9342041016,0.3436279297,1738781145887,57.6753044128,-37.9649391174,8.3231706619
1738781145881,0.2322998047,-0.9166259766,0.3504638672,1738781145889,58.4527435303,-37.7362823486,8.9786586761
1738781145883,0.2385253906,-0.9040527344,0.3597412109,1738781145933,60.2210388184,-38.4451217651,9.8475608826
