timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735645642219,0.0833740234,-0.8350830078,0.37109375,1735645642222,0.8993902802,-4.8856706619,-4.2301831245
1735645642222,0.0834960938,-0.8256835938,0.3612060547,1735645642224,0.6021341681,-4.9847559929,-4.375
1735645642223,0.0783691406,-0.8270263672,0.3555908203,1735645642228,-0.8003048897,-4.4969511032,-3.3993902206
1735645642227,0.0758056641,-0.8492431641,0.3527832031,1735645642229,-1.5396342278,-3.6890244484,-2.5304877758
1735645642228,0.0714111328,-0.8657226563,0.3515625,1735645642258,-2.2027440071,-2.9573171139,-1.8292683363
1735645642256,0.0616455078,-0.8712158203,0.3500976563,1735645642260,-2.7667684555,-2.5685975552,-1.4786585569
1735645642259,0.0485839844,-0.8850097656,0.3470458984,1735645642261,-2.9573171139,-2.5609755516,-1.25
1735645642261,0.0404052734,-0.8927001953,0.3435058594,1735645642264,-2.599085331,-3.0182926655,-1.2271342278
1735645642262,0.0339355469,-0.8898925781,0.3395996094,1735645642314,-2.134146452,-3.6890244484,-1.2652438879
1735645642312,0.037109375,-0.9011230469,0.3393554688,1735645642319,-1.6692073345,-3.9481709003,-1.0442073345
1735645642316,0.0437011719,-0.9204101563,0.3480224609,1735645642320,-0.929878056,-3.8871951103,-0.7774390578
1735645642320,0.0472412109,-0.9340820313,0.3530273438,1735645642323,-0.1448170692,-3.6356709003,-0.7240853906
1735645642322,0.0489501953,-0.9390869141,0.3565673828,1735645642324,0.1067073196,-3.4679877758,-0.6097561121
1735645642323,0.0495605469,-0.9451904297,0.3591308594,1735645642349,0.2972561121,-3.3079268932,-0.6097561121
1735645642347,0.0506591797,-0.9569091797,0.3671875,1735645642352,0.7164634466,-3.071646452,-0.5564024448
1735645642352,0.0517578125,-0.9652099609,0.3748779297,1735645642354,1.0518293381,-2.5762195587,-0.3963414729
1735645642353,0.0511474609,-0.9685058594,0.3787841797,1735645642357,1.3719512224,-2.2332317829,-0.236280486
1735645642356,0.0490722656,-0.9732666016,0.3791503906,1735645642400,1.7911585569,-1.9664634466,-0.2743902504
1735645642395,0.0491943359,-0.9716796875,0.3790283203,1735645642402,2.1722562313,-1.5015244484,-0.304878056
1735645642401,0.048828125,-0.9559326172,0.376953125,1735645642402,2.2256097794,-1.0442073345,-0.2591463327
1735645642402,0.0452880859,-0.9417724609,0.3695068359,1735645642403,1.8978658915,-0.7240853906,-0.0076219514
1735645642403,0.041015625,-0.9295654297,0.3623046875,1735645642404,1.1356707811,-0.4115853608,0.1981707364
1735645642403,0.0390625,-0.9262695313,0.3581542969,1735645642441,0.4954268336,-0.1905487776,0.6097561121
1735645642439,0.0382080078,-0.9240722656,0.3507080078,1735645642444,0.1371951252,0.1753048748,1.1737805605
1735645642443,0.0354003906,-0.91796875,0.3435058594,1735645642447,-0.2515243888,0.3887195289,1.8445122242
1735645642445,0.0349121094,-0.9172363281,0.3433837891,1735645642449,-0.464939028,0.6935975552,2.2713415623
1735645642448,0.0345458984,-0.9256591797,0.3433837891,1735645642531,-0.114329271,0.8917683363,2.6448171139
1735645642481,0.0303955078,-0.9210205078,0.3366699219,1735645642535,0.3277439177,1.067073226,3.025914669
1735645642533,0.0285644531,-0.9143066406,0.3319091797,1735645642538,1.0060975552,1.2347561121,3.5746951103
1735645642536,0.0255126953,-0.9028320313,0.3264160156,1735645642539,1.5091463327,1.0289634466,4.3445124626
1735645642538,0.0174560547,-0.8920898438,0.3270263672,1735645642540,1.6082317829,0.8231707215,4.9390244484
