timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735647326696,0.1123046875,-0.5129394531,-0.8686523438,1735647326702,1.8597561121,-1.2957317829,-0.8231707215
1735647326701,0.1138916016,-0.525390625,-0.8725585938,1735647326705,1.6844512224,-1.4329268932,-0.5411585569
1735647326704,0.1126708984,-0.5285644531,-0.8663330078,1735647326707,1.5853658915,-1.3948171139,-0.3506097496
1735647326706,0.1096191406,-0.5261230469,-0.8641357422,1735647326743,1.2652438879,-1.4100610018,-0.2591463327
1735647326737,0.1130371094,-0.5274658203,-0.8575439453,1735647326745,1.150914669,-1.1966463327,0.0685975626
1735647326744,0.1126708984,-0.5281982422,-0.8579101563,1735647326747,0.8993902802,-0.9756097794,0.1676829308
1735647326746,0.1088867188,-0.5261230469,-0.8536376953,1735647326749,0.3963414729,-0.8689024448,-0.076219514
1735647326748,0.1058349609,-0.5251464844,-0.8492431641,1735647326786,-0.114329271,-0.7469512224,-0.3658536673
1735647326782,0.1037597656,-0.5245361328,-0.8482666016,1735647326789,-0.6935975552,-0.6402438879,-0.5182926655
1735647326787,0.1020507813,-0.5192871094,-0.8480224609,1735647326791,-1.4100610018,-0.5564024448,-0.7469512224
1735647326790,0.0998535156,-0.5118408203,-0.8492431641,1735647326793,-2.2256097794,-0.3887195289,-0.8307927251
1735647326792,0.1005859375,-0.5073242188,-0.8522949219,1735647326828,-3.0411586761,-0.2896341383,-0.838414669
1735647326794,0.0968017578,-0.5079345703,-0.8560791016,1735647326832,-3.536585331,-0.3887195289,-1.0137195587
1735647326830,0.0952148438,-0.5096435547,-0.8612060547,1735647326835,-3.8643293381,-0.6859756112,-1.3262195587
1735647326833,0.0906982422,-0.5084228516,-0.8657226563,1735647326837,-4.5198173523,-1.2423781157,-1.6996951103
1735647326836,0.0900878906,-0.5040283203,-0.8713378906,1735647326840,-5.1143293381,-1.7682926655,-2.1036586761
1735647326839,0.0888671875,-0.5118408203,-0.8747558594,1735647326874,-5.3125,-2.2256097794,-2.3551828861
1735647326872,0.0895996094,-0.5161132813,-0.8775634766,1735647326922,-5.1219511032,-2.8429877758,-2.6295733452
1735647326920,0.0869140625,-0.5186767578,-0.8815917969,1735647326928,-4.7256097794,-3.5670733452,-2.7667684555
1735647326927,0.0899658203,-0.5166015625,-0.884765625,1735647326931,-4.695122242,-4.1387195587,-2.7057926655
1735647326929,0.0965576172,-0.5137939453,-0.8872070313,1735647326932,-4.5198173523,-4.275914669,-2.6753048897
1735647326931,0.1046142578,-0.5115966797,-0.8848876953,1735647326933,-4.6875,-4.0472559929,-2.5152440071
1735647326933,0.111328125,-0.5129394531,-0.88671875,1735647326934,-5.0533537865,-3.5823171139,-2.2103660107
1735647326934,0.1116943359,-0.5139160156,-0.890625,1735647326936,-5.3810977936,-3.0335366726,-2.3628048897
1735647326936,0.1070556641,-0.5198974609,-0.8934326172,1735647326964,-5.4573173523,-2.9192073345,-2.8887195587
1735647326962,0.1027832031,-0.5279541016,-0.8962402344,1735647326966,-4.9390244484,-3.0335366726,-3.5060975552
1735647326965,0.0988769531,-0.5305175781,-0.896484375,1735647326968,-4.1082320213,-3.4070122242,-4.0853657722
1735647326967,0.0944824219,-0.5229492188,-0.8973388672,1735647326971,-3.7118902206,-3.963414669,-4.6875
1735647326969,0.0938720703,-0.5207519531,-0.8995361328,1735647326973,-3.7804877758,-4.4817075729,-5.007622242
1735647326972,0.0983886719,-0.5240478516,-0.900390625,1735647326975,-3.5289635658,-4.8323173523,-5.1295733452
1735647326974,0.1044921875,-0.5264892578,-0.8981933594,1735647327008,-3.0335366726,-4.7256097794,-4.9923782349
1735647327006,0.1130371094,-0.5225830078,-0.8980712891,1735647327011,-2.5533537865,-4.283536911,-4.5503048897
1735647327010,0.1129150391,-0.5170898438,-0.8956298828,1735647327014,-2.5228660107,-3.597561121,-4.1310977936
1735647327013,0.1123046875,-0.5124511719,-0.89453125,1735647327016,-2.5914635658,-3.0182926655,-4.0015244484
1735647327016,0.1185302734,-0.5104980469,-0.8941650391,1735647327062,-2.7743902206,-2.5304877758,-3.8262195587
1735647327060,0.1229248047,-0.5139160156,-0.8913574219,1735647327064,-2.8201220036,-1.8978658915,-3.5442073345
1735647327063,0.1254882813,-0.5142822266,-0.8931884766,1735647327066,-2.6295733452,-1.1051830053,-3.4756097794
1735647327065,0.1241455078,-0.51171875,-0.8922119141,1735647327068,-2.3932926655,-0.4420731664,-3.5060975552
1735647327067,0.1203613281,-0.5053710938,-0.89453125,1735647327070,-2.2789635658,0.038109757,-3.3231709003
1735647327069,0.11328125,-0.5024414063,-0.8944091797,1735647327098,-2.3551828861,0.1067073196,-3.0487804413
1735647327097,0.1077880859,-0.4976806641,-0.8975830078,1735647327101,-2.6524391174,0.1067073196,-2.759146452
1735647327100,0.1081542969,-0.4970703125,-0.8969726563,1735647327102,-3.0487804413,0.0457317084,-2.3399391174
1735647327101,0.1096191406,-0.4993896484,-0.8992919922,1735647327103,-3.3231709003,0.1829268336,-1.9588415623
1735647327103,0.1123046875,-0.5068359375,-0.9006347656,1735647327144,-3.3307926655,0.5106707215,-1.7301830053
1735647327142,0.1116943359,-0.5134277344,-0.9031982422,1735647327151,-3.1707317829,0.6707317233,-1.7378048897
1735647327149,0.1131591797,-0.515625,-0.9058837891,1735647327152,-2.87347579,0.9908536673,-1.8521342278
1735647327152,0.1108398438,-0.5152587891,-0.9064941406,1735647327154,-2.6295733452,1.2804877758,-2.0503048897
1735647327153,0.1105957031,-0.5208740234,-0.9105224609,1735647327155,-2.3018293381,1.5701220036,-2.286585331
1735647327154,0.1080322266,-0.5281982422,-0.9122314453,1735647327190,-1.6463414431,1.5320122242,-2.4695122242
1735647327189,0.1031494141,-0.5329589844,-0.9135742188,1735647327191,-0.6478658915,1.2576220036,-2.6753048897
1735647327190,0.1036376953,-0.5388183594,-0.91015625,1735647327193,0.6631097794,1.0060975552,-2.6143293381
1735647327192,0.1076660156,-0.5364990234,-0.9165039063,1735647327194,1.6539634466,0.929878056,-2.4161586761
1735647327194,0.1079101563,-0.5303955078,-0.9171142578,1735647327237,2.5,1.0823171139,-2.2637195587
1735647327233,0.1082763672,-0.5280761719,-0.9149169922,1735647327240,3.0868902206,1.2195122242,-2.347561121
1735647327239,0.1092529297,-0.5234375,-0.9145507813,1735647327241,3.3536586761,1.1966463327,-2.3399391174
1735647327240,0.1091308594,-0.5225830078,-0.9157714844,1735647327242,3.6737806797,1.2195122242,-2.5228660107
1735647327242,0.1126708984,-0.5289306641,-0.9130859375,1735647327277,4.2454271317,1.3185975552,-2.5609755516
1735647327276,0.1126708984,-0.5338134766,-0.9133300781,1735647327280,5.1829271317,1.2881097794,-2.4390244484
1735647327277,0.1115722656,-0.5428466797,-0.9138183594,1735647327282,6.7149391174,1.2042683363,-2.1570122242
1735647327281,0.1124267578,-0.5582275391,-0.9184570313,1735647327284,8.6204271317,0.838414669,-1.875
1735647327283,0.1088867188,-0.5648193359,-0.9232177734,1735647327286,10.625,0.6554878354,-1.5396342278
1735647327285,0.1085205078,-0.5621337891,-0.9291992188,1735647327325,12.2484760284,0.2591463327,-1.463414669
1735647327321,0.1049804688,-0.5554199219,-0.9278564453,1735647327328,13.2164640427,-0.152439028,-1.6692073345
1735647327327,0.1064453125,-0.5573730469,-0.9278564453,1735647327329,14.2987804413,-0.472560972,-1.8445122242
1735647327328,0.109375,-0.5714111328,-0.9267578125,1735647327331,15.9984760284,-0.4420731664,-1.9740854502
1735647327330,0.1147460938,-0.5958251953,-0.9278564453,1735647327369,18.7804889679,-0.228658542,-1.8978658915
1735647327366,0.1175537109,-0.6053466797,-0.9281005859,1735647327370,21.6387195587,0.0914634168,-1.5625
1735647327370,0.1190185547,-0.6018066406,-0.9273681641,1735647327373,24.0625,0.5182926655,-1.2042683363
1735647327371,0.1225585938,-0.5922851563,-0.9263916016,1735647327374,25.8689022064,0.8003048897,-0.9908536673
1735647327374,0.1192626953,-0.5847167969,-0.9223632813,1735647327375,27.3932933807,1.0289634466,-1.0746951103
1735647327375,0.1131591797,-0.5806884766,-0.91796875,1735647327414,28.8338413239,0.8689024448,-1.2423781157
1735647327413,0.109375,-0.5810546875,-0.912109375,1735647327418,30.129573822,0.5030487776,-1.3719512224
1735647327415,0.1088867188,-0.5867919922,-0.9046630859,1735647327421,31.5472564697,0.3277439177,-1.4862805605
1735647327419,0.1104736328,-0.5893554688,-0.8955078125,1735647327423,32.5533561707,0.0609756112,-1.4253048897
1735647327422,0.1104736328,-0.5906982422,-0.8922119141,1735647327460,33.307926178,-0.2743902504,-1.0899389982
1735647327459,0.1070556641,-0.6003417969,-0.884765625,1735647327461,34.5807952881,-0.5945122242,-0.6097561121
1735647327460,0.1024169922,-0.6176757813,-0.8825683594,1735647327465,36.8521347046,-1.1204268932,-0.2896341383
1735647327464,0.0985107422,-0.6334228516,-0.8771972656,1735647327467,39.4893302917,-1.5853658915,-0.3810975552
1735647327466,0.1030273438,-0.6304931641,-0.8763427734,1735647327469,41.0746955872,-1.6006097794,-0.533536613
1735647327468,0.1098632813,-0.6121826172,-0.8747558594,1735647327505,41.4176826477,-1.5091463327,-0.4039634168
1735647327503,0.1086425781,-0.5980224609,-0.865234375,1735647327508,40.7317085266,-1.6006097794,-0.3810975552
1735647327507,0.1042480469,-0.5969238281,-0.8548583984,1735647327510,40.1219520569,-1.9893293381,-0.6478658915
1735647327509,0.1031494141,-0.611328125,-0.8464355469,1735647327512,40.2134170532,-2.4618902206,-0.8917683363
1735647327511,0.0988769531,-0.6333007813,-0.8391113281,1735647327552,41.4405479431,-3.0564024448,-1.1432926655
1735647327548,0.1011962891,-0.6590576172,-0.8326416016,1735647327556,43.9939041138,-3.6280488968,-1.1814024448
1735647327554,0.1119384766,-0.6671142578,-0.830078125,1735647327559,46.3414649963,-3.6051831245,-0.632621944
1735647327557,0.1237792969,-0.6568603516,-0.8245849609,1735647327561,47.3628044128,-3.0564024448,0.152439028
1735647327560,0.1314697266,-0.6440429688,-0.8208007813,1735647327564,47.6371955872,-2.2027440071,1.1204268932
1735647327562,0.1323242188,-0.6334228516,-0.8148193359,1735647327594,47.057926178,-1.6463414431,1.8368903399
1735647327592,0.1209716797,-0.625,-0.8071289063,1735647327597,45.7088432312,-1.4862805605,1.8445122242
1735647327596,0.1094970703,-0.6312255859,-0.7983398438,1735647327600,44.8246955872,-1.9359756708,1.3948171139
1735647327599,0.1090087891,-0.6557617188,-0.7902832031,1735647327602,44.7942085266,-2.5381097794,1.1890244484
1735647327601,0.1145019531,-0.6877441406,-0.78515625,1735647327639,46.196647644,-2.6371951103,1.4329268932
1735647327638,0.1185302734,-0.7039794922,-0.7797851563,1735647327642,47.8734779358,-2.3399391174,1.9740854502
1735647327641,0.1248779297,-0.708984375,-0.7747802734,1735647327683,49.4359779358,-1.7911585569,2.8201220036
1735647327644,0.1304931641,-0.7081298828,-0.7728271484,1735647327686,50.6859779358,-0.9603658915,3.7576220036
1735647327685,0.1306152344,-0.6994628906,-0.7655029297,1735647327688,51.2118911743,-0.0152439028,4.6112804413
1735647327687,0.1199951172,-0.6883544922,-0.7595214844,1735647327690,50.7469520569,0.1981707364,4.7484755516
1735647327689,0.1063232422,-0.6872558594,-0.7563476563,1735647327692,50.0457344055,-0.3963414729,4.1234755516
1735647327692,0.0960693359,-0.7150878906,-0.7504882813,1735647327693,50.3887214661,-1.150914669,3.2088415623
1735647327693,0.0992431641,-0.7512207031,-0.7431640625,1735647327694,52.3094520569,-1.7454268932,2.7057926655
1735647327694,0.1055908203,-0.7713623047,-0.7355957031,1735647327727,54.7484779358,-1.875,2.9192073345
1735647327726,0.1177978516,-0.7747802734,-0.7290039063,1735647327728,56.7987823486,-1.1356707811,3.7118902206
1735647327727,0.1285400391,-0.7738037109,-0.7221679688,1735647327730,58.4832344055,-0.0609756112,4.8704271317
1735647327729,0.1265869141,-0.7875976563,-0.7160644531,1735647327731,60.6707344055,1.0746951103,5.4954271317
1735647327731,0.1175537109,-0.7995605469,-0.712890625,1735647327774,63.2850608826,1.8216463327,5.5792684555
1735647327774,0.1102294922,-0.7982177734,-0.7062988281,1735647327777,65.457321167,2.0960366726,5.3353657722
1735647327775,0.1048583984,-0.8093261719,-0.6965332031,1735647327778,67.9039611816,2.2789635658,4.7942075729
1735647327778,0.1107177734,-0.8127441406,-0.689453125,1735647327780,69.9085388184,2.8125,4.1768293381
1735647327779,0.1146240234,-0.8129882813,-0.6791992188,1735647327782,71.3795776367,3.3536586761,3.910061121
1735647327781,0.1154785156,-0.8012695313,-0.6688232422,1735647327821,72.1189041138,4.161585331,4.0015244484
1735647327819,0.1185302734,-0.7841796875,-0.6564941406,1735647327824,72.0274429321,5.0304880142,3.9481709003
1735647327823,0.11328125,-0.7750244141,-0.6417236328,1735647327827,71.3109741211,5.525914669,3.8871951103
1735647327825,0.10546875,-0.7795410156,-0.6318359375,1735647327828,70.6173782349,5.6402440071,3.6356709003
1735647327828,0.0965576172,-0.8099365234,-0.6206054688,1735647327864,70.8536605835,5.3963418007,3.2469513416
1735647327862,0.0952148438,-0.8389892578,-0.6114501953,1735647327867,71.875,5.0304880142,2.9801828861
1735647327866,0.0955810547,-0.8337402344,-0.6030273438,1735647327870,71.9740905762,4.8246951103,2.911585331
1735647327869,0.1004638672,-0.8142089844,-0.5877685547,1735647327872,70.716468811,4.8628048897,3.0182926655
1735647327871,0.1033935547,-0.8002929688,-0.5726318359,1735647327874,68.6585388184,5.0914635658,3.1707317829
1735647327873,0.1022949219,-0.7891845703,-0.5578613281,1735647327912,66.1509170532,5.1524391174,3.2012195587
1735647327909,0.09765625,-0.8010253906,-0.5415039063,1735647327916,64.2835388184,5.0381097794,2.8887195587
1735647327914,0.0972900391,-0.8247070313,-0.5290527344,1735647327919,63.3536605835,4.9771342278,2.5914635658
1735647327918,0.0965576172,-0.8421630859,-0.5230712891,1735647327921,62.9801826477,4.7637195587,2.2942073345
1735647327920,0.0959472656,-0.8603515625,-0.5092773438,1735647327956,63.1097564697,4.7103657722,2.134146452
1735647327954,0.0955810547,-0.8651123047,-0.5,1735647327959,63.0640258789,4.596036911,2.0503048897
1735647327957,0.0927734375,-0.8634033203,-0.4920654297,1735647327961,62.4161605835,4.283536911,1.9740854502
1735647327960,0.0936279297,-0.8590087891,-0.4859619141,1735647327962,61.25,4.0548782349,2.1646342278
1735647327962,0.0954589844,-0.8596191406,-0.4763183594,1735647327964,60.1448173523,4.1006097794,2.4085366726
1735647327963,0.1018066406,-0.869140625,-0.4655761719,1735647327999,59.4054908752,4.2301831245,2.7820122242
1735647327998,0.1022949219,-0.8740234375,-0.4534912109,1735647328047,58.7804908752,4.5045733452,3.1707317829
1735647328045,0.1014404297,-0.8726806641,-0.4439697266,1735647328051,57.9954299927,4.7713418007,3.2926828861
1735647328048,0.0980224609,-0.8878173828,-0.431640625,1735647328053,57.7667694092,4.5121951103,3.3155488968
1735647328052,0.0874023438,-0.9030761719,-0.4229736328,1735647328090,57.7896347046,3.9939024448,3.2012195587
1735647328054,0.0858154297,-0.9105224609,-0.4221191406,1735647328096,57.9573173523,3.2469513416,2.9878048897
1735647328093,0.0838623047,-0.9165039063,-0.4149169922,1735647328098,58.0030517578,2.6219513416,2.911585331
1735647328097,0.0922851563,-0.9125976563,-0.4056396484,1735647328100,57.4085388184,2.4771342278,3.1097562313
1735647328099,0.0993652344,-0.9047851563,-0.3923339844,1735647328102,56.2118911743,2.6371951103,3.6204268932
1735647328101,0.1057128906,-0.9072265625,-0.3815917969,1735647328104,55.1829299927,3.1707317829,4.0853657722
1735647328103,0.1042480469,-0.9090576172,-0.3692626953,1735647328106,54.0243911743,3.5289635658,4.2225608826
1735647328105,0.0944824219,-0.9018554688,-0.3599853516,1735647328133,52.7134170532,3.4451220036,4.0396342278
1735647328106,0.0867919922,-0.9114990234,-0.3504638672,1735647328136,52.0426826477,3.1021342278,3.650914669
1735647328135,0.0865478516,-0.9229736328,-0.3428955078,1735647328140,51.6082344055,2.6143293381,3.3536586761
1735647328139,0.0876464844,-0.9478759766,-0.3330078125,1735647328142,52.3856735229,2.347561121,3.1402440071
1735647328141,0.0903320313,-0.9560546875,-0.3259277344,1735647328143,53.0411605835,2.4085366726,3.2774391174
1735647328142,0.0954589844,-0.9417724609,-0.3182373047,1735647328145,52.6753044128,2.6448171139,3.4070122242
1735647328144,0.1007080078,-0.9305419922,-0.3098144531,1735647328146,51.6615867615,3.1173782349,3.3765244484
1735647328145,0.1021728516,-0.9254150391,-0.2991943359,1735647328182,50.2743911743,3.7042684555,3.224085331
1735647328178,0.0983886719,-0.9259033203,-0.2897949219,1735647328184,48.932926178,4.0396342278,2.9878048897
1735647328183,0.0908203125,-0.9338378906,-0.2824707031,1735647328187,48.1935997009,3.8414635658,2.6448171139
1735647328186,0.0876464844,-0.9487304688,-0.2741699219,1735647328188,48.2393302917,3.650914669,2.5381097794
1735647328187,0.0911865234,-0.9672851563,-0.265625,1735647328223,48.9786605835,3.8262195587,2.660061121
1735647328222,0.0930175781,-0.9722900391,-0.2521972656,1735647328226,49.6112823486,3.9481709003,2.9268293381
1735647328225,0.0936279297,-0.9487304688,-0.2427978516,1735647328228,49.1310997009,4.2378048897,3.1478660107
1735647328227,0.0939941406,-0.9279785156,-0.2359619141,1735647328230,47.6371955872,4.3368902206,3.2164635658
1735647328229,0.0906982422,-0.9378662109,-0.2309570313,1735647328269,46.692073822,4.3216462135,3.2774391174
1735647328267,0.0883789063,-0.9693603516,-0.2244873047,1735647328271,47.4390258789,4.3140244484,3.4527440071
1735647328270,0.08984375,-0.9862060547,-0.2150878906,1735647328273,48.3460388184,4.3445124626,3.7728660107
1735647328272,0.08984375,-0.9711914063,-0.203125,1735647328275,48.0792694092,4.3368902206,3.9786586761
1735647328273,0.0869140625,-0.9436035156,-0.1926269531,1735647328276,46.7149391174,4.2073173523,3.9786586761
1735647328276,0.0871582031,-0.9290771484,-0.1865234375,1735647328313,45.0304870605,4.0625,4.070122242
1735647328312,0.0872802734,-0.9534912109,-0.1783447266,1735647328315,45.182926178,4.0243902206,4.2987804413
1735647328314,0.087890625,-0.9884033203,-0.1676025391,1735647328317,46.745426178,4.1158537865,4.5350608826
1735647328316,0.0889892578,-0.9874267578,-0.1546630859,1735647328318,47.7667694092,4.275914669,4.8094511032
1735647328318,0.0885009766,-0.9552001953,-0.1436767578,1735647328360,46.9817085266,4.283536911,4.8704271317
1735647328358,0.0866699219,-0.9147949219,-0.1306152344,1735647328363,44.1996955872,4.5121951103,4.6341462135
1735647328361,0.0865478516,-0.8798828125,-0.1219482422,1735647328365,39.946647644,4.6493902206,4.3902440071
1735647328364,0.0860595703,-0.8679199219,-0.1125488281,1735647328367,35.2743911743,4.8018293381,4.1539635658
1735647328366,0.0825195313,-0.8811035156,-0.1065673828,1735647328369,31.6387195587,4.908536911,4.0625
1735647328368,0.0769042969,-0.9084472656,-0.0969238281,1735647328405,29.2073173523,4.6112804413,4.0167684555
1735647328403,0.0773925781,-0.9278564453,-0.0908203125,1735647328409,27.6829280853,4.5503048897,4.161585331
1735647328407,0.0802001953,-0.9339599609,-0.0830078125,1735647328411,26.1128063202,4.5579271317,4.1844511032
1735647328410,0.0764160156,-0.9306640625,-0.0717773438,1735647328413,23.9634151459,4.3216462135,4.0929880142
1735647328412,0.0748291016,-0.9173583984,-0.0633544922,1735647328449,21.1356716156,4.161585331,3.75
1735647328448,0.0726318359,-0.9013671875,-0.0617675781,1735647328451,17.6981716156,3.75,3.071646452
1735647328450,0.0708007813,-0.9012451172,-0.0687255859,1735647328453,14.4664640427,3.3231709003,2.3932926655
1735647328452,0.0677490234,-0.9422607422,-0.0729980469,1735647328454,13.1707315445,2.7972562313,2.0579268932
1735647328453,0.0623779297,-0.9910888672,-0.0775146484,1735647328456,13.8871955872,2.0045731068,1.9817073345
1735647328455,0.0600585938,-1.0198974609,-0.0718994141,1735647328496,15.2591466904,1.3109756708,2.2637195587
1735647328493,0.0638427734,-1.0179443359,-0.0732421875,1735647328502,16.379573822,0.945121944,2.6829268932
1735647328498,0.0670166016,-0.9921875,-0.0697021484,1735647328505,16.0518302917,0.6097561121,2.7667684555
1735647328504,0.0643310547,-0.9569091797,-0.0648193359,1735647328506,14.0548782349,0.2743902504,2.759146452
1735647328506,0.0643310547,-0.9339599609,-0.0686035156,1735647328586,11.3185977936,-0.1371951252,2.5762195587
1735647328584,0.0620117188,-0.9497070313,-0.0744628906,1735647328589,9.6951217651,-0.8155487776,2.1875
1735647328588,0.0572509766,-1.0061035156,-0.0716552734,1735647328591,10.7850608826,-1.5091463327,2.0198171139
1735647328590,0.0600585938,-1.0515136719,-0.0678710938,1735647328593,13.4451227188,-2.1570122242,2.2027440071
1735647328592,0.0623779297,-1.0515136719,-0.068359375,1735647328594,15.7774391174,-2.5685975552,2.6753048897
1735647328594,0.0671386719,-1.0218505859,-0.0604248047,1735647328596,16.5777435303,-2.7820122242,3.0640244484
1735647328595,0.0764160156,-0.9898681641,-0.0534667969,1735647328598,15.9298782349,-2.660061121,3.3307926655
1735647328597,0.0810546875,-0.9626464844,-0.0517578125,1735647328629,14.0853662491,-2.1493902206,3.6585366726
1735647328628,0.0841064453,-0.9573974609,-0.048828125,1735647328630,12.2942075729,-1.7149391174,3.8185975552
1735647328630,0.0827636719,-0.9798583984,-0.0419921875,1735647328632,11.8064031601,-1.2881097794,3.7804877758
1735647328631,0.0854492188,-1.0006103516,-0.0432128906,1735647328633,12.317073822,-0.7317073345,3.963414669
1735647328632,0.0866699219,-1.0114746094,-0.0385742188,1735647328635,13.346036911,-0.2515243888,4.0929880142
1735647328634,0.0876464844,-1.0056152344,-0.0346679688,1735647328636,13.9557933807,0.236280486,4.1310977936
