timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735573984505,0.0484619141,0.9699707031,0.1081542969,1735573984560,1.9740854502,-1.692073226,-0.0304878056
1735573984510,0.0473632813,0.9764404297,0.1075439453,1735573984561,2.0503048897,-1.875,-0.1981707364
1735573984512,0.0480957031,0.9716796875,0.1072998047,1735573984562,2.2484755516,-2.1951220036,-0.1676829308
1735573984513,0.0457763672,0.9680175781,0.1055908203,1735573984563,2.4618902206,-2.1798779964,-0.2896341383
1735573984553,0.0444335938,0.9698486328,0.1053466797,1735573984595,2.286585331,-2.0807926655,-0.236280486
1735573984560,0.0462646484,0.9702148438,0.1030273438,1735573984597,2.0121951103,-1.8140244484,-0.2515243888
1735573984561,0.0495605469,0.9737548828,0.1020507813,1735573984599,1.6844512224,-1.6006097794,-0.2591463327
1735573984562,0.0544433594,0.9742431641,0.1018066406,1735573984639,1.2957317829,-1.1585365534,-0.2743902504
1735573984563,0.0576171875,0.9807128906,0.0986328125,1735573984643,1.1661585569,-0.7164634466,-0.320121944
1735573984594,0.0584716797,0.9830322266,0.1018066406,1735573984645,1.2652438879,-0.2972561121,-0.3506097496
1735573984596,0.0604248047,0.9875488281,0.1009521484,1735573984646,1.5548781157,0.0914634168,-0.3658536673
1735573984598,0.0628662109,0.9875488281,0.0994873047,1735573984647,2.0503048897,0.3506097496,-0.4192073345
1735573984600,0.0622558594,0.9829101563,0.1008300781,1735573984647,2.3780488968,0.5106707215,-0.4039634168
1735573984640,0.0628662109,0.9831542969,0.0965576172,1735573984687,2.8658537865,0.7164634466,-0.4268292785
1735573984644,0.0603027344,0.9783935547,0.0961914063,1735573984689,3.1478660107,0.9527439475,-0.5792682767
1735573984646,0.0600585938,0.9755859375,0.0933837891,1735573984690,3.2621951103,1.2804877758,-0.8231707215
1735573984646,0.0576171875,0.9741210938,0.0926513672,1735573984692,3.285061121,1.6310975552,-1.067073226
1735573984647,0.0572509766,0.9739990234,0.0903320313,1735573984730,3.0030488968,1.875,-1.1737805605
1735573984684,0.0567626953,0.9771728516,0.0895996094,1735573984731,2.6829268932,1.8826220036,-0.9603658915
1735573984688,0.0573730469,0.9829101563,0.08984375,1735573984735,2.400914669,1.7378048897,-0.5792682767
1735573984690,0.056640625,0.9849853516,0.0875244141,1735573984782,2.2637195587,1.592987895,-0.2667683065
1735573984691,0.0563964844,0.9848632813,0.0874023438,1735573984784,2.1875,1.4253048897,-0.0838414654
1735573984730,0.05078125,0.9862060547,0.0881347656,1735573984786,2.0807926655,1.2195122242,0.0457317084
1735573984731,0.046875,0.9866943359,0.0859375,1735573984786,1.9588415623,1.1585365534,0.1448170692
1735573984733,0.0467529297,0.9879150391,0.0856933594,1735573984787,1.8826220036,1.1356707811,0.1371951252
1735573984775,0.0441894531,0.9865722656,0.0833740234,1735573984788,1.7454268932,0.9984756112,0.2134146392
1735573984784,0.0454101563,0.9869384766,0.0848388672,1735573984789,1.592987895,0.7317073345,0.3277439177
1735573984785,0.0458984375,0.9841308594,0.0832519531,1735573984820,1.6234756708,0.4801829457,0.4115853608
1735573984786,0.0456542969,0.984375,0.0831298828,1735573984821,1.7073171139,0.3810975552,0.5106707215
1735573984787,0.0433349609,0.9865722656,0.0830078125,1735573984822,1.6463414431,0.160060972,0.6478658915
1735573984788,0.0422363281,0.9841308594,0.0826416016,1735573984825,1.7149391174,-0.1371951252,0.7088415027
