timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735640165327,-0.001953125,-0.3676757813,0.8864746094,1735640165333,-4.4207320213,-0.5945122242,0.4954268336
1735640165329,0.0009765625,-0.3756103516,0.8967285156,1735640165335,-4.2073173523,-0.838414669,0.8917683363
1735640165334,0.0004882813,-0.3740234375,0.8912353516,1735640165336,-4.3368902206,-0.7240853906,1.1814024448
1735640165335,0.0018310547,-0.3747558594,0.8876953125,1735640165369,-4.1920733452,-0.7469512224,1.5091463327
1735640165368,0.0021972656,-0.3782958984,0.888671875,1735640165369,-4.1387195587,-0.8155487776,1.6844512224
1735640165369,0.0007324219,-0.3742675781,0.8865966797,1735640165370,-4.1082320213,-0.9070122242,1.6539634466
1735640165370,0.0020751953,-0.3765869141,0.8890380859,1735640165373,-4.0320124626,-1.0060975552,1.6692073345
1735640165372,0.0052490234,-0.3786621094,0.8892822266,1735640165379,-3.8338415623,-0.8765243888,1.8064024448
1735640165378,0.0043945313,-0.3787841797,0.8922119141,1735640165414,-3.6051831245,-0.6402438879,1.8216463327
1735640165413,0.0052490234,-0.3813476563,0.892578125,1735640165416,-3.597561121,-0.3277439177,1.8445122242
1735640165415,0.0052490234,-0.3784179688,0.8911132813,1735640165417,-3.6051831245,-0.1295731664,1.8521342278
1735640165417,0.0,-0.3768310547,0.8916015625,1735640165419,-3.7423782349,-0.0076219514,1.6463414431
1735640165418,-0.0001220703,-0.3851318359,0.8928222656,1735640165461,-3.4451220036,-0.114329271,1.4100610018
1735640165458,-0.0003662109,-0.3861083984,0.8927001953,1735640165465,-3.0335366726,-0.2057926804,0.9756097794
1735640165463,0.0,-0.3807373047,0.8897705078,1735640165466,-2.8810975552,-0.1905487776,0.5030487776
1735640165465,0.0087890625,-0.37890625,0.8903808594,1735640165467,-2.9039635658,0.2057926804,0.4115853608
1735640165466,0.005859375,-0.3792724609,0.8878173828,1735640165468,-2.8201220036,0.5030487776,0.3429878056
1735640165468,0.0014648438,-0.3801269531,0.8884277344,1735640165506,-2.6371951103,0.6021341681,0.0914634168
1735640165505,0.0024414063,-0.3775634766,0.8885498047,1735640165507,-2.5457317829,0.7240853906,-0.038109757
