timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735500392025,0.0142822266,-0.986328125,0.1853027344,1735500392029,0.7545731664,4.4054880142,-1.5091463327
1735500392028,0.0130615234,-0.9920654297,0.1833496094,1735500392075,0.8612805009,4.7713418007,-1.2423781157
1735500392030,0.0135498047,-0.9853515625,0.1820068359,1735500392079,1.1890244484,4.4131097794,-1.4786585569
1735500392077,0.0111083984,-0.9860839844,0.1787109375,1735500392080,1.4405487776,4.2378048897,-1.6539634466
1735500392080,0.01171875,-0.986328125,0.1787109375,1735500392082,1.4710366726,4.0167684555,-1.5853658915
1735500392081,0.0098876953,-0.9885253906,0.1832275391,1735500392084,1.379573226,3.5823171139,-1.5091463327
1735500392084,0.0068359375,-0.9880371094,0.1846923828,1735500392085,1.4253048897,3.0564024448,-1.3490854502
1735500392085,0.0042724609,-0.9901123047,0.1889648438,1735500392086,1.6844512224,2.2713415623,-1.1737805605
1735500392086,0.0042724609,-0.994140625,0.1881103516,1735500392116,2.088414669,1.5548781157,-0.929878056
1735500392114,0.0048828125,-0.9923095703,0.1926269531,1735500392118,2.5228660107,0.7545731664,-0.8307927251
1735500392118,0.0057373047,-0.9935302734,0.1962890625,1735500392120,2.9039635658,0.1219512224,-0.7621951103
1735500392119,0.0100097656,-0.9920654297,0.1989746094,1735500392121,3.3307926655,-0.3277439177,-0.7393292785
1735500392120,0.0152587891,-0.9888916016,0.2039794922,1735500392160,3.384146452,-0.472560972,-0.5182926655
1735500392160,0.0177001953,-0.9841308594,0.2037353516,1735500392162,3.224085331,-0.4954268336,-0.2057926804
1735500392161,0.0198974609,-0.9831542969,0.2073974609,1735500392163,3.0868902206,-0.3353658617,0.0609756112
1735500392163,0.0219726563,-0.9858398438,0.2108154297,1735500392165,2.9878048897,-0.0457317084,0.4344512224
1735500392164,0.0208740234,-0.9848632813,0.2109375,1735500392205,3.1554877758,0.4115853608,0.7545731664
1735500392204,0.0192871094,-0.9854736328,0.2174072266,1735500392206,3.224085331,0.7240853906,0.929878056
1735500392206,0.0194091797,-0.9895019531,0.2210693359,1735500392208,3.4908537865,0.9908536673,1.067073226
