timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738778644678,-0.1235351563,-0.9245605469,0.2572021484,1738778644690,-11.5929880142,-2.0655488968,-1.2957317829
1738778644688,-0.1151123047,-0.9584960938,0.2570800781,1738778644706,-11.6463413239,-2.2484755516,-1.2957317829
1738778644698,-0.1044921875,-0.9652099609,0.2496337891,1738778644713,-10.6402444839,-1.7530487776,-1.5320122242
1738778644711,-0.0914306641,-0.9600830078,0.2420654297,1738778644723,-9.6646347046,-0.5640243888,-2.134146452
1738778644722,-0.0773925781,-0.9537353516,0.2396240234,1738778644733,-9.2378053665,1.25,-2.4618902206
1738778644732,-0.072265625,-0.9689941406,0.2342529297,1738778644755,-8.3993902206,3.1707317829,-1.905487895
1738778644745,-0.0804443359,-0.9696044922,0.2301025391,1738778644763,-7.4771342278,4.7179880142,-1.0060975552
1738778644760,-0.0965576172,-0.966796875,0.2224121094,1738778644768,-6.7530488968,5.0609755516,-0.1067073196
1738778644766,-0.1121826172,-0.9755859375,0.2171630859,1738778644781,-5.8612804413,4.6798782349,0.9984756112
1738778644779,-0.1176757813,-0.9753417969,0.21484375,1738778644785,-5.43445158,4.0167684555,2.2408537865
1738778644782,-0.1226806641,-0.9689941406,0.2125244141,1738778644791,-5.3963418007,3.3689024448,3.2164635658
1738778644789,-0.1254882813,-0.9748535156,0.2100830078,1738778644800,-5.2667684555,2.6981709003,3.7652440071
1738778644799,-0.1202392578,-0.9779052734,0.2078857422,1738778644815,-4.8323173523,2.2484755516,4.3292684555
1738778644813,-0.1142578125,-0.9741210938,0.2092285156,1738778644824,-4.283536911,2.1951220036,5.2820124626
1738778644822,-0.1119384766,-0.9782714844,0.2084960938,1738778644836,-3.5746951103,2.1951220036,6.257622242
1738778644835,-0.1115722656,-0.9815673828,0.2088623047,1738778644851,-2.4923779964,2.4314024448,7.1646342278
1738778644848,-0.1146240234,-0.9749755859,0.2104492188,1738778644858,-1.7835366726,2.6448171139,7.820122242
1738778644857,-0.1166992188,-0.9682617188,0.2137451172,1738778644873,-1.1204268932,2.8963415623,8.2240858078
1738778644871,-0.1182861328,-0.9656982422,0.2143554688,1738778644880,-0.6402438879,3.1097562313,8.8871955872
1738778644879,-0.119140625,-0.9614257813,0.2143554688,1738778644882,-0.4039634168,3.2545733452,9.5121955872
1738778644881,-0.123046875,-0.9620361328,0.2192382813,1738778644891,-0.304878056,3.3612806797,10.0609760284
1738778644890,-0.1264648438,-0.9643554688,0.2248535156,1738778644904,-0.0533536598,3.6432926655,10.4192075729
