timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1738784496888,0.0706787109,-0.9440917969,0.29296875,1738784496892,-2.8810975552,-2.134146452,-0.7317073345
1738784496890,0.0704345703,-0.9503173828,0.2955322266,1738784496895,-3.224085331,-1.9512195587,-0.2515243888
1738784496894,0.0711669922,-0.9464111328,0.2951660156,1738784496897,-2.8506097794,-2.035061121,-0.1676829308
1738784496896,0.0681152344,-0.9460449219,0.2937011719,1738784496898,-2.759146452,-1.9893293381,-0.3658536673
1738784496898,0.0654296875,-0.9471435547,0.2896728516,1738784496930,-2.6753048897,-1.9359756708,-0.5716463327
1738784496929,0.0660400391,-0.9475097656,0.291015625,1738784496937,-2.7743902206,-1.775914669,-0.6402438879
1738784496935,0.0654296875,-0.9478759766,0.2900390625,1738784496938,-2.7972562313,-1.6615854502,-0.7774390578
1738784496938,0.0638427734,-0.9487304688,0.2882080078,1738784496940,-3.0030488968,-1.5777438879,-0.8765243888
1738784496939,0.0627441406,-0.9460449219,0.2893066406,1738784496975,-3.1554877758,-1.5853658915,-1.0137195587
1738784496973,0.0609130859,-0.9467773438,0.2885742188,1738784496979,-3.2545733452,-1.6996951103,-1.1051830053
1738784496976,0.0609130859,-0.9498291016,0.2868652344,1738784496980,-3.1402440071,-1.8064024448,-1.0899389982
1738784496979,0.0592041016,-0.9476318359,0.2864990234,1738784496981,-3.1402440071,-1.9969512224,-1.036585331
1738784496980,0.0600585938,-0.9465332031,0.2873535156,1738784496982,-3.18597579,-2.1265244484,-1.0137195587
1738784496981,0.0604248047,-0.9510498047,0.2883300781,1738784497028,-3.1326220036,-2.2560975552,-0.8689024448
1738784497021,0.0583496094,-0.9522705078,0.2867431641,1738784497030,-3.071646452,-2.660061121,-0.846036613
1738784497029,0.0563964844,-0.9484863281,0.2866210938,1738784497032,-3.0945122242,-3.0182926655,-0.7850610018
1738784497031,0.0556640625,-0.9486083984,0.2884521484,1738784497033,-3.1631097794,-3.3993902206,-0.7850610018
1738784497033,0.0528564453,-0.9448242188,0.2850341797,1738784497064,-3.2012195587,-3.7804877758,-0.7164634466
1738784497064,0.0516357422,-0.9434814453,0.2858886719,1738784497066,-3.4603660107,-4.2606706619,-0.846036613
1738784497065,0.0535888672,-0.9484863281,0.2858886719,1738784497068,-3.6661586761,-4.7789635658,-0.9984756112
1738784497067,0.0499267578,-0.9473876953,0.2845458984,1738784497070,-3.9024391174,-5.3125,-1.3033536673
1738784497069,0.0472412109,-0.9434814453,0.2840576172,1738784497071,-4.0929880142,-5.9603657722,-1.592987895
1738784497070,0.0499267578,-0.9467773438,0.2817382813,1738784497112,-4.161585331,-6.5167684555,-1.7911585569
1738784497111,0.0516357422,-0.9500732422,0.2846679688,1738784497115,-4.2073173523,-6.9435977936,-1.9588415623
1738784497113,0.0490722656,-0.9499511719,0.2824707031,1738784497117,-4.2301831245,-7.507622242,-2.088414669
1738784497116,0.0473632813,-0.9495849609,0.2838134766,1738784497120,-4.0548782349,-8.1402444839,-2.2179877758
1738784497118,0.0439453125,-0.9521484375,0.2827148438,1738784497155,-3.910061121,-9.0167684555,-2.4923779964
1738784497154,0.0402832031,-0.9530029297,0.2821044922,1738784497158,-3.7347562313,-10.2667684555,-2.7896342278
1738784497156,0.0364990234,-0.9508056641,0.2781982422,1738784497159,-3.597561121,-11.6082315445,-3.224085331
1738784497159,0.0345458984,-0.9489746094,0.2796630859,1738784497161,-3.5670733452,-13.0945129395,-3.7118902206
1738784497160,0.0296630859,-0.9483642578,0.27734375,1738784497204,-3.597561121,-14.7484760284,-4.2073173523
1738784497202,0.0301513672,-0.9461669922,0.2813720703,1738784497206,-3.9024391174,-16.4405498505,-4.6493902206
1738784497205,0.0286865234,-0.9445800781,0.2803955078,1738784497208,-4.2225608826,-18.1935977936,-5.0533537865
1738784497207,0.0272216797,-0.9470214844,0.2749023438,1738784497209,-4.5655488968,-20.0762195587,-5.625
1738784497209,0.0236816406,-0.9431152344,0.2740478516,1738784497210,-5.0152440071,-22.2027435303,-6.1051831245
1738784497210,0.0238037109,-0.9451904297,0.2717285156,1738784497246,-5.221036911,-24.4969520569,-6.5396342278
1738784497245,0.0268554688,-0.9509277344,0.2691650391,1738784497248,-5.2286586761,-26.7225608826,-6.8673782349
1738784497247,0.0330810547,-0.9544677734,0.2708740234,1738784497249,-5.3048782349,-28.6661586761,-7.1265244484
1738784497249,0.0369873047,-0.9582519531,0.2669677734,1738784497251,-5.0152440071,-30.5945129395,-7.4695124626
