timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735569879172,0.0433349609,-1.0007324219,0.1000976563,1735569879221,-0.9908536673,-0.5640243888,-0.5182926655
1735569879174,0.0408935547,-1.0080566406,0.0983886719,1735569879225,-1.3033536673,-0.6021341681,-0.7698171139
1735569879175,0.0423583984,-1.0032958984,0.0987548828,1735569879226,-0.9984756112,-0.3887195289,-0.2210365832
1735569879176,0.0451660156,-0.9987792969,0.1007080078,1735569879227,-1.3033536673,-0.1676829308,0.0457317084
1735569879216,0.0462646484,-0.9982910156,0.1003417969,1735569879231,-1.4024389982,-0.1753048748,0.2057926804
1735569879224,0.0484619141,-0.9956054688,0.0989990234,1735569879263,-1.0594512224,-0.1905487776,0.4344512224
1735569879225,0.0494384766,-0.9925537109,0.0980224609,1735569879265,-0.9908536673,-0.1981707364,0.7393292785
1735569879226,0.0495605469,-0.9920654297,0.0971679688,1735569879268,-0.7698171139,-0.320121944,0.846036613
1735569879228,0.0482177734,-0.998046875,0.0981445313,1735569879269,-0.7774390578,-0.2972561121,0.9756097794
1735569879261,0.0477294922,-1.0023193359,0.1015625,1735569879304,-0.8155487776,-0.2972561121,1.0518293381
1735569879264,0.0447998047,-1.0003662109,0.1009521484,1735569879306,-1.0442073345,-0.1676829308,1.0594512224
1735569879267,0.0452880859,-0.9974365234,0.1002197266,1735569879311,-1.4100610018,0.2057926804,1.067073226
1735569879269,0.0427246094,-0.9940185547,0.1014404297,1735569879311,-1.8445122242,0.5182926655,0.8841463327
1735569879303,0.0451660156,-0.9908447266,0.0980224609,1735569879357,-1.9359756708,0.8231707215,0.7698171139
1735569879305,0.0473632813,-0.9903564453,0.0982666016,1735569879359,-1.8826220036,1.150914669,0.6021341681
1735569879309,0.0469970703,-0.9904785156,0.1024169922,1735569879360,-1.6158536673,1.3948171139,0.320121944
1735569879311,0.0473632813,-0.9919433594,0.0986328125,1735569879360,-1.1890244484,1.5396342278,0.1295731664
1735569879354,0.0451660156,-0.9956054688,0.0954589844,1735569879361,-1.0442073345,1.5548781157,-0.0304878056
1735569879358,0.0460205078,-0.9986572266,0.0963134766,1735569879399,-0.9527439475,1.5396342278,-0.1905487776
1735569879360,0.0439453125,-1.0032958984,0.0975341797,1735569879401,-0.9756097794,1.4862805605,-0.3429878056
