timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735573971995,0.0380859375,0.9499511719,0.1525878906,1735573972000,6.5320124626,3.3231709003,-1.150914669
1735573971996,0.0372314453,0.9576416016,0.1520996094,1735573972006,6.7911586761,3.49847579,-1.2347561121
1735573972002,0.0388183594,0.9602050781,0.1477050781,1735573972007,7.2484755516,3.18597579,-1.4939024448
1735573972007,0.0395507813,0.9636230469,0.1459960938,1735573972048,7.6753048897,2.9954268932,-1.7378048897
1735573972046,0.0378417969,0.966796875,0.1448974609,1735573972052,7.93445158,2.7972562313,-1.7835366726
1735573972049,0.0361328125,0.9711914063,0.1423339844,1735573972053,8.0030488968,2.7210366726,-1.6844512224
1735573972052,0.0366210938,0.9743652344,0.1418457031,1735573972054,8.0868902206,2.6829268932,-1.6844512224
1735573972053,0.0357666016,0.9744873047,0.1396484375,1735573972055,8.0411586761,2.5609755516,-1.6158536673
1735573972054,0.0338134766,0.9798583984,0.1389160156,1735573972084,7.8353662491,2.4847562313,-1.5091463327
1735573972084,0.0330810547,0.982421875,0.1358642578,1735573972086,7.6143293381,2.3323171139,-1.3414634466
1735573972085,0.0319824219,0.9837646484,0.1330566406,1735573972087,7.3170733452,2.1722562313,-1.1432926655
1735573972086,0.033203125,0.9852294922,0.1322021484,1735573972088,6.9131097794,2.1112804413,-0.929878056
1735573972088,0.0344238281,0.9846191406,0.1306152344,1735573972135,6.6158537865,2.1189024448,-0.6707317233
1735573972130,0.03515625,0.9833984375,0.1291503906,1735573972142,6.2881097794,2.0045731068,-0.533536613
1735573972141,0.0364990234,0.9885253906,0.1297607422,1735573972143,5.8536586761,2.0198171139,-0.472560972
1735573972142,0.0372314453,0.9912109375,0.130859375,1735573972144,5.2820124626,2.088414669,-0.2896341383
1735573972143,0.0390625,0.9891357422,0.1313476563,1735573972177,4.7942075729,2.1112804413,-0.2439024448
1735573972176,0.0380859375,0.9855957031,0.1263427734,1735573972179,4.1310977936,2.2789635658,-0.236280486
1735573972177,0.0369873047,0.9840087891,0.1256103516,1735573972182,3.7423782349,2.347561121,0.0
1735573972181,0.0329589844,0.9819335938,0.1287841797,1735573972184,3.6204268932,2.2484755516,0.2439024448
1735573972183,0.0363769531,0.9766845703,0.1275634766,1735573972185,3.7804877758,2.0426828861,0.3506097496
1735573972184,0.0358886719,0.9716796875,0.1271972656,1735573972221,4.1539635658,2.0198171139,0.3658536673
1735573972219,0.0372314453,0.9666748047,0.1270751953,1735573972225,4.588414669,1.905487895,0.3658536673
1735573972224,0.0418701172,0.9643554688,0.1271972656,1735573972229,4.9390244484,1.9893293381,0.2591463327
1735573972228,0.04296875,0.9682617188,0.1279296875,1735573972232,5.1067075729,2.088414669,0.0838414654
1735573972231,0.044921875,0.9677734375,0.1265869141,1735573972265,5.3734755516,2.2332317829,-0.152439028
1735573972264,0.0444335938,0.9659423828,0.1285400391,1735573972266,5.7393293381,2.3246951103,-0.4573170841
1735573972265,0.0454101563,0.9652099609,0.1309814453,1735573972268,6.0975608826,2.4085366726,-0.7545731664
1735573972267,0.0463867188,0.9630126953,0.1313476563,1735573972270,6.4939026833,2.4390244484,-0.8536585569
1735573972269,0.0466308594,0.9586181641,0.1279296875,1735573972270,7.0731706619,2.6676828861,-1.1737805605
1735573972270,0.0477294922,0.9582519531,0.1287841797,1735573972315,7.9039635658,2.8582317829,-1.4481707811
1735573972310,0.0479736328,0.9608154297,0.1290283203,1735573972318,8.7347564697,2.9801828861,-1.6234756708
1735573972316,0.0484619141,0.9548339844,0.1248779297,1735573972319,9.6112804413,3.1173782349,-1.8064024448
1735573972318,0.0476074219,0.9558105469,0.1243896484,1735573972320,10.4801836014,3.2926828861,-1.8978658915
1735573972320,0.0474853516,0.9572753906,0.1232910156,1735573972356,11.379573822,3.4451220036,-2.0579268932
1735573972356,0.0460205078,0.9599609375,0.1254882813,1735573972359,12.1341466904,3.6432926655,-2.3551828861
1735573972359,0.046875,0.9564208984,0.1207275391,1735573972360,13.0792684555,3.7881097794,-2.5838415623
1735573972359,0.0490722656,0.9533691406,0.1201171875,1735573972360,14.1234760284,3.9862806797,-2.8887195587
1735573972360,0.0465087891,0.9500732422,0.1185302734,1735573972360,15.3582324982,4.1387195587,-3.285061121
1735573972360,0.04296875,0.9455566406,0.1143798828,1735573972400,16.7378044128,4.0853657722,-3.6661586761
