timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z
1735500252122,-0.0004882813,-0.9801025391,0.126953125,1735500252127,-4.4359755516,2.5381097794,0.8307927251
1735500252165,-0.0076904297,-0.9940185547,0.125,1735500252167,-4.1310977936,2.7210366726,0.2972561121
1735500252168,-0.0139160156,-0.9929199219,0.1239013672,1735500252169,-3.8643293381,2.8125,0.6478658915
1735500252170,-0.0223388672,-0.9923095703,0.1207275391,1735500252171,-3.6356709003,2.8277440071,0.8765243888
1735500252172,-0.0303955078,-0.9914550781,0.1204833984,1735500252174,-3.3307926655,2.5,0.7012194991
1735500252175,-0.0336914063,-0.9891357422,0.1175537109,1735500252175,-3.1173782349,1.7911585569,0.3582317233
1735500252176,-0.0318603516,-0.9899902344,0.1188964844,1735500252176,-2.9344513416,0.617378056,0.076219514
1735500252176,-0.0300292969,-0.9898681641,0.1197509766,1735500252177,-2.8810975552,-0.6021341681,-0.3353658617
1735500252210,-0.0227050781,-0.9912109375,0.1177978516,1735500252212,-2.8125,-1.6615854502,-0.6021341681
1735500252214,-0.0095214844,-0.994140625,0.1203613281,1735500252215,-2.660061121,-2.6219513416,-0.7621951103
1735500252217,0.0006103516,-0.9970703125,0.1219482422,1735500252219,-2.4771342278,-3.3231709003,-0.7469512224
1735500252221,0.0119628906,-0.9953613281,0.1207275391,1735500252222,-2.5609755516,-3.5518293381,-0.6478658915
1735500252223,0.0216064453,-0.9971923828,0.1169433594,1735500252224,-3.0487804413,-3.4375,-0.5640243888
1735500252255,0.0274658203,-1.0012207031,0.1154785156,1735500252257,-3.4298782349,-3.0106709003,-0.6021341681
1735500252260,0.0294189453,-1.0073242188,0.1108398438,1735500252262,-3.4908537865,-2.4618902206,-0.7545731664
1735500252262,0.0321044922,-1.0109863281,0.1071777344,1735500252263,-3.4070122242,-1.8978658915,-0.8917683363
1735500252263,0.0319824219,-1.0108642578,0.1046142578,1735500252264,-3.3307926655,-1.2423781157,-1.0823171139
1735500252300,0.0330810547,-1.0131835938,0.1027832031,1735500252301,-3.1478660107,-0.6478658915,-1.3185975552
1735500252302,0.0328369141,-1.0184326172,0.103515625,1735500252303,-2.6676828861,0.0076219514,-1.3948171139
1735500252304,0.0307617188,-1.0234375,0.1058349609,1735500252304,-1.9588415623,0.6707317233,-1.2652438879
1735500252305,0.0301513672,-1.0166015625,0.1033935547,1735500252350,-1.1280487776,1.25,-1.0137195587
1735500252351,0.025390625,-1.0173339844,0.103515625,1735500252353,-0.7164634466,1.7454268932,-0.7926829457
1735500252354,0.0224609375,-1.0168457031,0.1019287109,1735500252355,-0.2591463327,2.1570122242,-0.5640243888
1735500252355,0.0180664063,-1.0161132813,0.1036376953,1735500252356,0.114329271,2.347561121,-0.3963414729
1735500252358,0.0150146484,-1.0166015625,0.1041259766,1735500252359,0.4801829457,2.3399391174,-0.2134146392
1735500252359,0.0115966797,-1.0098876953,0.1024169922,1735500252360,0.929878056,2.4618902206,-0.114329271
1735500252391,0.0101318359,-1.0048828125,0.103515625,1735500252392,1.3109756708,2.5,-0.0609756112
1735500252394,0.0073242188,-0.9979248047,0.1091308594,1735500252395,1.3871951103,2.4161586761,0.2057926804
1735500252396,0.0053710938,-0.9974365234,0.1134033203,1735500252397,1.7073171139,2.4161586761,0.617378056
1735500252397,0.0002441406,-0.99609375,0.1181640625,1735500252399,1.8521342278,2.286585331,0.929878056
1735500252399,-0.0025634766,-0.9936523438,0.1239013672,1735500252400,1.9893293381,1.9588415623,0.929878056
1735500252434,-0.0026855469,-0.9932861328,0.12890625,1735500252435,2.2332317829,1.4329268932,0.5945122242
1735500252436,-0.0029296875,-0.9934082031,0.1340332031,1735500252437,2.4390244484,0.929878056,0.1448170692
1735500252438,0.001953125,-0.9891357422,0.1381835938,1735500252439,2.6448171139,0.5182926655,-0.4496951401
