timestamp_acc,acc_x,acc_y,acc_z,timestamp_gyro,gyro_x,gyro_y,gyro_z,label
0.0,0.158081,-0.977661,0.165771,6.0,-0.907012,0.533537,0.716463,0
4.0,0.160156,-0.983887,0.166504,8.0,-0.716463,0.518293,0.693598,0
7.0,0.158691,-0.981812,0.16748,10.0,-0.777439,0.632622,0.655488,0
9.0,0.155884,-0.984253,0.166504,44.0,-0.548781,0.846037,0.579268,0
42.0,0.156372,-0.983154,0.165405,47.0,-0.342988,1.067073,0.449695,0
46.0,0.153931,-0.979858,0.162476,49.0,-0.434451,1.128049,0.27439,0
48.0,0.154541,-0.977783,0.166016,50.0,-0.442073,1.097561,0.175305,0
50.0,0.152222,-0.976563,0.162109,52.0,-0.457317,1.112805,0.068598,0
52.0,0.149292,-0.979004,0.161499,90.0,-0.426829,0.97561,0.060976,0
89.0,0.146973,-0.977905,0.16394,92.0,-0.297256,0.746951,0.0,0
91.0,0.151367,-0.976929,0.165283,93.0,-0.365854,0.419207,-0.129573,0
92.0,0.148926,-0.977539,0.165283,96.0,-0.495427,0.091463,-0.160061,0
95.0,0.148438,-0.978027,0.165894,138.0,-0.670732,-0.221037,-0.060976,0
134.0,0.149292,-0.976318,0.164551,140.0,-0.830793,-0.335366,-0.091463,0
139.0,0.152588,-0.974854,0.166626,185.0,-1.074695,-0.457317,-0.144817,0
183.0,0.151001,-0.974731,0.164917,187.0,-1.25,-0.58689,-0.213415,0
186.0,0.153198,-0.974609,0.166382,189.0,-1.364329,-0.594512,-0.198171,0
188.0,0.159302,-0.980591,0.167725,191.0,-1.547256,-0.655488,-0.251524,0
190.0,0.1604,-0.982544,0.165161,193.0,-1.478659,-0.556402,-0.198171,0
191.0,0.159058,-0.980103,0.165039,194.0,-1.471037,-0.403963,0.152439,0
194.0,0.157837,-0.977661,0.162842,196.0,-1.570122,-0.289634,0.564024,0
195.0,0.162109,-0.982056,0.162231,225.0,-1.5625,-0.07622,0.807927,0
223.0,0.161011,-0.981812,0.160645,228.0,-1.646341,0.182927,0.891768,0
226.0,0.157349,-0.981689,0.160034,230.0,-1.676829,0.342988,0.807927,0
229.0,0.154297,-0.983032,0.160522,231.0,-1.509146,0.342988,0.480183,0
231.0,0.150024,-0.981079,0.160645,233.0,-1.448171,0.35061,0.251524,0
232.0,0.148438,-0.977539,0.158203,267.0,-1.387195,0.198171,0.205793,0
266.0,0.148193,-0.979736,0.15564,270.0,-1.432927,0.022866,0.259146,0
268.0,0.14624,-0.974243,0.155396,272.0,-1.798781,-0.190549,0.27439,0
271.0,0.143311,-0.951538,0.153198,313.0,-2.903964,-0.472561,0.495427,0
272.0,0.143677,-0.970093,0.153931,316.0,-3.605183,-0.708842,0.594512,0
316.0,0.144775,-0.977783,0.155518,318.0,-3.795732,-1.036585,0.541159,0
317.0,0.148438,-0.977539,0.156372,319.0,-3.978659,-1.25,0.571646,0
319.0,0.145996,-0.980469,0.154907,321.0,-4.039634,-1.493902,0.503049,0
320.0,0.147095,-0.984009,0.154785,358.0,-3.894817,-1.722561,0.472561,0
357.0,0.150513,-0.997559,0.154785,360.0,-3.4375,-1.935976,0.3125,0
359.0,0.1521,-0.99353,0.154785,360.0,-2.835366,-1.905488,0.07622,0
360.0,0.153442,-0.989746,0.153687,361.0,-2.294207,-1.875,0.022866,0
361.0,0.155029,-0.994995,0.154297,363.0,-1.5625,-1.829268,-0.060976,0
362.0,0.156982,-0.994385,0.153809,404.0,-0.815549,-1.753049,-0.426829,0
402.0,0.15686,-0.98584,0.14978,406.0,-0.487805,-1.653963,-0.655488,0
405.0,0.155762,-0.980957,0.150879,407.0,-0.403963,-1.737805,-0.518293,0
407.0,0.155518,-0.977417,0.14978,408.0,-0.457317,-1.608232,-0.35061,0
408.0,0.160522,-0.982422,0.148926,450.0,-0.365854,-1.356707,-0.35061,0
449.0,0.160889,-0.985107,0.148438,453.0,-0.289634,-1.074695,-0.464939,0
452.0,0.160156,-0.983765,0.153564,455.0,0.053354,-0.907012,-0.548781,0
454.0,0.162109,-0.983765,0.152954,456.0,0.304878,-0.617378,-0.571646,0
456.0,0.16272,-0.983643,0.153687,457.0,0.35061,-0.289634,-0.609756,0
457.0,0.165771,-0.983643,0.152954,492.0,0.449695,0.0,-0.556402,0
491.0,0.165527,-0.980713,0.151611,499.0,0.518293,0.282012,-0.426829,0
496.0,0.164063,-0.976685,0.154175,501.0,0.27439,0.548781,-0.266768,0
500.0,0.161377,-0.973633,0.15625,503.0,-0.282012,0.701219,-0.221037,0
502.0,0.15918,-0.972412,0.155273,541.0,-0.632622,0.785061,-0.068598,0
539.0,0.159302,-0.973267,0.154419,544.0,-1.059451,0.777439,0.060976,0
543.0,0.158447,-0.971558,0.153442,546.0,-1.676829,0.777439,0.083841,0
545.0,0.156494,-0.969971,0.155518,548.0,-2.004573,0.670732,0.228659,0
547.0,0.155273,-0.974121,0.153564,549.0,-2.286585,0.571646,0.320122,0
548.0,0.156494,-0.977661,0.151123,590.0,-2.385671,0.617378,0.342988,0
583.0,0.155151,-0.981079,0.152588,592.0,-2.286585,0.503049,0.38872,0
591.0,0.158081,-0.985107,0.151733,595.0,-2.050305,0.403963,0.23628,0
593.0,0.157104,-0.986694,0.151855,597.0,-1.829268,0.381098,0.106707,0
596.0,0.156494,-0.987305,0.149414,629.0,-1.501524,0.243902,0.121951,0
626.0,0.157349,-0.985596,0.147461,632.0,-1.280488,0.23628,0.07622,0
631.0,0.157349,-0.988647,0.150879,633.0,-1.082317,0.190549,-0.083841,0
632.0,0.157104,-0.988892,0.149414,635.0,-0.647866,0.114329,-0.182927,0
634.0,0.156128,-0.986328,0.14624,636.0,-0.38872,0.068598,-0.190549,0
636.0,0.156616,-0.984741,0.148682,674.0,-0.198171,-0.091463,-0.251524,0
673.0,0.155884,-0.983276,0.14917,676.0,-0.045732,-0.152439,-0.289634,0
675.0,0.156128,-0.982544,0.147583,724.0,0.114329,-0.266768,-0.228659,0
719.0,0.156006,-0.981812,0.149048,726.0,0.137195,-0.3125,-0.251524,0
725.0,0.156982,-0.981079,0.151123,730.0,0.198171,-0.304878,-0.297256,0
729.0,0.157593,-0.977905,0.148804,732.0,0.068598,-0.35061,-0.297256,0
731.0,0.1604,-0.976318,0.151001,733.0,-0.121951,-0.396341,-0.38872,0
733.0,0.164185,-0.984985,0.151367,735.0,-0.083841,-0.228659,-0.381098,0
734.0,0.162964,-0.981567,0.151123,736.0,-0.114329,-0.03811,-0.419207,0
735.0,0.162109,-0.981323,0.152466,763.0,-0.022866,0.060976,-0.541159,0
762.0,0.160645,-0.984009,0.150024,766.0,0.045732,0.099085,-0.724085,0
765.0,0.157959,-0.978271,0.149048,768.0,-0.045732,-0.007622,-0.922256,0
767.0,0.160156,-0.984741,0.155518,769.0,0.060976,-0.091463,-0.998476,0
769.0,0.162842,-0.984131,0.152832,808.0,0.068598,-0.060976,-0.922256,0
807.0,0.161987,-0.981323,0.153564,810.0,0.03811,-0.167683,-0.602134,0
809.0,0.162598,-0.977295,0.152222,812.0,0.0,-0.160061,-0.068598,0
811.0,0.165894,-0.974487,0.150635,815.0,-0.137195,-0.083841,0.464939,0
813.0,0.165039,-0.976807,0.153442,854.0,-0.205793,0.030488,0.625,0
853.0,0.164185,-0.980225,0.155884,857.0,-0.297256,0.144817,0.647866,0
856.0,0.16272,-0.981567,0.1521,859.0,-0.434451,0.221037,0.541159,0
858.0,0.160645,-0.981079,0.151001,860.0,-0.381098,0.35061,0.381098,0
860.0,0.160645,-0.979126,0.150024,861.0,-0.449695,0.381098,0.221037,0
861.0,0.158691,-0.977783,0.150635,903.0,-0.632622,0.434451,-0.045732,0
900.0,0.161133,-0.980591,0.152832,907.0,-0.762195,0.533537,-0.083841,0
905.0,0.159424,-0.981934,0.154419,908.0,-0.731707,0.632622,-0.228659,0
907.0,0.158081,-0.980835,0.151367,910.0,-0.724085,0.571646,-0.442073,0
909.0,0.154297,-0.981079,0.150513,945.0,-0.708842,0.449695,-0.403963,0
943.0,0.154297,-0.98291,0.150513,948.0,-0.609756,0.282012,-0.571646,0
946.0,0.15332,-0.983765,0.149536,950.0,-0.480183,0.03811,-0.594512,0
949.0,0.154663,-0.987549,0.148193,952.0,-0.320122,-0.160061,-0.472561,0
951.0,0.155884,-0.987427,0.147705,954.0,-0.068598,-0.487805,-0.365854,0
953.0,0.156006,-0.989136,0.146362,989.0,0.304878,-0.823171,-0.266768,0
987.0,0.157715,-0.985474,0.147827,992.0,0.670732,-0.792683,-0.160061,0
991.0,0.157837,-0.990356,0.147949,994.0,1.303354,-0.891768,-0.175305,0
993.0,0.158569,-0.997925,0.147217,996.0,2.210366,-0.998476,-0.38872,0
995.0,0.161255,-0.999268,0.144653,1035.0,3.010671,-1.089939,-0.693598,0
1033.0,0.160156,-1.001465,0.145142,1037.0,3.925305,-1.128049,-0.731707,0
1036.0,0.161987,-0.998779,0.144897,1039.0,4.847561,-1.01372,-0.876524,0
1038.0,0.162842,-0.997559,0.146362,1040.0,5.625,-0.754573,-1.067073,0
1039.0,0.166138,-0.993164,0.146118,1041.0,6.074695,-0.411585,-1.242378,0
1041.0,0.16748,-0.989014,0.147827,1080.0,6.52439,-0.289634,-1.455793,0
1079.0,0.162354,-0.98584,0.150879,1083.0,7.035061,-0.259146,-1.554878,0
1081.0,0.162598,-0.98584,0.151855,1084.0,7.210366,-0.198171,-1.768293,0
1084.0,0.164917,-0.981567,0.153687,1086.0,7.240854,-0.030488,-1.684451,0
1085.0,0.164551,-0.980347,0.156128,1125.0,7.400915,0.099085,-1.539634,0
1121.0,0.165527,-0.9823,0.155762,1127.0,7.492378,0.045732,-1.615854,0
1126.0,0.166016,-0.985596,0.158325,1128.0,7.637195,0.083841,-1.52439,0
1128.0,0.164917,-0.983521,0.161499,1130.0,7.873476,0.144817,-1.402439,0
1129.0,0.165283,-0.982666,0.163086,1169.0,8.04878,0.022866,-1.432927,0
1167.0,0.16394,-0.982788,0.166016,1171.0,8.231708,-0.053354,-1.425305,0
1170.0,0.16626,-0.980713,0.165405,1172.0,8.39939,0.015244,-1.417683,0
1172.0,0.167358,-0.981323,0.164307,1173.0,8.574696,0.114329,-1.448171,0
1173.0,0.165527,-0.983521,0.168579,1175.0,8.910061,0.198171,-1.471037,0
1174.0,0.16626,-0.986206,0.169922,1216.0,9.397866,0.266768,-1.539634,0
1212.0,0.168091,-0.991333,0.16748,1218.0,10.152439,0.442073,-1.646341,0
1217.0,0.168091,-0.995972,0.168579,1220.0,10.884147,0.647866,-1.905488,0
1219.0,0.165405,-0.993408,0.168823,1221.0,11.943598,0.731707,-2.057927,0
1220.0,0.163452,-0.995972,0.171021,1260.0,12.797256,0.815549,-2.286585,0
1258.0,0.168335,-1.001831,0.174316,1262.0,14.009147,0.967988,-2.591464,0
1261.0,0.167358,-1.009521,0.172485,1264.0,15.792684,0.97561,-2.85061,0
1263.0,0.164307,-1.016602,0.174805,1266.0,17.980183,0.830793,-3.04878,0
1265.0,0.163574,-1.025024,0.17627,1268.0,20.457317,0.518293,-3.315549,0
1267.0,0.162109,-1.032227,0.178223,1304.0,23.407013,0.160061,-3.605183,0
1303.0,0.161865,-1.029663,0.17688,1306.0,26.288111,-0.243902,-3.742378,0
1305.0,0.160156,-1.018311,0.178101,1307.0,28.635672,-0.762195,-3.841464,0
1307.0,0.160889,-1.005981,0.181641,1309.0,30.434452,-1.219512,-4.009146,0
1308.0,0.163086,-0.993042,0.1875,1349.0,31.653965,-1.387195,-4.222561,0
1346.0,0.167969,-0.990356,0.192139,1352.0,32.8811,-1.486281,-4.550305,0
1351.0,0.171997,-0.985718,0.198486,1354.0,33.826221,-1.349085,-4.786585,0
1353.0,0.175781,-0.986084,0.206055,1356.0,34.535061,-1.105183,-5.022866,0
1355.0,0.17627,-0.979492,0.212891,1357.0,35.213417,-0.807927,-5.243903,0
1357.0,0.176514,-0.970093,0.221191,1394.0,35.541161,-0.564024,-5.579268,0
1392.0,0.175781,-0.969238,0.232422,1402.0,35.983234,-0.335366,-5.868903,0
1399.0,0.175049,-0.960693,0.243652,1404.0,36.295734,-0.35061,-6.158537,0
1403.0,0.174316,-0.960327,0.253174,1405.0,36.432926,-0.495427,-6.501524,0
1405.0,0.174805,-0.953247,0.26001,1438.0,36.394817,-0.769817,-6.48628,0
1437.0,0.176025,-0.944702,0.264771,1439.0,36.234756,-1.021341,-6.257622,0
1438.0,0.178345,-0.935547,0.271851,1441.0,35.838417,-1.181402,-5.830793,0
1440.0,0.186646,-0.935791,0.277832,1442.0,35.685978,-1.105183,-5.457317,0
1441.0,0.190674,-0.940063,0.284302,1443.0,35.640244,-0.739329,-5.373476,0
1443.0,0.195557,-0.940308,0.29248,1484.0,35.632622,-0.320122,-5.556403,0
1482.0,0.197021,-0.942261,0.295532,1485.0,35.983234,0.205793,-5.868903,0
1485.0,0.197388,-0.937866,0.301636,1487.0,36.333843,0.769817,-6.074695,0
1486.0,0.200317,-0.934204,0.304932,1489.0,36.646343,1.425305,-6.303354,0
1488.0,0.202393,-0.936157,0.313721,1532.0,37.195122,1.966463,-6.699695,0
1529.0,0.203735,-0.938477,0.322754,1533.0,37.751526,2.629573,-6.966464,0
1533.0,0.205811,-0.937012,0.328125,1534.0,38.208843,3.254573,-7.14939,0
1534.0,0.202515,-0.924194,0.332764,1536.0,38.467987,3.795732,-7.248476,0
1535.0,0.20166,-0.915649,0.338745,1537.0,38.4375,4.161585,-7.416159,0
1537.0,0.200562,-0.903809,0.345337,1572.0,38.269817,4.230183,-7.46189,0
1572.0,0.198975,-0.900635,0.349487,1574.0,37.850609,4.176829,-7.53811,0
1573.0,0.198364,-0.900146,0.357788,1576.0,37.446648,4.001524,-7.652439,0
1574.0,0.198608,-0.893799,0.367554,1578.0,37.035061,3.856707,-7.85061,0
1577.0,0.20459,-0.891235,0.376709,1619.0,36.692074,4.009146,-8.04878,0
1617.0,0.211914,-0.897949,0.385132,1622.0,36.859756,4.321646,-8.025915,0
1621.0,0.217529,-0.899292,0.391235,1624.0,36.836891,4.626524,-8.071647,0
1624.0,0.220337,-0.891235,0.392822,1626.0,36.798782,5.198171,-8.079268,0
1625.0,0.223999,-0.885254,0.39856,1666.0,36.653965,5.838415,-7.957317,0
1664.0,0.226074,-0.891235,0.404297,1669.0,36.836891,6.52439,-7.667683,0
1668.0,0.227051,-0.897705,0.411987,1671.0,37.736282,7.53811,-7.484756,0
1670.0,0.227173,-0.914429,0.416992,1673.0,39.268295,8.391768,-7.339939,0
1673.0,0.219482,-0.90271,0.414551,1675.0,40.358234,9.02439,-7.469512,0
1674.0,0.215088,-0.895142,0.416138,1709.0,41.684452,9.489329,-7.842988,0
1708.0,0.212036,-0.91333,0.421753,1713.0,43.55183,9.641768,-8.094512,0
1711.0,0.203979,-0.909546,0.424683,1715.0,45.350613,9.45122,-8.300305,0
1714.0,0.200439,-0.900879,0.432495,1717.0,47.012196,9.077744,-8.71189,0
1716.0,0.201416,-0.888306,0.438843,1754.0,48.1936,8.498476,-8.833841,0
1752.0,0.200195,-0.867554,0.443481,1758.0,48.856709,7.964939,-8.780488,0
1756.0,0.204956,-0.861206,0.451904,1760.0,49.405487,7.621952,-8.628049,0
1759.0,0.212402,-0.858032,0.461548,1762.0,49.839939,7.629573,-8.254574,0
1761.0,0.213379,-0.855835,0.469727,1764.0,50.358234,7.644817,-8.132622,0
1764.0,0.215942,-0.839722,0.482788,1800.0,50.495426,7.987805,-8.109756,0
1797.0,0.218628,-0.828857,0.493286,1803.0,50.038113,8.239329,-8.315549,0
1802.0,0.213379,-0.815918,0.504395,1805.0,49.009148,8.407012,-8.391768,0
1804.0,0.211182,-0.797852,0.518311,1807.0,47.629574,8.292683,-8.185976,0
1806.0,0.209595,-0.792847,0.53064,1845.0,46.288113,8.147866,-8.094512,0
1843.0,0.205688,-0.787231,0.539673,1849.0,45.007622,7.835366,-7.8125,0
1847.0,0.201172,-0.775757,0.544189,1852.0,43.536587,7.195122,-7.332317,0
1850.0,0.201538,-0.770996,0.549561,1853.0,42.400917,6.478659,-7.065549,0
1852.0,0.206543,-0.790039,0.561035,1855.0,41.905487,5.807927,-6.981708,0
1854.0,0.203735,-0.777344,0.571533,1889.0,41.288109,5.07622,-6.707317,0
1886.0,0.203979,-0.768433,0.574219,1892.0,40.396343,4.512195,-6.493903,0
1891.0,0.207031,-0.763428,0.578247,1895.0,39.557926,4.032012,-6.295732,0
1893.0,0.209839,-0.756348,0.584717,1897.0,38.910061,3.719512,-6.036585,0
1896.0,0.215332,-0.754883,0.591064,1934.0,38.346039,3.673781,-5.929878,0
1932.0,0.219971,-0.75061,0.591187,1936.0,37.621952,3.696646,-5.777439,0
1935.0,0.222778,-0.741699,0.599243,1938.0,36.783539,3.818598,-5.762195,0
1937.0,0.226807,-0.747314,0.609985,1940.0,36.653965,4.161585,-5.846037,0
1939.0,0.229492,-0.763062,0.618042,1941.0,37.30183,4.512195,-6.265244,0
1941.0,0.226196,-0.767212,0.623047,1980.0,38.399391,4.740854,-6.867378,0
1978.0,0.223877,-0.772461,0.626343,1984.0,39.939026,4.550305,-7.385671,0
1982.0,0.219727,-0.768677,0.625366,1987.0,41.204269,4.085366,-7.439024,0
1985.0,0.214844,-0.748047,0.624878,1989.0,41.966465,3.795732,-7.278964,0
1988.0,0.221069,-0.755737,0.630249,2026.0,43.231709,3.734756,-7.42378,0
2024.0,0.220337,-0.753418,0.635376,2029.0,44.847561,3.742378,-7.454268,0
2028.0,0.22229,-0.748779,0.640259,2031.0,46.303356,3.727134,-7.339939,0
2030.0,0.220337,-0.730835,0.642822,2033.0,47.103661,3.559451,-7.042683,0
2032.0,0.223755,-0.71521,0.651123,2070.0,47.134148,3.467988,-6.829268,0
2068.0,0.228271,-0.694824,0.652344,2073.0,46.028965,3.589939,-6.356708,0
2071.0,0.230103,-0.666626,0.658081,2076.0,44.115856,3.856707,-5.739329,0
2074.0,0.232788,-0.670288,0.668579,2077.0,42.385674,4.039634,-5.358232,0
2077.0,0.233521,-0.672363,0.677246,2078.0,40.777439,4.314024,-5.182927,0
2078.0,0.231079,-0.666504,0.680298,2114.0,39.390244,4.489329,-4.878049,0
2113.0,0.231689,-0.658081,0.685669,2116.0,38.003048,4.740854,-4.192073,0
2115.0,0.232666,-0.6521,0.689087,2117.0,36.920734,5.106708,-3.628049,0
2116.0,0.23584,-0.661377,0.695068,2118.0,36.554878,5.335366,-3.574695,0
2118.0,0.228149,-0.651611,0.698242,2158.0,35.929878,5.289634,-3.643293,0
2157.0,0.222778,-0.64502,0.702759,2160.0,35.304878,5.099085,-3.772866,0
2160.0,0.220459,-0.638184,0.711304,2162.0,34.603661,4.908537,-4.108232,0
2161.0,0.223022,-0.63147,0.720825,2165.0,33.826221,4.946647,-4.443598,0
2165.0,0.225708,-0.621094,0.725952,2166.0,32.850609,4.931403,-4.626524,0
2166.0,0.22229,-0.619019,0.732178,2204.0,31.791159,4.862805,-4.580793,0
2201.0,0.220703,-0.605957,0.742065,2207.0,30.480185,4.771342,-4.291159,0
2205.0,0.224854,-0.595947,0.746826,2250.0,28.833841,4.778964,-3.82622,0
2248.0,0.229736,-0.601318,0.752441,2253.0,27.568598,4.908537,-3.727134,0
2252.0,0.228394,-0.591553,0.754028,2256.0,26.120428,4.977134,-3.666159,0
2254.0,0.224976,-0.572144,0.759277,2294.0,24.237806,4.984756,-3.574695,0
2257.0,0.225952,-0.573364,0.764893,2298.0,22.644817,4.832317,-3.452744,0
2297.0,0.227783,-0.574341,0.768677,2300.0,20.884148,4.786585,-3.20122,0
2299.0,0.22937,-0.571045,0.771606,2301.0,19.085367,4.702744,-2.743902,0
2301.0,0.227539,-0.567383,0.773804,2303.0,17.126524,4.771342,-2.004573,0
2302.0,0.227417,-0.572266,0.780396,2304.0,15.868903,4.824695,-1.554878,0
2303.0,0.224121,-0.58374,0.778198,2305.0,14.977135,4.565549,-1.356707,0
2305.0,0.217285,-0.576172,0.776001,2336.0,13.841464,3.963415,-1.349085,0
2306.0,0.213623,-0.583252,0.776978,2338.0,13.193598,3.414634,-1.28811,0
2337.0,0.213989,-0.583618,0.77124,2339.0,12.637196,3.064024,-1.189024,0
2338.0,0.216553,-0.589478,0.776367,2340.0,12.408537,2.759146,-1.318598,0
2339.0,0.213745,-0.588379,0.769531,2341.0,11.981708,2.492378,-1.295732,0
2341.0,0.213867,-0.583008,0.768799,2342.0,11.867378,2.240854,-1.432927,0
2342.0,0.216675,-0.599731,0.769165,2384.0,12.553354,2.035061,-1.882622,0
2382.0,0.217163,-0.61084,0.765991,2385.0,13.589939,1.974085,-2.660061,0
2384.0,0.219604,-0.606567,0.766357,2387.0,14.771342,2.065549,-3.704268,0
2386.0,0.221191,-0.621948,0.771606,2388.0,16.653963,2.103659,-5.015244,0
2387.0,0.212036,-0.628784,0.7771,2433.0,19.085367,1.844512,-6.753049,0
2431.0,0.194946,-0.640869,0.779053,2435.0,21.981709,0.564024,-8.803354,0
2434.0,0.176758,-0.620361,0.783569,2436.0,23.711891,-1.455793,-10.396341,0
2436.0,0.165771,-0.594727,0.78479,2438.0,24.443598,-4.001524,-11.341464,0
2437.0,0.168335,-0.565674,0.781616,2475.0,23.559452,-6.341464,-11.676829,0
2473.0,0.182983,-0.530518,0.785278,2477.0,21.455793,-7.881098,-11.036586,0
2476.0,0.209717,-0.519653,0.786987,2480.0,19.268293,-8.193598,-9.969512,0
2478.0,0.234497,-0.527344,0.790405,2482.0,17.743902,-7.416159,-8.932927,0
2481.0,0.253418,-0.541138,0.7948,2483.0,17.217989,-6.280488,-8.056402,0
2482.0,0.264893,-0.543945,0.796143,2523.0,16.958841,-5.03811,-7.301829,0
2520.0,0.276733,-0.535645,0.792847,2525.0,16.646341,-3.384146,-6.410061,0
2524.0,0.289429,-0.522095,0.787354,2527.0,15.838415,-1.310976,-5.396342,0
2526.0,0.298218,-0.508789,0.791382,2528.0,14.76372,0.990854,-4.565549,0
2528.0,0.298706,-0.514038,0.798096,2564.0,14.0625,3.185976,-4.207317,0
2562.0,0.296753,-0.526123,0.80249,2567.0,13.589939,5.152439,-4.092988,0
2566.0,0.283569,-0.515869,0.804321,2570.0,12.759147,6.722561,-3.864329,0
2568.0,0.269409,-0.507324,0.803589,2572.0,11.737805,7.804878,-3.39939,0
2571.0,0.255005,-0.497192,0.807617,2573.0,10.335366,8.262196,-2.865854,0
2572.0,0.240479,-0.498535,0.812256,2606.0,9.10061,8.025915,-2.233232,0
2606.0,0.227783,-0.498657,0.824341,2609.0,7.85061,7.278964,-1.791159,0
2608.0,0.222412,-0.507446,0.8302,2610.0,6.653964,6.051829,-1.234756,0
2610.0,0.210083,-0.490356,0.829468,2611.0,5.053354,4.397866,-0.556402,0
2611.0,0.207886,-0.483887,0.827393,2656.0,3.102134,2.637195,0.282012,0
2653.0,0.21228,-0.477783,0.827026,2659.0,1.173781,1.349085,1.089939,0
2658.0,0.217773,-0.484009,0.825684,2661.0,-0.342988,0.403963,1.653963,0
2660.0,0.223755,-0.493774,0.828125,2662.0,-1.272866,-0.327744,1.897866,0
2661.0,0.231567,-0.506592,0.831055,2664.0,-1.714939,-0.868902,2.004573,0
2663.0,0.238525,-0.509155,0.828735,2701.0,-2.385671,-0.9375,2.347561,0
2699.0,0.244019,-0.495117,0.822998,2703.0,-3.414634,-0.503049,2.751524,0
2702.0,0.244995,-0.501465,0.817871,2704.0,-4.390244,0.068598,2.926829,0
2703.0,0.241333,-0.505615,0.816162,2706.0,-4.771342,0.58689,2.660061,0
2705.0,0.234863,-0.52124,0.815674,2745.0,-4.550305,0.518293,2.088415,0
2743.0,0.220337,-0.521484,0.811035,2747.0,-4.443598,-0.106707,1.806402,0
2746.0,0.218384,-0.520508,0.809326,2749.0,-4.169208,-0.762195,1.783537,0
2748.0,0.22876,-0.530273,0.80896,2750.0,-3.689024,-0.97561,1.798781,0
2749.0,0.23584,-0.526001,0.802856,2751.0,-3.51372,-0.792683,1.730183,0
2751.0,0.235962,-0.532227,0.799683,2789.0,-3.04878,-0.617378,1.844512,0
2786.0,0.232178,-0.533691,0.805176,2791.0,-2.698171,-0.769817,1.653963,0
2790.0,0.230103,-0.531494,0.807251,2793.0,-2.698171,-1.204268,1.486281,0
2792.0,0.233276,-0.536011,0.811401,2795.0,-2.682927,-1.448171,1.577744,0
2794.0,0.235596,-0.536743,0.812012,2835.0,-2.77439,-1.631098,1.653963,0
2833.0,0.239746,-0.535278,0.810547,2838.0,-3.071646,-1.570122,1.753049,0
2836.0,0.240845,-0.531494,0.808716,2840.0,-3.361281,-1.570122,1.821646,0
2839.0,0.237915,-0.530029,0.80481,2842.0,-3.948171,-1.676829,1.615854,0
2841.0,0.234741,-0.523315,0.799805,2844.0,-4.481708,-1.730183,1.509146,0
2843.0,0.239746,-0.533569,0.801147,2882.0,-4.626524,-1.669207,1.387195,0
2877.0,0.248169,-0.539185,0.80249,2885.0,-4.382622,-1.219512,1.387195,0
2884.0,0.255981,-0.547241,0.803467,2888.0,-3.887195,-0.480183,1.653963,0
2886.0,0.258423,-0.541504,0.802124,2890.0,-3.704268,0.3125,1.882622,0
2889.0,0.252197,-0.531006,0.799561,2920.0,-4.10061,0.685976,2.11128,0
2919.0,0.244751,-0.531372,0.803101,2920.0,-4.61128,0.769817,2.385671,0
2920.0,0.238281,-0.52417,0.800171,2921.0,-5.411585,0.419207,2.393293,0
2921.0,0.23584,-0.523682,0.803955,2922.0,-6.196647,0.07622,2.408537,0
2922.0,0.241333,-0.531128,0.805908,2968.0,-6.859756,-0.121951,2.583842,0
2968.0,0.244263,-0.531006,0.808594,2970.0,-7.629573,-0.007622,3.08689,0
2969.0,0.243652,-0.533325,0.807617,2971.0,-8.605184,0.23628,3.498476,0
2970.0,0.236938,-0.528564,0.807373,2972.0,-9.557927,0.251524,3.887195,0
2972.0,0.234375,-0.529663,0.806396,2974.0,-10.449696,-0.106707,4.016768,0
2973.0,0.234741,-0.52832,0.807373,3015.0,-11.791159,-0.396341,4.352134,0
3012.0,0.241333,-0.525879,0.811401,3018.0,-13.041159,-0.289634,4.740854,0
3017.0,0.249268,-0.530396,0.817139,3020.0,-14.032013,-0.015244,5.007622,0
3020.0,0.249146,-0.530518,0.819946,3022.0,-15.381098,0.213415,5.297256,0
3021.0,0.24231,-0.526978,0.817871,3060.0,-16.768293,0.182927,5.533537,0
3058.0,0.232788,-0.523315,0.810547,3063.0,-18.071648,-0.175305,5.952744,0
3061.0,0.22229,-0.531494,0.806152,3064.0,-18.902439,-0.838415,6.379573,0
3064.0,0.221191,-0.538696,0.803345,3066.0,-19.382622,-1.532012,6.745427,0
3065.0,0.222534,-0.541626,0.793579,3068.0,-19.76372,-2.202744,6.95122,0
3067.0,0.219238,-0.54248,0.790161,3104.0,-20.373476,-2.8125,7.362805,0
3103.0,0.216431,-0.543579,0.789795,3106.0,-20.983232,-3.414634,7.629573,0
3105.0,0.214966,-0.558105,0.790039,3108.0,-21.059452,-4.077744,7.217988,0
3107.0,0.219238,-0.569702,0.787354,3109.0,-20.670732,-4.580793,6.410061,0
